CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	 2012	 2011	 2010	 2009
Tài sản ngắn hạn###Current Assets	284032	266906	299603	300405	291530	307310	312403	300135	300113	307436	282976	269025	295647	298195	287023	288296	297203	283333	283439	305930	317309	333978	333003	332662	297257	129367	117802	125586	125586	141763	129624	138902	149641	149641	139000	152229	215995	216001	143135
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	23790	14189	27886	28013	5812	25741	44368	24333	24333	13585	17005	9870	33696	33696	18471	17404	13578	13913	13939	21599	18158	23667	30144	31541	15369	11783	11030	21017	21017	7036	2500	6369	16082	16082	6509	10085	14417	19060	45817
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	58962	58891	58980	58980	59030	59030	59051	59034	59034	59114	59068	59153	59130	59130	59067	60381	59073	59046	59046	59079	71472	71425	60443	59046	59072	1542	1511	1588	1588	31669	31599	0	31512	0	0	31351	30608	809	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	153441	145218	171772	171735	143655	169257	164357	171491	171468	178066	158906	156376	166909	166786	146719	146866	142754	136187	136162	155401	161251	147834	169200	168859	162968	42137	42740	43459	37723	29092	32085	30450	33190	33190	33211	43733	58127	70929	48257
Hàng tồn kho###Inventory	36874	37369	29869	30580	70492	40714	33554	36277	36279	53944	46246	42570	35346	38254	61527	62900	80309	72817	72817	68957	64672	88008	72085	72085	58671	73209	62293	58951	58951	64487	53541	60210	61149	61149	58380	60093	105386	113788	44609
Tài sản ngắn hạn khác###Other Current Assets	10965	11240	11096	11096	12541	12568	11072	9000	9000	2726	1750	1055	566	329	1240	746	1489	1369	1475	894	1756	3044	1131	1131	1177	697	229	572	6307	9479	9899	10362	7707	7707	9500	6968	7457	11416	3603
Tài sản dài hạn###Non-current Assets	37717	38903	40770	40770	39852	41847	43902	42753	42753	33709	34672	35049	36814	36814	37729	38247	40067	38675	38350	37327	38042	39226	41739	42490	38555	159812	160033	160912	160912	159648	94192	95396	97604	97604	98865	101667	100835	95730	89539
Các khoản phải thu dài hạn###Long term Account Receivable	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	64313	64303	64303	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	35425	37175	38461	38461	37454	39210	40998	33523	33523	30750	31731	32044	33477	33477	34868	35314	36883	34364	34364	34456	34687	34435	34751	34751	25177	26029	27546	28980	28980	30209	31643	32584	34061	34061	35646	34006	36898	32250	29689
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-56166	-54419	-52637	-52637	-51013	-49261	-47476	-45879	-45879	-48624	-47495	-46350	-46399	-46399	-45042	-43548	-41899	-40262	-40262	-40716	-39129	-37531	-35994	-35994	-34287	-33085	-32869	-31461	-31461	-30044	-28621	-27235	-25787	-25787	-24547	-21999	-16233	-11187	-6997
