CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	 2006
Tài sản ngắn hạn###Current Assets	857275	787056	949043	933728	937066	1207465	1121506	1239638	1258735	1191085	1158940	1101705	1125826	1141833	1176349	959644	1222018	1135471	1145699	1370920	1145156	1387715	1290702	1292630	1419355	1521226	1520317	1845755	1851933	1697023	1866322	1642522	1739388	1677584	1547323	1275739	1161132	1189829	1211116	1346219	1033894	1664091	1457111	1491727	1474067	1387954	1254622	1184125	1184125	1114615	771836	699821	672008	671304	727386	526233	494598	499541	506194	719223	643328	426421	533224	533224	426387	532496	273520
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	171735	141047	212211	212211	183385	377934	277121	429531	429531	293004	284636	249278	268756	268756	283541	189448	374866	407677	407677	249771	247114	628496	408920	408920	438593	489319	397592	619800	619800	640940	858884	533282	593788	593788	543810	542534	404637	443037	443337	400673	361917	462662	586256	519560	463370	255922	323028	349978	349978	198927	211117	150945	167311	166744	149983	66797	70540	34284	34284	208650	249546	21503	83882	83882	42679	161271	150319
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	7654	7654	7654	7654	7654	7654	7654	7654	7654	7654	7654	7450	7450	7450	57450	57450	7450	7450	7450	150000	150000	0	13000	13000	13000	13000	53000	40000	40000	100	100	63400	68100	11400	58550	20550	58900	68900	68900	89220	30720	142637	108510	216482	224682	207522	92459	71100	71100	84272	0	0	0	0	140000	140177	140113	193113	190000	200000	100000	150000	200000	200000	200000	200000	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	496725	456558	564849	564243	575921	629910	654990	601323	620421	701239	640333	620491	647166	647858	634531	548463	613943	558918	561866	791346	573032	611929	659969	656544	773846	781026	823653	929656	923346	848130	750798	769916	818641	811422	756314	625822	583582	529047	551313	690524	517514	813371	628334	613227	588643	681604	757101	571882	571882	698332	487150	407101	390202	389632	371212	256508	226920	240191	243305	269116	265246	224591	209421	209421	164299	132552	99958
Hàng tồn kho###Inventory	110139	100259	103984	90612	95805	113490	116788	147898	147898	123383	163495	157682	155631	170946	161703	136019	190792	120366	127646	125712	139678	104302	146331	151820	140254	179463	176699	184109	187431	137070	187129	207000	204115	206435	147948	57923	81115	123514	122763	130772	68823	175449	75337	83676	147375	185084	39873	135239	135239	66887	29555	104590	75649	75649	39611	16195	14096	11298	18316	26276	16023	10946	26037	26037	8226	17354	13569
Tài sản ngắn hạn khác###Other Current Assets	71023	81537	60345	59008	74301	78478	64953	53232	53232	65805	62821	66804	46823	46823	39123	28263	34966	41060	41060	54091	35332	42988	62482	62346	53663	58420	69373	72189	81356	70782	69411	68924	54743	54538	40701	28910	32898	25331	24803	35030	54921	69973	58673	58782	49997	57822	42161	55926	55926	66196	44014	37185	38846	39279	26580	46557	42927	20655	20290	15182	12512	19381	13885	13885	11184	21317	9675
Tài sản dài hạn###Non-current Assets	1200704	1196202	1213145	1213324	1213850	1234750	1248065	1249043	1248929	1269789	1261352	1239747	1163148	1189148	1122622	1126939	1103890	1114117	1111231	1130049	1141081	1193476	1356263	1361503	1309765	1321453	1317231	1356800	1363251	1335704	1294590	1306529	1330341	1412974	1443944	1529277	1659868	1731513	1724803	1754634	1859760	1771680	1819365	1780473	1683069	1529558	1449186	1301447	1301447	950168	677387	566185	559670	565532	377752	339205	326290	325238	327496	272945	250528	227396	223864	223864	197291	161953	102276
Các khoản phải thu dài hạn###Long term Account Receivable	3474	3479	6233	6233	6267	6255	6080	6669	6669	6310	6207	8759	8578	8578	8525	9054	8850	11608	11347	17445	19210	19265	18023	17916	23074	22304	20505	21945	0	0	0	0	0	0	0	0	311	0	311	311	4293	311	4271	16894	17169	16809	8786	6160	6160	14331	507	86	86	86	86	86	86	86	86	86	86	86	86	86	86	85	5
Tài sản cố định ###Fixed assets	502549	523735	546833	546833	568548	594078	589059	617861	617861	632876	652833	627593	618207	618207	552784	574523	588750	588592	587965	591403	630257	598819	770411	769226	779025	792662	729662	795370	785420	798449	789344	742007	847915	870549	869001	937247	1016474	1045045	1069711	1075362	1131916	1164228	1151926	1191386	1111236	1060112	1042488	857226	913072	646194	422233	321391	313896	322305	164138	123612	110968	109960	112218	71758	59166	37965	37362	37362	37705	33315	30023
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-1392208	-1367146	-1306254	-1306254	-1281216	-1254061	-1225665	-1199877	-1199877	-1169236	-1139847	-1085048	-1060187	-1060187	-1036614	-1011470	-988444	-964610	-965238	-831443	-776626	-822692	-1306259	-1305525	-1212656	-1167941	-1118211	-1072095	-1063536	-967411	-921933	-861838	-810644	-738528	-701708	-640066	-570431	-506322	-507012	-483548	-418469	-374117	-322650	-326006	-262984	-214286	-178692	-149974	-149974	-125966	-45078	-38816	-33370	-33356	-31412	0	0	-22920	0	0	0	-17945	-16504	-16504	-15153	0	-16765
