CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	 2017	 2016	 2015	 2014
Tài sản ngắn hạn###Current Assets	79462	90615	90828	90705	87353	92561	89580	96379	95313	88575	91695	98468	83908	84340	79264
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	12841	15230	12449	12449	9151	3022	11654	11761	11761	13769	4351	15899	4010	10951	9418
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	26297	29879	31815	31815	25406	25711	25308	30065	30061	24867	34845	28119	27643	22580	32514
Hàng tồn kho###Inventory	39718	44949	45884	45884	52324	62498	52053	53127	52086	49221	51834	53839	51127	49639	33231
Tài sản ngắn hạn khác###Other Current Assets	607	557	681	558	472	1330	566	1425	1404	717	665	611	1127	1170	4102
Tài sản dài hạn###Non-current Assets	39729	43352	44586	44717	50975	49128	48636	51598	51621	44620	46164	45940	49009	37154	38554
Các khoản phải thu dài hạn###Long term Account Receivable	20	20	20	20	20	20	20	20	20	20	20	20	0	0	0
Tài sản cố định ###Fixed assets	19437	20757	22308	22317	22144	21370	22315	23799	23801	16729	18054	16706	20876	35233	37389
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-55048	-53512	-51961	-51960	-50978	-49564	-48424	-46823	-47258	-45955	-44559	-41809	-38469	-35320	-31349
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-40	-40	-40	-40	-40	-40	-40	-37	-37	-33	-30	-23	-10	0	0
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	19200	21200	21200	21200	27000	27000	25500	27000	27000	27000	27000	27000	27000	0	0
Tài sản dài hạn khác###Other long term assets	1072	1375	1058	1180	849	739	658	779	800	871	1017	1166	1049	1371	1166
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	119191	133967	135413	135422	138329	141690	138216	147977	146934	133195	137860	144408	132917	121494	117819
