CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	 2014	Q4 2014	Q3 2014	 2013	Q4 2013
Tài sản ngắn hạn###Current Assets	3053870	2878313	2843816	2846804	2771413	2615332	2287567	2319795	2319788	2139468	2290168	2221894	2085081	2085057	2187710	2104109	2028913	1880383	1880152	1888234	1798617	1797627	1836887	1844089	1723034	1691333	1304382	1240774	1435402	1137725	1395621
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	259395	235147	274090	274090	194587	306664	253471	394491	394491	448749	596019	376621	283690	283690	491821	692834	598946	520069	520069	629903	254513	143138	42455	42455	70438	62342	53328	53328	94798	202301	129834
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	2312300	2157635	2155035	2158035	2163935	1873835	1650140	1524240	1524240	1347164	1308164	1345800	1350500	1350500	1199000	915621	1020021	1007981	1007981	885981	1028146	1179446	1340067	1340067	1222500	1058000	789431	839431	839814	599550	673568
Các khoản phải thu ngắn hạn###Short term Account Receivables	399571	406660	330828	330806	334456	360987	311091	318281	318274	254000	298654	405691	362605	362635	418252	418361	352155	298335	297659	312166	448979	420466	394105	416110	384100	531077	390905	266451	437991	275245	527403
Hàng tồn kho###Inventory	59389	54477	57618	57618	53844	52515	51344	49482	49482	49579	52486	46900	41925	41925	44985	41889	36005	34882	34882	38296	40270	31347	40295	29774	28981	34176	27366	38380	41615	41614	41958
Tài sản ngắn hạn khác###Other Current Assets	23215	24394	26245	26254	24591	21331	21520	33301	33301	39976	34846	46882	46362	46308	33652	35404	21785	19115	19560	21887	26709	23231	19966	15683	17016	5737	43350	43182	21185	19015	22858
Tài sản dài hạn###Non-current Assets	2703026	2812212	2941362	2938350	2911717	2965242	3076927	3148050	3147876	3233603	3228530	3068955	3174672	3150878	2966585	3059251	3156033	3248272	3248910	3289766	3332019	3937304	3484440	3958015	4056605	3980146	4216024	4147223	3915596	1909803	4013537
Các khoản phải thu dài hạn###Long term Account Receivable	249	262	267	267	276	280	289	294	294	303	307	316	321	321	330	334	542	562	562	575	584	589	593	2467	4014	4101	5486	625	519	761	677
Tài sản cố định ###Fixed assets	2380738	2432516	2491599	2491599	2550845	2595795	2691130	2754707	2754707	2845661	2822867	2661808	2757442	2757465	2626373	2700301	2803082	2866811	2866811	2947297	2992385	3076078	3147088	3081954	3091663	3023231	3181575	3177781	2916902	1674769	2964319
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-4784372	-4728820	-4668860	-4668860	-4621829	-4560290	-4457759	-4351968	-4351968	-4241104	-4217577	-4111859	-4008201	-4008208	-3905736	-3800478	-3707989	-3603410	-3603410	-3498208	-3504766	-3403887	-3181443	-3305227	-3198894	-3102362	-2907980	-2762295	-2623650	-3015592	-2528865
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-45413	-38243	-43023
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-35752	-35583	-35400	-35400	-35215	-35006	-34784	-34575	-34575	-34371	-34183	-33989	-33841	-33841	-33691	-33581	-33400	-33122	-33122	-32924	-30959	-30741	-32272	-30524	-30244	-29863	-29112	-29112	-28731	-27802	-28302
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	505974	0	521306	536639	551972	582637	582637	597969	0	613302
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	260980	284857	351033	348021	271466	263042	287006	278881	278890	276500	294829	258402	278175	254775	239824	249989	260755	247232	247239	241479	247534	254474	252031	252718	250174	254983	300323	250323	253684	227897	237495
Tài sản dài hạn khác###Other long term assets	58448	91963	96321	96321	85709	88479	88741	92313	92130	86395	90029	88249	92071	91654	77211	70388	68469	73096	73726	53316	56544	69151	64129	78971	83869	78608	637216	44434	45109	6376	48326
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	5756896	5690525	5785178	5785153	5683130	5580574	5364494	5467845	5467663	5373071	5518699	5290849	5259753	5235936	5154295	5163360	5184946	5128655	5129062	5178000	5130636	5734931	5321327	5802104	5779640	5671479	5520406	5387997	5350998	3047528	5409158
Nợ phải trả ###Liabilities	1432757	1160047	1376894	1376886	1308874	1336111	1171225	1371405	1367278	1190369	1513684	1211859	1197235	1228685	1239484	1346251	1190130	1308867	1280879	1331758	1395726	1508929	1560865	1519795	1459858	1545999	1480750	1357817	1129625	1243731	1273012
Nợ ngắn hạn###Short term Liabilities	751808	490473	686801	686791	612078	624602	466682	652653	652428	483102	782149	472671	463609	498558	487427	578299	428581	532536	504550	471704	568117	712814	723530	723679	552513	563474	483142	548274	321534	639577	464726
Nợ dài hạn###Long term Liabilities	680948	669574	690093	690095	696796	711509	704542	718752	714850	707267	731534	739188	733626	730126	752058	767953	761549	776331	776329	860054	827609	796115	837335	796115	907345	982525	997608	809543	808091	604153	808286
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	4324139	4530478	4408284	4408267	4374256	4244463	4193270	4096440	4100386	4182701	4005015	4078989	4062519	4007251	3914811	3817108	3994816	3819788	3848182	3846242	3734910	4226002	3760462	4282310	4319782	4125480	4039655	4030180	4221373	1439894	4136146
