CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	 2013	 2012	 2011	 2010
Tài sản ngắn hạn###Current Assets	38729	40093	50508	50506	26494	27753	40889	36947	36938	30552	53741	43448	42702	42668	58834	84905	73822	62495	62495	58163	60661	100479	70009	70168	69372	75103	75965	73455	70016	59766	50621	56036	38142	58567
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	4754	10312	16812	16812	6570	9844	20892	10454	10454	12216	32323	12478	14045	14045	16492	32686	21993	22260	22260	11548	21770	21685	9022	8975	15814	37278	36975	39129	39129	42657	27159	38132	12961	23263
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	17173	12052	5000	5000	1500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5000	5450
Các khoản phải thu ngắn hạn###Short term Account Receivables	5409	6580	17244	17244	8674	8491	10529	17124	17118	10177	13191	20414	19770	19736	17788	27751	28310	20057	20057	15406	11625	9558	36699	36746	31312	19910	24351	21912	18286	4816	11887	10002	13261	17405
Hàng tồn kho###Inventory	734	913	1099	1099	1155	1031	1088	1107	1107	503	784	3342	3138	3138	20240	19447	18102	15295	15295	25584	22244	50872	11074	11243	12469	9974	8228	7204	7205	7293	6975	6315	5859	8712
Tài sản ngắn hạn khác###Other Current Assets	10659	10236	10354	10352	8595	8388	8381	8261	8259	7656	7444	7214	5748	5748	4314	5021	5417	4883	4883	5626	5021	18365	13214	13204	9778	7940	6411	5209	5396	5000	4599	1587	1061	3738
Tài sản dài hạn###Non-current Assets	500083	503611	510290	510399	515903	520581	531925	536635	536635	534931	537329	539397	528382	528665	489247	481991	468654	463611	463611	435038	421431	357922	344611	344399	307211	298048	284286	278512	278406	277609	281874	261850	270432	258404
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-15	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	487356	490869	496703	496958	503748	512546	524187	528827	528827	526854	528553	532585	206206	206206	205307	208376	210416	214094	214094	217516	220256	222455	224863	224763	227958	230783	233165	278318	236159	235590	281741	206961	223774	213396
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-166807	-161170	-155342	-155102	-148143	-142189	-133540	-127817	-127817	-121038	-115910	-110435	-104628	-104628	-100671	-97604	-94703	-90979	-90979	-87109	-84371	-82139	-79730	-79730	-76504	-73680	-71297	-68303	-68303	-64694	-56738	-47308	-30463	-8237
