CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	 2005
Tài sản ngắn hạn###Current Assets	57463	74772	64330	64649	65826	62729	67445	63807	63808	60952	69555	65783	75786	75786	77117	75260	70203	75314	75314	93869	76753	66840	70289	70289	94733	76830	67967	59160	59160	64451	64892	56523	56859	56859	58066	58510	60117	55284	55284	62327	52797	61472	54448	54440	42503	56594	74245	46186	46386	42941	36195	36821	35972	35972	26775	28752	31690	23548	27243	27715	36222	33306	25112	25112	24312	23458	21312	22773	22773	19782
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	7685	21930	11677	11587	9290	4224	2915	2170	2170	3696	6137	4757	9195	9195	13091	12819	12794	10294	10294	15305	24547	12014	8242	8242	29487	15041	18968	12040	12040	12852	15415	6118	9644	9644	10705	10880	5688	5743	5743	14530	6556	6970	6976	6976	3820	7165	10406	5826	5826	6093	3268	6727	2958	2958	4859	7172	7199	2012	2012	3259	6725	5741	3665	3665	4778	4298	3878	3111	3111	7973
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	210	230	230	230	207	207	215	215	215	214	214	260	17260	17260	17240	20240	10254	17254	17254	32205	12205	12211	22211	22211	25183	25183	5163	10163	10163	10142	10142	5149	5149	5149	5137	137	142	5138	5138	138	1138	1119	9166	9171	153	12153	13153	9193	9153	2103	5061	61	61	61	60	60	60	60	60	733	733	709	709	709	838	838	344	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	38045	42774	38535	39066	40993	43391	50163	45444	45444	44098	49751	46561	37331	37077	35264	32545	36883	32259	32259	37116	31238	33255	25529	25529	23143	27473	30208	27547	27547	33352	27819	32180	30042	30042	29705	35634	41845	35271	35271	38993	37581	42309	30895	30857	30441	30571	31704	25309	25686	27420	22704	23358	24758	24758	17158	14614	20336	16138	19834	16508	15684	19496	15501	15501	14474	13835	13221	15491	15491	9715
Hàng tồn kho###Inventory	8583	6020	10796	10796	12372	11904	10845	10459	10459	11926	11438	11783	9300	9300	10418	7962	7944	13497	13497	7919	7403	7314	11467	11467	16145	7909	11654	6895	6895	6794	9260	9787	9323	9323	10476	9956	9360	8069	8069	6307	6220	8622	5753	5753	6359	5692	17152	4771	4771	5641	4587	5772	7162	7162	3604	5573	2731	2783	2783	4089	5843	4310	2658	2658	2215	2538	2048	1946	1946	1745
Tài sản ngắn hạn khác###Other Current Assets	2940	3818	3092	2969	2965	3003	3307	5519	5520	1017	2014	2422	2700	2955	1106	1694	2328	2009	2009	1325	1360	2045	2839	2839	775	1224	1974	2515	2515	1311	2256	3289	2701	2701	2043	1903	3081	1062	1062	2359	1302	2452	1658	1683	1730	1014	1830	1087	950	1685	574	904	1034	1034	1094	1332	1364	2555	2555	3125	7237	3050	2580	2580	2007	1949	1821	2226	2226	349
Tài sản dài hạn###Non-current Assets	198352	210862	211212	211212	209279	200562	204488	209437	209437	154893	139978	143764	145413	145413	118784	103041	108520	114056	114056	90744	87841	93404	98188	98188	71307	75122	81336	85710	85710	73187	77555	82246	83147	83147	81743	84039	85401	90134	90134	94974	83668	75849	79784	79654	85703	68416	63619	61466	61466	58660	57870	60452	62158	62158	57369	54893	57407	59855	63962	57090	40317	38795	31529	31529	31948	28479	29376	30685	30685	27480
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4135	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	182367	194534	193135	193135	197812	190071	193386	184244	184244	142920	124410	124994	131744	131744	108966	94333	99853	105744	105744	81800	85769	91288	96024	96024	69161	73521	75818	80347	80207	67686	72008	76866	77722	77722	77916	80166	81483	71275	85654	90186	79384	72281	66414	75828	78150	60863	56005	51843	53852	51029	50228	52821	54723	54723	50530	48042	50574	52999	52999	50180	34395	32884	25637	25637	26068	22606	23499	24910	24910	19575
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-260493	-248631	-236715	-236715	-225261	-217842	-206888	-200656	-200656	-192548	-187859	-182254	-179807	-179807	-173878	-170575	-164884	-161157	-161157	-157429	-152634	-147184	-142742	-142742	-139892	-135592	-132129	-128624	-128624	-124455	-119935	-116659	-111783	-111783	-108241	-103884	-100048	-95476	-95476	-90339	-89354	-85205	-81194	-81194	-78841	-75335	-72092	-69039	-69039	-67357	-64576	-61882	-58854	-58854	0	0	0	-44207	0	0	0	0	-39781	-39781	-39421	-38153	-36724	-35295	-35295	0
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-893	-861	-1214	-1214	-1503	-1444	-1385	-1327	-1327	-1268	-1209	-1151	-1092	-1092	-1062	-1033	-973	-913	-913	-853	-793	-723	-673	-673	-613	-553	-494	-434	-434	-374	-314	-254	-194	-194	-134	-74	-56	-47	-47	-44	-42	-40	-38	-38	-35	-33	-31	-29	-29	-27	-24	-22	-20	-20	0	0	0	-11	0	0	0	0	-2	-2	0	0	0	0	0	0
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	1385	1385	1385	1385	1538	1538	1538	1538	1538	1538	1538	1538	1538	1538	1538	1538	1538	1538	1538	1538	1538	1538	1538	1538	1538	1538	5271	5271	5271	5208	5208	5151	5151	5151	3488	3488	3488	4004	4004	4266	4266	3549	3549	3807	7534	7534	7534	7534	7534	7534	7534	7534	7344	7344	6734	6734	6734	6734	6734	6734	5734	5734	5734	5734	5734	5734	5734	5734	5734	7867
