CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	 2005
Tài sản ngắn hạn###Current Assets	3984126	3761942	3308424	3307417	3291546	3610266	3632510	3795725	3793440	3195711	3214526	3201941	2983179	2980661	2781396	2938867	2846079	2556269	2558154	2325977	2404256	2716492	3379139	3383447	3273727	3190450	2892608	2940987	2839388	2608510	2553807	2424289	2480779	2479209	2174718	2490527	2011393	2086355	2060437	2204349	2068431	2443361	2481258	2435759	2184576	2093008	1886627	2018647	1991175	1685316	1435712	1371209	1146640	1128738	1085607	945158	961453	1322744	1325012	1087788	1122232	1120489	1081384	1086642	897234	910374	948114	889722	889722	711859
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	862348	669560	416999	420424	344976	492799	639195	583655	589464	484390	499684	572421	564862	608713	514029	562680	622273	605918	605918	422244	484128	806054	1335175	1336008	1069332	916544	930077	887093	885024	417325	398025	463669	568330	568330	262428	414124	170004	483361	483359	392664	252739	171550	483113	483186	215696	248929	520340	558844	558844	151528	79626	133865	112110	112315	137489	75792	95170	81727	68607	43450	111986	108394	119826	113047	70873	52382	59962	85710	85710	61996
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	592519	360000	260000	260000	121945	71282	80000	110809	105000	118974	56761	43868	43851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55000	0	0	0	0	6000	0	0	13100	4000	0	77467	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	1383542	1543144	1568634	1581965	1556471	1662553	1640328	1878626	1878626	1520724	1670492	1605431	1566184	1566477	1168709	1186483	1220211	1191170	1193023	891905	890461	1133030	1083329	1095354	1200873	1175185	1126976	1009443	1011215	1206550	1000262	1133333	1005411	1005169	934741	1041184	917303	846951	862398	875839	968004	1042403	1061859	1061463	821339	676700	715390	686121	659911	762549	629166	762385	585991	566635	525597	462896	454399	413542	408853	405790	471864	530341	501387	501848	442991	465565	524520	452142	452142	316533
Hàng tồn kho###Inventory	1070878	1091442	989891	975474	1167152	1277256	1176079	1139019	1136731	1015975	944893	933274	776730	773919	1050727	1128730	945478	733381	733555	966367	980352	739272	922995	922894	982422	1067455	826964	1018704	917139	943991	1105981	781766	875681	874693	922774	979455	877062	708923	667701	893086	823989	1177929	913382	868385	1066367	1091618	606504	723063	722465	708451	616863	429755	423910	425618	394609	374974	368915	601929	604999	600608	454318	380358	436689	450052	356278	365312	350852	335507	335507	321220
Tài sản ngắn hạn khác###Other Current Assets	74840	97796	72901	69555	101002	106377	96908	83616	83619	55648	42697	46948	31552	31553	47930	60975	58117	25801	25659	45460	49314	38136	37639	29191	21100	31265	8591	25747	26011	40644	49538	45521	31357	31017	54775	55764	47023	47120	46979	42760	23699	51479	22905	22725	81174	75760	44394	50618	49954	62788	55057	45204	24628	24170	27913	25496	42969	225546	229452	33940	84064	23929	23482	21695	27092	27115	12780	16363	16363	12110
Tài sản dài hạn###Non-current Assets	1151793	1149324	1156011	1154660	1110859	1106860	1129157	1058518	1068312	1018694	1023548	931550	897559	897559	818903	809184	804655	814708	808304	774232	772208	778275	772185	723813	681244	688477	667578	637296	637354	571005	568635	560654	546290	544845	465650	466842	416530	406385	405256	397350	391676	379029	376701	367813	310096	293059	255114	252040	244043	213016	182993	161545	156414	157214	133623	102458	103213	104677	103861	91102	83605	64924	67312	67649	60590	63882	64217	64976	64976	59186
Các khoản phải thu dài hạn###Long term Account Receivable	4671	4671	4671	4671	4379	4229	4258	4258	3854	3866	3865	3865	3865	3865	3825	3825	3825	3825	0	320	320	320	320	320	320	320	0	320	0	0	527	0	527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	800	800	0	0	800	1200	0	0	0	0	0	0	0	0	0	259	307	290	0	0	0
Tài sản cố định ###Fixed assets	783022	798996	767704	767704	738733	741400	724993	677908	669292	645837	523103	510386	508838	508838	501154	502033	483034	499884	493479	461029	433845	422557	430976	428978	396764	397271	387665	463850	342913	288515	286244	246734	386666	386665	359331	367760	317664	225577	313433	353508	347823	335455	194633	324240	266503	248968	211024	115585	199952	185134	155111	139463	134332	134332	109931	79966	81218	82283	82283	67124	59627	57966	60071	60071	53951	54194	54141	54984	54984	51543
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-710217	-694324	-673000	-673000	-655132	-639203	-618952	-601458	-600645	-610293	-586898	-567161	-545381	-545381	-526626	-507717	-484735	-459581	-465985	-432330	-415015	-386460	-366151	-366151	-354650	-324442	-306635	-292300	-291358	-277412	-264305	-252745	-241011	-241012	-237920	-239227	-233472	-223783	-223431	-209357	-199010	-192712	-185125	-185125	-177510	-171683	-166299	-161314	-161339	-158750	-152840	-148252	-144623	0	0	0	0	-133177	0	0	0	0	-124544	0	0	0	0	-115450	-115450	0
