CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	 2014	 2013	 2012
Tài sản ngắn hạn###Current Assets	36472212	31939652	38752836	38868922	36323786	37186889	37894107	34690220	34624337	41637462	45865672	43673585	40526371	45084087	38937382	37770248	37545913	33376138	33260948	30517660	34905888	30032665	30331267	34583570	36828773	34358376
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	12214555	10666167	11275206	11278869	8202714	9672956	8564011	10220836	10226751	9904294	13012612	15165332	14223422	14481021	12641940	11890061	12106401	11353600	11394065	10001943	11250966	11677916	11288673	9653152	6152276	4981992
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	4935704	4386865	5397277	5397277	8193573	5682350	7462662	4714407	4708108	5916203	5576967	2069736	2505008	4902064	4495277	3747466	2680943	2653614	2483114	2406593	2477826	1936199	1979340	2238309	1605903	690239
Các khoản phải thu ngắn hạn###Short term Account Receivables	8436497	8378636	8343572	8386950	8497405	9007792	8910181	7555939	7477240	10215291	8642267	8952593	7462114	8357515	8748420	7522976	8301007	6918360	6961378	6444345	8581165	8472494	7060158	10784400	11828031	10978249
Hàng tồn kho###Inventory	8898358	6759486	11772652	11777434	9866379	11022502	11515692	10302682	10296993	13528711	15888578	14627363	12867551	12686660	10410948	11683643	11598849	8627059	8615108	9054348	9681549	6180837	7617350	10114025	15310613	15904024
Tài sản ngắn hạn khác###Other Current Assets	1987098	1748498	1964128	2028393	1563715	1801289	1441561	1896357	1915246	2072963	2745247	2858561	3468276	4656825	2640797	2926102	2858714	3823505	3807282	2610432	2914381	1765220	2385746	1793685	1931950	1803872
Tài sản dài hạn###Non-current Assets	23265576	23139133	23009578	23014994	21717324	21418584	21571503	21592900	21751973	21059200	20957951	21129704	21242690	21466269	21110229	20994690	20990466	20868297	20977170	20520010	20040823	20712768	20513361	20822126	20645696	20704091
Các khoản phải thu dài hạn###Long term Account Receivable	26105	25720	23491	23491	22878	22208	20288	20645	20241	21596	119856	85325	88685	99366	87526	65909	65177	47611	42545	36140	40992	34749	27521	86637	558	77
Tài sản cố định ###Fixed assets	15223699	15448827	15405591	15401799	14929522	15080275	14969334	15139456	15258566	15007392	14815691	15020482	15270764	15749875	15652590	15512479	15532114	15646074	15711772	15840506	15016675	15180095	15229018	15837437	16864876	15052806
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-19893878	-19786751	-19115678	-19124035	-18719446	-18282681	-17878753	-17459145	-17446983	-17090823	-16665696	-16417273	-15983140	-16288614	-15852317	-15401825	-14943875	-14472796	-14474900	-14071928	-13642063	-13228790	-12813061	-11399287	-9942063	-8902407
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1561	-669
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-704232	-691254	-669022	-669027	-657995	-644165	-631813	-619929	-619048	-604954	-582379	-567596	-542952	-582659	-557819	-531772	-503089	-478251	-486024	-518772	-489286	-462178	-436801	-338410	-262244	-204925
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1335	2670	4005	5340	11298	0	26726
Bất động sản đầu tư ###Real Estate Investment	214826	217028	189753	189753	189930	192223	193869	199379	199379	161241	163181	167995	165266	251353	251953	254427	256955	256183	256183	217656	222342	225007	227672	200239	208002	153960
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	3857257	3993171	3886590	3903295	3197606	3045959	3278302	3117147	3122299	3026418	3025839	3023316	2883912	2424080	2391897	2361211	2556122	2380993	2506508	2409060	2139989	3131196	2957565	2454621	2228209	2268574
Tài sản dài hạn khác###Other long term assets	2916040	2508794	2514459	2516019	2268386	2222927	2227076	2243475	2259446	2005391	1952885	1998872	2053940	2072828	1914333	1907068	1896361	1932734	1860945	1412882	1403526	1364462	1371194	1314718	1325625	1259970
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	59737788	55078785	61762414	61883916	58041110	58605473	59465609	56283120	56376310	62696662	66823623	64803289	61769061	66550356	60047611	58764938	58536379	54244434	54238118	51037669	54946711	50745433	50844628	55405696	57474469	55062467
Nợ phải trả ###Liabilities	36921718	33118896	35839093	35924443	33134575	35973380	34465344	33190848	33189371	40383913	45367680	40551093	38385076	42290936	36810098	33195707	34435235	31043829	31034558	29928107	32992590	33320372	34212841	41313818	41839430	40812322
Nợ ngắn hạn###Short term Liabilities	35287507	31387452	34172727	34234365	31339904	34317491	32832060	31579474	30779951	37769149	42925844	37922492	35757792	39600171	33775794	30147327	31251563	27941980	27698751	26476883	29841082	30054308	31090324	37869138	36678772	35497979
Nợ dài hạn###Long term Liabilities	1634211	1731444	1666366	1690078	1794671	1655889	1633284	1611375	2409420	2614763	2441836	2628601	2627284	2690765	3034304	3048380	3183672	3101849	3335806	3451224	3151508	3266065	3122517	3444680	5160658	5314343
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	22816070	21959889	25923321	25959474	24906535	22632092	25000265	23092272	23186939	22312749	21455943	24252196	23383985	24259420	23237513	25569231	24101144	23200605	23203560	21109562	21954121	17425060	16631787	14091878	12931796	14250146
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
