CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	 2015	 2014	 2013
Tài sản ngắn hạn###Current Assets	1262068	1312776	1226340	1226340	1315633	1303275	1608290	1711320	1711320	1660832	1615331	1597579	1597850	1597850	1497483	1462050	1324106	1253812	1253812	1206333	1007148	919606	847434
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	14946	78823	60328	60328	31518	46782	288357	357246	357246	46993	26242	70337	42583	42583	70453	109221	54627	77070	77070	37555	244463	107424	88815
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	50000	189000	189000	520000	565000	549000	635000	635000	515000	405000	400000	410000	410000	375000	80000	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	643222	716088	637183	637183	708638	708069	798328	709066	709066	680842	617799	613275	512068	512068	532015	567645	545639	455900	455900	529010	391286	417323	396950
Hàng tồn kho###Inventory	594245	495600	518385	518385	554978	537795	459762	450111	450111	408489	399462	358873	400000	400000	372202	372806	317057	304987	304987	258549	278262	370250	335622
Tài sản ngắn hạn khác###Other Current Assets	9655	22265	10444	10444	20498	10629	11843	5898	5898	4508	6829	6094	8199	8199	7812	7377	6783	5855	5855	6219	13137	24610	26047
Tài sản dài hạn###Non-current Assets	1100337	1081079	1075507	1075507	985231	892318	523023	422023	422023	394462	391649	371822	358087	358087	362711	367221	356953	367307	367307	351094	369041	240041	233714
Các khoản phải thu dài hạn###Long term Account Receivable	4250	4250	4250	4250	4250	4250	4250	4250	4250	5390	5390	5390	1140	1140	1140	1140	1140	1140	1140	398	0	0	0
Tài sản cố định ###Fixed assets	281014	289311	298067	298067	308930	315640	297930	307872	307872	304459	306663	275005	285904	285904	293965	299142	295676	304726	304726	301359	327428	216031	215323
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-409329	-399011	-395024	-395024	-391191	-380583	-369657	-358596	-358596	-347587	-335380	-323371	-311199	-311199	-299971	-287337	-274908	-262723	-262723	-251437	-215812	-184499	-153655
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1764	-1764	-1764	-1756
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	32312	32312	32312	32312	33312	33312	33312	33312	33312	28144	27144	27144	25797	25797	25797	25797	25797	25797	25797	9272	7384	7384	7384
Tài sản dài hạn khác###Other long term assets	2850	3465	3578	3578	3271	3657	2723	3010	3010	4339	5814	11411	8895	8895	11721	13939	15364	17882	17882	19753	26829	16625	11007
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	2362406	2393855	2301848	2301848	2300864	2195593	2131313	2133343	2133343	2055294	2006980	1969401	1955937	1955937	1860194	1829271	1681060	1621119	1621119	1557427	1376189	1159647	1081149
Nợ phải trả ###Liabilities	493674	364094	347382	347382	443228	412121	276320	347813	347813	351125	373710	351908	346330	346330	321869	508397	287938	294942	294942	296548	287771	253360	383225
Nợ ngắn hạn###Short term Liabilities	484535	277845	326443	326443	398785	391758	244492	315979	315979	317608	340143	309909	304240	304240	271783	458153	238928	246025	239488	255370	247496	215418	353088
Nợ dài hạn###Long term Liabilities	9138	86248	20938	20938	44443	20363	31828	31834	31834	33517	33567	41999	42090	42090	50086	50245	49010	48917	55454	41178	40275	37941	30137
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	1868732	2029761	1954466	1954466	1857635	1783472	1854993	1785530	1785530	1704169	1633269	1617493	1609608	1609608	1538325	1320873	1393121	1326177	1326177	1260879	1088418	906287	697924
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	1868732	2029761	1954466	1954466	1857635	1783472	1854993	1785530	1785530	1704169	1633269	1617493	1609608	1609608	1538325	1320873	1393121	1326177	1326177	1260879	1088418	906287	697924
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0



