CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	Q2 2006	 2005
Tài sản ngắn hạn###Current Assets	931385	1065244	1093187	1092831	877226	903872	1162876	1151113	1165961	1391638	1326056	1531956	1565224	1582748	1698033	1037680	818313	798339	832769	817791	959622	1106736	1170588	1204658	1034586	879747	703646	557736	582612	493176	453436	442375	426083	420093	412523	364725	346175	423229	455470	463581	415250	423529	518472	549184	370183	397027	420649	412818	412818	417152	388685	400140	375839	374849	320899	326784	348707	370853	301839	282069	299711	394371	397216	397216	525359	452016	437121	436734	436734	281570	231493
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	79674	43564	69545	68949	72109	50805	161728	130940	130935	127645	167935	84614	164582	164567	126100	88287	89394	180027	180027	135953	173339	150251	175723	175747	119601	73345	57608	59703	59703	51377	50207	58280	56819	56816	42987	28220	35034	61605	61605	59186	47153	85054	20546	20546	32842	60916	98570	90944	90944	35350	39087	54531	81789	81174	67953	84693	78165	22157	14958	4978	15969	23570	40731	40731	70698	16443	12309	63472	63472	13060	16820
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	57	55	55	49	49	49	60	60	73	73	73	73	73	73	73	73	73	73	67	67	67	67	67	67	43	43	43	43	43	31	31	19	19	29	29	29	29	29	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	4173	1700	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	603669	765076	748560	747621	487649	547403	700809	674438	688831	919288	768094	1094424	1146217	1154856	1293404	661694	390521	365749	399065	416921	493512	653914	640507	673298	579945	506726	387767	304307	329308	263127	250890	239842	240972	234437	238864	210193	185851	244173	212549	229042	208077	207305	382341	410639	138592	148774	150906	206220	206220	197551	183901	184494	153885	153630	106647	121534	142579	226030	164213	141582	149444	167978	163648	163648	202936	187607	204643	206574	206574	158167	148743
Hàng tồn kho###Inventory	207513	217618	234859	234853	269935	259976	252180	300903	300939	304442	342696	303574	235054	241589	265872	266797	310389	233690	233690	244455	272110	280191	332516	332708	312074	277131	223248	174122	174122	158662	131514	125673	110384	111275	114163	108512	108259	101889	101939	112696	144629	118984	110399	110582	186133	177203	161897	112065	112065	167653	153832	148887	131307	130999	130792	115002	124588	119542	116056	130845	129269	200170	186666	186666	246204	240330	211091	160752	160752	104862	62818
Tài sản ngắn hạn khác###Other Current Assets	40471	38931	40168	41359	47484	45639	48098	44772	45183	40190	47259	49271	19298	21662	12584	20830	27936	18800	19919	20396	20593	22313	21774	22838	22923	22503	34980	19562	19437	19978	20795	18561	17890	17535	16479	17770	17001	15532	79353	62632	15367	12161	5160	7391	12591	10109	9250	3564	3564	16572	11841	12203	8833	9022	15481	5529	3350	3098	2440	2964	5028	2653	6171	6171	5521	7636	9078	5936	5936	5480	3112
Tài sản dài hạn###Non-current Assets	1187723	1195746	1202386	1210839	1180828	1183272	1197367	1192018	1183455	554006	537589	528697	280991	282481	273841	270035	264885	263066	263504	260823	260403	252319	249174	248534	244781	239012	228675	225714	225662	217795	216813	215954	214698	214048	216172	214687	213773	208643	208476	179321	175121	150373	126133	93571	93275	94937	96271	99076	99076	91361	91724	90245	91888	91888	95340	98110	101195	105075	129191	107417	114944	114278	103531	103531	99904	99590	102346	95516	95516	91567	90940
Các khoản phải thu dài hạn###Long term Account Receivable	25094	25094	25094	25094	25082	25082	25082	25082	25082	25113	25113	25113	396	396	346	346	346	346	346	328	328	328	328	328	294	599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-861	0	0	-561	-45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	393482	401324	408367	81761	85250	88770	92189	95501	95501	88077	86887	87298	89417	89383	90026	91522	93999	89805	89847	91367	88472	84967	82336	82335	81321	75549	75136	117582	73062	62899	62530	63424	106301	106313	107040	104188	103738	60488	103049	126765	121846	117140	54641	60028	60349	60444	60820	61354	62110	63846	66254	67377	69111	69095	72297	75099	77941	81496	73612	68954	77304	75895	70246	70246	67102	66211	68546	66633	66633	61738	60626
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-198096	-183184	-181429	-166475	-163341	-172733	-162544	-165615	-158934	-155398	-158780	-149251	-152637	-146035	-143814	-147382	-143201	-141986	-140501	-137495	-136336	-131953	-131034	-129801	-126886	-125219	-122276	-119450	-119450	-116495	-115078	-123086	-120520	-120481	-125363	-122893	-125989	-123346	-123285	-122168	-125089	-126901	-124751	-124666	-123852	-121394	-119025	-116643	-116643	-116268	-114840	-113190	-110756	0	0	0	0	-100030	0	0	0	0	-93764	-93764	0	0	0	-81170	-81170	0	0
