CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	Q3 2006	Q2 2006	Q1 2006	 2005
Tài sản ngắn hạn###Current Assets	3778151	3870105	4208160	4208160	4183287	4106376	4051278	3926266	3926266	4329162	4160262	3769724	3585592	3585741	3656662	4492266	4722019	6184310	6182293	5299524	4282126	5841650	5972618	5972511	7581343	7594581	7399262	7479970	7479970	7088183	7468040	7341076	7297705	7292381	7122121	7153076	6843837	6640575	6614863	6187690	6272565	5749958	5698246	5829885	4835733	5194471	4779927	4944061	4944061	5158002	5260007	4819753	5099163	5096656	5235370	5749267	5063062	4738664	4021469	3174077	2823482	2200841	2307029	2310027	2495281	3635864	4082243	3534499	3534488	4082243	3470724	2810930	2466588
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	14970	290235	240628	240628	296775	238418	671425	143402	143402	485644	261021	456807	208919	208919	359032	259835	169986	785549	785549	617867	550036	271626	713869	713869	507850	524578	575738	1186894	1186894	1057906	1318530	565554	1185659	1185659	1866304	1309963	1164826	1006797	1006797	1325809	559488	705524	1182518	1178268	1047316	610388	632729	1370775	1370775	1093381	1351085	1233330	1383303	1383303	1310720	1168159	897102	512801	512801	504755	244294	101674	312798	262798	1462353	1185909	1147025	528618	528618	1147025	21393	16708	19260
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	700000	550000	1060000	1060000	1310000	860000	320000	1180000	1180000	1400000	700000	100000	550000	550000	450000	500000	1100000	2110000	2110000	2430000	1500000	2174352	2394352	2394352	1504352	3204652	3344952	3445852	3445852	3436252	3336852	3591852	3753052	3753052	2584052	2584652	2950652	3466052	3466052	2996552	2966002	2871402	2831902	2826902	1522902	1731002	1782502	1757502	1757502	1810000	2030000	2090000	2205000	2205000	2445648	2955648	2930648	2735648	2020000	1615000	1170000	870000	1030000	1080000	46498	86498	46498	0	0	46498	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	2309888	2323661	2250720	2250720	1987928	2550710	2688228	2363158	2363158	1903111	2630189	2640343	2259537	2259701	2432762	3214751	2683775	2727399	2725381	1488152	1473831	2584609	2199611	2199503	4743339	3119202	2705363	2138803	2138803	1807506	2112934	2417281	1413057	1407759	1882566	2451500	1999158	1365390	1339678	1115607	2010265	1496679	957052	1099819	1667244	2207573	1708148	1147533	1147533	1630071	1252870	858363	876954	875767	896614	1055877	688950	931921	930374	489325	916271	789220	494195	497193	621144	1992296	2579077	2652598	2652598	2579077	3076583	2432640	2040908
Hàng tồn kho###Inventory	738527	704605	656780	656780	584070	456165	371637	236586	236586	540387	568981	572544	551615	551615	414808	517609	768165	556677	556677	760570	754998	799230	660122	660122	822612	741537	768501	704980	704980	772866	691603	761886	938612	938612	787947	805362	727992	785028	785028	740177	707628	674948	689442	688500	597096	644460	653319	667135	667135	623234	624454	636035	601820	601820	581018	568395	545233	557198	557198	563521	491819	439220	469445	469445	363990	369414	307760	353033	353022	307760	372073	360974	406151
Tài sản ngắn hạn khác###Other Current Assets	14766	1605	33	33	4515	1083	-12	3118	3118	21	71	31	15520	15505	60	71	93	4685	4685	2934	3261	11834	4664	4664	3191	4613	4708	3442	3442	13653	8121	4503	7326	7299	1252	1599	1209	17308	17308	9544	29183	1406	37332	36395	1175	1048	3228	1116	1116	1317	1598	2025	32086	30765	1371	1187	1130	1096	1096	1477	1098	727	592	592	1296	1747	1883	249	249	1883	675	608	269
Tài sản dài hạn###Non-current Assets	2998667	3004017	3047475	3047475	3031918	3001538	2887937	3048676	3048261	3555099	3770454	3951963	3962855	3962665	4452811	4509216	4298183	4403346	4409862	4754119	6110229	5089511	5096657	5099497	3452599	3536901	3683737	3844111	3844111	3879443	4059924	4138381	4598177	4598177	4753626	4880785	5154496	5431962	5447646	5501932	5725408	5973175	6096889	6104303	6523962	6554334	6633700	6597354	6597354	6200188	6359683	6486467	6644680	6644525	6259340	5687939	5854160	6058646	6780896	6981869	7250584	7518193	7375255	7375279	7151300	7086645	6848020	7070314	7070314	6848020	7799091	8040261	8258693
Các khoản phải thu dài hạn###Long term Account Receivable	157500	175000	175000	175000	192500	192500	210000	210000	210000	477500	727500	933167	933167	933167	1200667	1262500	1498970	1707970	1707970	2275470	3460470	2350000	2350000	2350000	350000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	277716	273227	273957	273957	277167	286019	276753	285097	285097	285617	285020	293853	302689	302689	310516	319031	322309	361687	361687	371195	388679	405063	425272	425272	438256	518936	690068	1095724	854126	1018307	1192158	1365564	1871156	1871156	1966283	2107513	2297416	2126706	2560147	2495799	2718943	2965528	2819526	3111583	3144412	3293205	3428791	3468371	3656430	3710128	3999704	4233834	4452376	4452321	4799673	5056551	5298702	5502036	5502036	5589913	5784308	5988536	6215533	6215556	6329529	6572345	6833864	7056102	7056102	6833864	7788396	8024638	8237428
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-13175071	-13165696	-13156476	-13156476	-13146789	-13137803	-13128876	-13120326	-13120326	-13111581	-13103291	-13098661	-13089907	-13089907	-13082323	-13073136	-13063906	-13104395	-13104395	-13092860	-13075560	-13058173	-13039466	-13039466	-13017204	-12934427	-12761072	-12587178	-12587178	-12414018	-12240432	-12066589	-11892795	-11892795	-11721639	-11552908	-11387828	-11213754	-11213754	-11058714	-10887819	-10716532	-10543559	-10526620	-10356157	-10186264	-10012975	-9839659	-9839659	-9668142	-9482743	-9259466	-9036185	-9036185	-8813093	-8590113	-8366386	-8141237	-8141237	-7914742	-7686594	-7453075	-7218667	-7218667	-6983613	-6758221	-6517855	-6277590	-6277590	-6517855	0	0	0
