CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	 2010	Q4 2010	Q3 2010	Q2 2010	 2009	Q4 2009	 2008
Tài sản ngắn hạn###Current Assets	17866	15163	15338	15338	15450	15945	16956	19504	19454	12392	12693	13132	15168	15165	15825	15947	17808	19543	24051	26252	25829	30627	29170	31042	28409	35435	34173	38575	38821	30753	32358	31480	31375	31375	27622	26763	26512	27679	27679	27892	29946	30078	31026	31024	33253	29709	32031	32031	25513	25513	21505	21505	18254
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	26	2	106	106	19	1454	3120	1236	1236	16	397	39	4516	4516	16	115	228	5695	5695	4687	4338	241	77	77	15	17	186	4011	4011	789	121	339	1692	1692	402	1286	1075	2510	2510	3435	4520	6036	7094	7094	9403	7851	1633	1633	434	434	1629	1629	10558
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1681	1681	2000	2000	5000	5000	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	14902	14902	14901	14901	14987	14019	13570	17970	17920	11794	11869	12771	10606	10606	15627	15528	17095	13825	16724	18940	21264	28573	29024	29459	26237	33460	25578	27163	26944	20309	22724	21304	20533	20533	17415	16244	14599	15360	15360	12151	12317	12748	13535	13535	15724	14161	22401	22401	15626	15626	7869	7869	693
Hàng tồn kho###Inventory	228	228	228	228	274	383	228	228	228	187	122	26	25	25	24	180	180	0	1485	1485	70	1485	70	1358	1358	1466	7581	7301	7301	8669	8571	8804	8440	8440	8794	8177	9756	9003	9003	11045	12166	10104	9140	9138	6886	6409	5516	5516	6398	6398	6630	6630	6399
Tài sản ngắn hạn khác###Other Current Assets	2710	31	103	103	170	89	37	70	70	394	304	296	20	18	158	123	306	23	146	1140	157	328	0	149	799	491	829	100	565	986	943	1032	710	710	1011	1055	1082	807	807	1261	942	1190	1257	1257	1240	1289	800	800	1054	1054	376	376	604
Tài sản dài hạn###Non-current Assets	120	121	127	127	129	88	81	73	123	124	125	135	573	573	577	580	576	576	82	236	1508	60	1494	100	112	144	212	212	212	1051	1126	1193	1215	1215	1228	1283	1375	1503	1503	1652	1745	1867	2049	2049	2158	2331	2578	2578	2841	2841	1871	1871	1373
Các khoản phải thu dài hạn###Long term Account Receivable	50	50	51	51	51	8	8	0	50	50	50	50	50	50	50	50	50	50	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	957	1003	1048	1094	1094	1152	1217	1325	1432	1432	1543	1655	1763	1889	1889	2014	2138	2374	2374	2703	2703	1094	1094	1373
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-63	-69	-63	-63	-63	-525	-525	-525	-525	-525	-525	-525	-525	-525	-525	0	-525	-525	-525	0	-525	-525	-525	-525	-525	-525	-525	-525	-525	-2168	-2123	-2077	-2031	-2031	-1973	-1908	-2586	-2480	-2480	-2368	-2256	-2169	-2063	-2063	-1944	-1824	-1575	-1575	-1246	-1246	-918	-918	-479
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-67	-67	-67	-67	-67	-67	-67	-67	-67	-67	-67	-67	-67	-67	-67	-67	-61	-56	-56	-50	-45	-33	-33	-22	-22	-11	-11	0
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
