CAN DOI KE TOAN	 2015	Q4 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	Q3 2006	 2005
Tài sản ngắn hạn###Current Assets	74677	74677	62420	61979	62769	76130	79799	73316	70904	72042	68092	73546	82762	100419	100478	101281	96704	117544	115674	119706	122732	149493	124280	136632	138963	124153	114698	118672	111457	111457	84856	80718	81900	91819	87815	90118	88440	89476	89745	89745	71509	71344	62067	75927	72354	68413	70994
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	1233	1233	1073	484	484	743	1506	877	521	521	1035	864	3191	4505	4505	2775	3408	5629	7319	7319	4682	1549	8863	25551	5551	3806	5577	5151	3278	3278	2806	2266	1485	3451	2540	4396	3019	2768	1685	1685	1409	4220	1523	3505	3372	1614	1869
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	17062	17062	11883	13240	13240	22693	22740	22084	19200	20231	16425	23443	24814	36464	36523	41150	35052	50294	46130	49756	50465	77956	46967	50815	50815	63241	54900	51273	58698	58698	44564	40945	38780	41255	40023	43521	39103	35973	45169	45169	35776	27684	24093	32811	32110	22683	23307
Hàng tồn kho###Inventory	51096	51096	47616	46963	47740	49663	53103	46177	47965	48082	46229	45571	49799	54655	54655	52621	53293	57042	57469	57820	62930	64344	63521	56990	59435	53974	50255	56514	43217	43217	35756	35063	39719	44391	42724	39891	45145	48145	40379	40379	33666	38174	35746	38857	36218	43225	44889
Tài sản ngắn hạn khác###Other Current Assets	5287	5287	1847	1292	1305	3031	2451	4178	3218	3208	4404	3669	4958	4795	4795	4736	4951	4579	4756	4811	4654	5644	4928	3277	3163	3132	3966	5733	6264	6264	1730	2444	1917	2723	2529	2309	1173	2590	2513	2513	657	1266	705	753	653	890	929
Tài sản dài hạn###Non-current Assets	80870	80870	92408	94847	94838	97308	99462	101279	103471	103767	106654	108859	110873	110238	113019	113362	115455	113152	111462	115150	110897	56820	66172	50659	50659	34242	35467	35079	33556	33166	34092	36261	38157	38061	37948	36006	38222	38368	38647	38647	42929	42050	43279	43570	45805	50107	49641
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	65577	65577	71578	84384	84384	86898	88767	90748	92591	96806	98715	101761	103509	102370	101420	101839	103010	97935	99508	98092	94148	40011	21690	22118	22118	23077	24195	24936	23507	23507	24572	25849	27081	27600	27177	26092	27304	27303	30657	30657	23285	24786	26757	37000	30382	35481	34288
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-66585	-66585	-82591	-80501	-80501	-78399	-76222	-74052	-72876	-72876	-71562	-69365	-68000	-67009	-66654	-66068	-64919	-63157	-61877	-61877	-60842	-59970	-58657	-57809	-57809	-57018	-55966	-54889	-53895	0	0	-51628	0	-49646	0	0	0	-46113	-45039	-45039	0	-40838	-38817	-37445	-37345	0	0
