CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	 2015	 2014	 2013
Tài sản ngắn hạn###Current Assets	1964817	2355535	2466374	2460327	2750577	2895156	2989983	2674657	2674699	2755233	2834411	2750306	2453494	2442030	2393315	2141555	2231043	2228327	2260355	2306987	2007015	2331087	2298484	2296019
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	31427	41113	62687	62783	38616	62995	50385	42703	42703	52349	43928	44349	66275	66275	49146	37605	28753	93575	89608	105525	64970	110201	59236	76232
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	5000	5000	5000	5000	5000	5500	5670	5670	8300	17800	21140	12000	16000	5000	5000	5060	128489	367774
Các khoản phải thu ngắn hạn###Short term Account Receivables	1006818	1372467	1376035	1359003	1379888	1461571	1610720	1248841	1249038	1363071	1343230	1352323	1313870	1297923	1295767	1136517	1348735	1359915	1376069	1390284	1251571	1469876	1220708	972725
Hàng tồn kho###Inventory	892606	893845	992535	1003425	1289356	1321646	1293164	1336981	1337115	1289132	1390337	1295854	996493	1000840	988634	886250	784559	725636	742417	767002	651200	688759	816827	828718
Tài sản ngắn hạn khác###Other Current Assets	33966	48110	35116	35116	42718	48944	30713	41132	40843	45682	51917	52280	71186	71321	51468	63383	47855	37201	36262	39176	34274	57191	73222	50570
Tài sản dài hạn###Non-current Assets	2120265	2095806	2068762	2077202	2436200	2443566	2523291	2753190	2746707	2824126	2771453	2775554	2858234	2860560	2971670	2914132	2696421	2623557	2591073	2547473	2352660	2256746	2373778	2239878
Các khoản phải thu dài hạn###Long term Account Receivable	68645	68681	68717	68717	68747	68910	112381	337632	337632	376474	377165	377364	504795	504705	486446	468198	462103	454275	444275	417553	390182	459148	0	5033
Tài sản cố định ###Fixed assets	1308969	1323903	1361213	1343196	1653091	1623375	1692623	1721139	1721139	1723741	1420111	1414102	1384799	1387985	1167003	1137209	1063152	1091758	1081368	1117627	977585	1068227	1174411	1213141
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-915471	-881215	-848433	-1368143	-1705582	-1668070	-1717406	-1671406	-1671406	-1632498	-1593117	-1575925	-1540759	-1537553	-1513075	-1515541	-1514981	-1471687	-1481357	-1471643	-1452271	-1413192	-1347342	-1252986
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	-8322	-7179	-6036	-6036	-4957	-4096	-3500	-8671	-8671	-7895	-9153	-8740	-7428	-7449	-6527	-7583	-6935	-15741	-16462	-15131	-10676	-8135	-3064	-3687
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-273	-256	-239	-239	-255	-227	-199	-171	-171	-162	-158	-158	-158	-158	-219	-211	-278	-270	-270	-262	-253	-257	-181	-129
