CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	 2018	 2017	 2016	 2015	 2014	 2013
Tài sản ngắn hạn###Current Assets	2244369	2507813	2659680	2207708	2373926	2621738	1921870	1733378	2786056
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	437094	153046	219263	275374	491648	214139	264400	202823	197773
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	7000	11900	17400	4000	4000	0	89112	60000	355378
Các khoản phải thu ngắn hạn###Short term Account Receivables	1082686	1629884	1595151	1007903	641782	1154376	1396107	1108202	556551
Hàng tồn kho###Inventory	680874	680827	794812	885616	1144901	1201129	168756	346297	1564268
Tài sản ngắn hạn khác###Other Current Assets	36715	32156	33054	34816	91595	52094	3496	16056	112086
Tài sản dài hạn###Non-current Assets	2999046	3072233	3013024	3480809	2874636	3274006	3154365	3771839	2606343
Các khoản phải thu dài hạn###Long term Account Receivable	533228	532696	530555	698159	313938	473877	468985	422143	393502
Tài sản cố định ###Fixed assets	930551	947127	964339	1017323	269886	331864	476101	470539	629794
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-537080	-525441	-513416	-470023	-387095	-424934	-565280	-643699	-591808
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-67827	-61694	-55772	-31891	-31716	-32835	-65080	-66067	-65486
Lợi thế thương mại	0	0	0	0	344758	378585	187818	214649	0
Bất động sản đầu tư ###Real Estate Investment	89062	89123	89184	89429	117469	198719	112515	116482	85349
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	1071829	1144692	1091347	1361539	1178337	1105890	1051019	1216852	1224631
Tài sản dài hạn khác###Other long term assets	193043	198344	204383	227197	353568	386106	207550	243662	31587
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	5243415	5580046	5672705	5688518	5248562	5895744	5076235	5505217	5392399
Nợ phải trả ###Liabilities	2014036	2368169	2509953	2746754	3392074	3625369	2668370	3077703	3608515
Nợ ngắn hạn###Short term Liabilities	1779489	2127865	2268677	2597067	3053888	2907316	2054051	1726479	2031693
Nợ dài hạn###Long term Liabilities	234547	240305	241276	149687	338186	718053	614319	1351224	1576822
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	3229379	3211877	3162751	2941764	1856488	2270375	2407865	2427514	1664131
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	3229379	3211877	3162751	2941764	1856488	2270375	2407865	2427514	1664131
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	 2018	 2017	 2016	 2015	 2014	 2013
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	182633	324136	1674866	2652914	1051734	2201840	3544186	2938813	2899267
Các khoản giảm trừ doanh thu###Deduction revenues	374	118	850	1966	1966	1876	5014	17453	123590
Doanh thu thuần###Net Sales	182258	324018	1674015	2650948	1049768	2199965	3539172	2921360	2775677
Giá vốn hàng bán###Cost of goods sold	170642	300076	1274631	1545983	905085	1738537	3170033	2615108	2446195
Lợi nhuận gộp###Gross profit	11616	23943	399384	1104964	144682	461428	369139	306251	329482
Doanh thu hoạt động tài chính###Financial activities Revenues	-1038	10551	44419	34582	119575	330631	460868	61642	39603
Chi phí tài chính###Financial Expenses	3238	9415	94971	55764	157276	117394	120251	94243	78856
Chi phí bán hàng###Selling Expenses	5960	6576	40849	122423	35923	56960	61523	70985	71279
Chi phí quản lý doanh nghiệp###Managing Expenses	25544	20260	114977	165669	151477	146644	217420	204143	163387
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	47621	60987	409122	1122117	185482	529229	205974	177024	55563
Thu nhập khác###Other incomes	2051	2603	8730	14926	63519	21611	37099	146580	45367
Chi phí khác###Other Expenses	108	2	2048	4148	7899	5564	1395	7575	12626
Lợi nhuận khác###Other profits	1942	2600	6682	10778	55620	16048	35704	139005	32741
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	49563	63587	415805	1132895	241102	545277	241678	316029	381996
Chi phí thuế TNDN###Corporate Income Tax Expenses	6278	1373	114742	132858	3627	126110	51752	33228	55270
Chi phí thuế TNDN###Corporate Income Tax Expenses	625	1373	51719	133980	17766	68428	44561	33318	36419
Chi phí thuế TNDN###Corporate Income Tax Expenses	5652	0	63023	-1122	-14139	57682	7190	-90	18851
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	43411	62496	303897	1004154	241207	423194	244015	319756	361105
---Cac Chi So Tai Chinh---									
EBITDA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	18.00	19.00	18.50	16.88	0.00	0.00	0.00	0.00	0.00
