CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	 2012	 2011	 2010	 2009
Tài sản ngắn hạn###Current Assets	503031	499573	498022	498022	505028	508925	505064	506713	506713	495461	510271	507977	507410	507408	518709	508010	523575	538480	537866	525032	532904	553966	610162	610162	578809	582086	576858	574215	573419	565178	564368	566564	568417	567946	565718	556452	556560	538599	530306
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	68400	58259	79174	79174	8448	3083	15044	36910	36910	9689	16394	5136	26372	26372	9239	19354	9353	29566	29566	85438	11975	10982	43313	43313	36805	90199	67848	80299	80299	61202	159288	429150	540186	540186	534194	541397	402344	308569	466502
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	377000	387000	367000	367000	422000	412000	402000	402000	402000	402000	422000	432000	417000	417000	447000	427000	440000	430000	430000	360000	410000	430000	450000	450000	412000	407000	452000	455000	455000	484000	383000	0	0	0	0	0	130000	185000	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	50075	46969	45349	45349	67421	70633	73756	54714	54714	69680	63936	62070	51321	51319	49390	53776	62156	70717	70717	64744	99560	71337	83361	83361	40932	73218	35611	27865	23620	15800	16425	12783	25255	24414	21719	11734	23171	41296	5458
Hàng tồn kho###Inventory	1640	1396	512	512	578	15941	6019	5731	5731	6123	537	869	5129	5129	6463	1175	4183	1537	924	7314	3135	30164	28257	28257	76721	7814	17768	6932	10381	1264	2608	3228	456	825	5574	219	0	3053	35
Tài sản ngắn hạn khác###Other Current Assets	5916	5949	5987	5987	6582	7268	8245	7357	7357	7968	7405	7902	7588	7588	6617	6705	7884	6659	6659	7536	8235	11483	5232	5232	12351	3855	3631	4120	4120	2912	3047	5402	2520	2520	4231	3102	1045	681	3311
Tài sản dài hạn###Non-current Assets	277216	279195	281638	281260	283203	285922	289086	291919	291919	292890	294545	296141	298671	298671	285199	287568	287478	280639	280639	282353	283505	264435	241726	241726	237715	234754	236439	238292	238292	240005	241822	243755	245503	245503	247347	260233	275679	269305	169229
Các khoản phải thu dài hạn###Long term Account Receivable	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	63	3	3	3	3	3	3	3	3	3	3	23	231	211
Tài sản cố định ###Fixed assets	77974	79383	80939	80939	81861	83650	84885	86804	86804	86287	20097	20540	21704	21704	15899	16905	15709	16681	16681	17654	18592	19140	20102	20102	15253	11597	12251	31061	12939	13527	14243	32854	33313	33313	34074	18734	21161	14923	27733
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-37103	-35694	-34415	-34415	-33493	-31560	-30081	-28699	-28699	-26808	-25171	-24009	-22845	-22845	-22933	-21927	-20982	-20010	-20010	-19037	-18065	-17099	-16278	-16278	-15354	-14485	-13796	-13108	-13108	-12406	-11690	-10971	-10366	-10366	-9691	-8167	-5217	-2918	-1168
