CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	 2013	Q4 2013	 2012	Q4 2012	 2011	 2010
Tài sản ngắn hạn###Current Assets	312524	206009	220583	220583	222171	218038	249663	320107	320107	295342	230049	209297	173693	173693	185445	233708	199907	185980	185980	252771	350316	233514	227278	225797	246113	305190	180801	215659	215659	288875	293682	293682	290851	290851	161506	127890
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	14173	11442	65737	65737	36693	8606	47616	107831	107831	44741	35056	54182	89085	89085	40005	90568	134138	145514	145514	110753	176974	31475	89228	89228	58641	67343	23368	37663	37663	48786	41884	41884	127687	127687	120458	64999
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	0	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2600	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	191165	132227	68911	68911	102604	128789	112033	100808	100808	172384	160539	135079	36279	36279	85499	123499	52873	39394	39394	119651	119784	121508	60575	59695	89989	136549	71242	58489	58489	109904	96190	96190	68410	68410	18208	17406
Hàng tồn kho###Inventory	107113	62338	85931	85931	82874	80632	89787	111227	111227	78162	34287	9458	47317	47317	58483	19093	12454	290	290	20968	53115	78354	74652	74652	94769	96947	82925	116937	116937	125183	149848	149848	88967	88967	21301	43508
Tài sản ngắn hạn khác###Other Current Assets	73	2	3	3	1	11	228	242	242	56	168	577	1013	1013	1458	547	442	782	782	1399	444	2176	2822	2222	2714	4351	3266	2570	2570	5001	5761	5761	3187	3187	1539	1977
Tài sản dài hạn###Non-current Assets	22780	24076	25456	25456	26338	27603	29077	30802	30802	31005	31190	32659	35101	35101	38163	36863	37485	38533	38533	38316	39610	51460	53490	53490	52937	52753	55228	56513	56513	57991	48313	48313	33325	33325	34612	12563
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	0	0	0	0	0	837	837	837	880	880	880	880	880	880	880	880	880	880	890	890	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	22023	22973	23975	23975	24997	26018	26916	27915	27915	28755	29685	30703	31710	31710	32535	33556	34353	35167	35167	36189	37234	48460	50050	50050	49814	50120	51551	52297	52297	53851	44993	44839	30373	30373	32896	10971
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-28680	-27877	-27021	-27021	-26148	-25274	-24410	-23556	-23556	-22683	-21803	-20931	-20069	-20069	-19193	-18320	-17464	-16627	-16627	-15753	-14856	-18306	-16863	-16863	-15479	-13352	-12067	-11466	-11466	-9962	-6216	-6216	-5556	-5556	-2756	-997
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-4940	-4793	-4647	-4647	-4499	-4351	-4204	-4059	-4059	-3911	-3762	-3616	-3471	-3471	-3322	-3174	-3028	-2882	-2882	-2735	-2587	-2440	-2294	-2294	-2146	-1998	-1851	-1706	-1706	-1558	-1118	-1118	-660	-660	-208	-37
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	874	874	874	874	0	0	0	0	0	0
Tài sản dài hạn khác###Other long term assets	757	1103	1482	1482	1341	1584	2161	2887	2887	2250	1505	1956	2554	2554	4791	2426	2251	2485	2485	1246	1496	2120	2560	2560	2243	1633	1913	3342	3342	3266	3320	3320	2952	2952	1716	1496
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	335305	230085	246039	246039	248509	245640	278740	350909	350909	326347	261239	241956	208794	208794	223608	270571	237392	224513	224513	291087	389927	284974	280768	279287	299050	357943	236029	272171	272171	346866	341995	341995	324175	324175	196118	140453
Nợ phải trả ###Liabilities	175139	72875	89809	89809	95979	85203	120162	193168	193168	171597	108623	80246	47729	47729	63942	114288	74267	65014	65014	125303	229172	121158	119152	118538	132328	198943	68607	109000	109000	181076	182708	182708	167461	167461	56380	26586
Nợ ngắn hạn###Short term Liabilities	175139	72875	89809	89809	95979	85203	120162	193168	193168	171597	108623	80246	47729	47729	63942	114288	74267	65014	65014	125303	229172	121158	119152	118538	132328	198943	68607	109000	109000	181076	182708	182708	167286	167286	56160	24331
Nợ dài hạn###Long term Liabilities	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	174	174	220	2254
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	160165	157210	156230	156230	152530	160438	158579	157741	157741	154750	152616	161710	161065	161065	159666	156283	163125	159499	159499	165784	160755	163816	161615	160749	166722	158999	167422	163171	163171	165790	159287	159287	156715	156715	139738	113868
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	160165	157210	156230	156230	152530	160438	158579	157741	157741	154750	152616	161710	161065	161065	159666	156283	163125	159499	159499	165784	160755	163816	161615	160749	166722	158999	167422	163171	163171	165790	159287	159287	156715	156715	139738	113868
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0



