CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	 2012	 2011	 2010	 2009
Tài sản ngắn hạn###Current Assets	110104	92440	109261	109261	123671	124989	109090	93157	93157	109909	100259	88151	104820	105759	96860	89146	93273	106613	106116	151825	168751	170571	190573	190573	171661	135092	146286	190211	188048	219601	213276	198085	160291	160291	97005	105475	141346	51751	45418
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	45816	25614	41923	41923	58816	33278	28074	30403	30403	28829	25091	20482	40164	40164	23847	13528	8886	26963	26963	33021	39490	34811	60117	60117	54878	60634	53272	58328	96028	117443	122485	105271	85445	85445	40956	33377	93892	28554	9011
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	53896	55280	55657	55657	53413	81728	71445	53246	53246	70897	66419	59492	56586	56586	65395	68857	76291	69301	69301	99016	109942	117223	111395	111395	96968	54080	76704	57820	56570	88825	78390	80802	64234	64234	46807	61065	41227	20307	24969
Hàng tồn kho###Inventory	5176	4643	3582	3582	4891	5702	5605	5517	5517	6258	4645	4107	3562	4495	4823	4550	5190	6203	6203	17506	16374	15775	16970	16970	17256	14015	9638	10338	10338	9041	8836	8279	6341	6341	5587	4013	4073	1453	211
Tài sản ngắn hạn khác###Other Current Assets	5216	6903	8100	8100	6551	4281	3966	3991	3991	3926	4105	4070	4509	4514	2795	2211	2906	4146	3649	2281	2945	2762	2090	2090	2558	6363	6672	63726	25112	4292	3565	3733	4271	4271	3655	7019	2154	1437	11227
Tài sản dài hạn###Non-current Assets	500673	492648	480305	480305	485314	492462	498138	505698	505698	508534	518350	525981	515270	513892	507374	494296	503550	511621	516886	512745	520862	526968	518499	519888	519633	527257	530350	468415	467862	474658	478889	484631	490471	490471	488084	506684	465190	463344	442110
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	353216	353709	270111	270111	276299	282782	288822	296004	296004	302756	309948	317277	321461	321461	328205	335187	341194	348334	348334	355249	362098	366277	362181	362181	360824	367295	301121	309039	305010	307244	313161	320047	324008	324008	320323	333616	287108	286863	431898
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-241896	-234933	-229084	-229084	-222792	-216351	-209444	-202304	-202304	-195070	-187839	-180555	-173329	-173329	-166109	-158883	-152188	-145294	-145294	-138189	-131087	-125043	-118499	-118499	-112015	-105561	-100234	-94839	-94583	-89161	-84139	-78949	-73692	-73692	-68463	-54087	-37338	-21219	-11153
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-1107	-1053	-999	-999	-953	-911	-869	-828	-828	-775	-729	-683	-638	-638	-613	-588	-559	-525	-525	-491	-457	-423	-386	-386	-368	-351	-299	-291	-291	-282	-274	-265	-257	-257	-248	-221	-65	-15	-5336
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	24437	24671	25047	25047	25195	25357	22645	22645	22645	22645	22645	22847	23050	23050	23309	23361	23798	24050	29314	29936	30171	30405	31161	32550	33042	33334	33770	34186	34186	34537	34910	35283	35780	35780	35902	36757	37500	37500	0
Tài sản dài hạn khác###Other long term assets	122918	114140	114936	114936	116968	118576	120084	121370	121370	121471	124216	126002	127640	126707	128617	129552	132496	133234	133234	121879	122945	123631	121333	121333	122093	123126	124256	125190	125190	126456	127832	129300	130683	130683	131859	136310	136289	138982	10212
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	610777	585088	589566	589566	608985	617450	607228	598854	598854	618443	618610	614132	620090	619650	604234	583442	596823	618234	623002	664570	689613	697539	709072	710461	691294	662350	676636	658626	655910	694259	692165	682716	650761	650761	585089	612159	606536	515095	487528
Nợ phải trả ###Liabilities	152372	131052	140049	140049	168989	163957	159279	155359	155359	185389	191228	168380	178422	178098	167568	151619	166286	190599	190599	227309	253712	240102	261008	259489	249908	230791	249097	241812	239758	282441	286357	283213	292992	292992	269512	302536	314598	287783	268402
Nợ ngắn hạn###Short term Liabilities	107563	83851	98010	98010	125396	102695	95381	85139	85139	115990	104654	80991	85628	85304	83630	63107	75344	82227	82227	116507	125481	109441	119294	118323	106645	70432	93373	69553	67499	108646	96026	91196	79080	79080	54722	56111	66903	12205	36438
Nợ dài hạn###Long term Liabilities	44808	47201	42039	42039	43593	61261	63898	70220	70220	69399	86574	87389	92794	92794	83937	88513	90942	108372	108372	110802	128231	130661	141714	141166	143263	160360	155724	172260	172260	173795	190331	192017	213912	213912	214790	246425	247695	275578	231964
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	458405	454036	449517	449517	439996	453494	447949	443496	443496	433054	427382	445752	441668	441553	436666	431823	430537	427636	432403	437261	435901	457437	448064	450972	441385	431558	427539	416814	416151	411818	405808	399503	357769	357769	315577	309623	291938	227313	219126
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	458405	454036	449517	449517	439996	453494	447949	443496	443496	433054	427382	445752	441668	441553	436666	431823	430537	427636	432403	437261	435901	457437	448064	450972	441385	431558	427539	416814	416151	411818	405808	399503	357769	357769	315577	309623	291938	227313	219126
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	 2012	 2011	 2010	 2009
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	87942	69709	322096	81608	82657	82339	75491	266675	74067	73105	68062	51442	192062	50721	51644	51795	37903	155002	35238	31548	36086	52129	276246	83638	93468	51071	48069	282559	50473	77519	72631	81936	187477	64107	38029	133821	183527	86595	88590
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Doanh thu thuần###Net Sales	87942	69709	322096	81608	82657	82339	75491	266675	74067	73105	68062	51442	192062	50721	51644	51795	37903	155002	35238	31548	36086	52129	276246	83638	93468	51071	48069	282559	50473	77519	72631	81936	187477	64107	38029	133821	183527	86595	88590
Giá vốn hàng bán###Cost of goods sold	61091	52681	218009	52310	57229	58463	50007	167756	43306	48346	44394	31710	126589	33084	35014	32429	25849	105141	25544	21274	24633	33689	192089	60308	69263	32549	29133	216442	35717	60983	55410	63544	142035	49009	26469	95278	146942	70031	84315
Lợi nhuận gộp###Gross profit	26850	17028	104087	29298	25429	23876	25484	98920	30761	24759	23667	19732	65473	17637	16630	19366	12054	49861	9694	10274	11453	18440	84157	23330	24205	18521	18936	66118	14756	16536	17221	18392	45441	15098	11560	38544	36586	16565	4274
Doanh thu hoạt động tài chính###Financial activities Revenues	265	215	1387	636	281	244	226	873	244	217	198	214	372	204	39	64	65	1956	397	398	667	493	3638	671	515	747	1705	5724	1542	1501	1562	1086	2116	757	554	8017	2548	1766	1188
Chi phí tài chính###Financial Expenses	2443	996	3191	588	884	-668	2387	11536	2774	2713	3618	2431	11563	3006	2489	3191	3322	21117	4087	3747	3662	4356	20972	4194	4156	5841	5392	16518	4947	4832	4258	4713	21488	4560	4958	36091	52860	28186	3346
Chi phí bán hàng###Selling Expenses	11369	9639	39344	12443	10773	8550	7579	29244	7415	7909	8054	5865	7803	2029	2070	2186	1488	5456	2088	1358	1150	860	7619	2478	2224	1747	1041	8436	2004	2080	2529	1591	1778	811	310	1335	1373	1348	2990
