CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	 2005
Tài sản ngắn hạn###Current Assets	200619	156864	163308	164621	158068	414508	453575	355032	353874	342235	322565	326544	420912	458878	449006	496731	586990	508154	438349	419621	425430	498957	512065	530707	214677	188023	243501	244167	276270	195566	211725	212166	239458	239467	216663	211567	229852	248889	248148	252751	259825	254892	277830	301593	274407	261495	273133	288803	281246	243552	257812	248608	290745	290289	312563	292112	331027	367175	368568	312595	318480	402985	466719	466719	405743	372256	462451	306987	303732	167793
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	5787	8431	5368	5972	6731	10555	5548	5205	5204	19037	5046	10838	29446	29982	11526	16092	60887	50851	67059	17401	18020	22833	20979	44431	13502	21221	5295	47762	47762	12501	10065	9103	12715	12715	12188	9017	12349	7972	7972	9301	6010	5173	7961	7961	5934	14361	33299	36012	33880	6943	7675	9463	13336	12238	10642	10033	14104	11432	11432	28923	32586	27381	29926	29926	28266	10232	29926	31299	31308	10982
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	10790	13549	26751	26152	22962	293639	360655	255036	255036	196752	195266	191908	192148	192145	227956	242756	261181	162864	162108	121639	100420	161303	93421	70301	12061	10165	36698	200	232	200	200	937	937	937	971	971	983	983	983	877	877	1291	1291	1315	1331	1331	2359	1359	1359	1399	1399	1597	1597	2400	2400	2400	2400	2400	2400	2400	2400	2400	2370	2370	1175	1175	1175	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	183099	129611	126107	127270	119758	103857	75639	83187	80792	109507	98931	85917	154448	192551	167855	201085	222672	255461	180594	228916	251129	258683	306599	313897	132751	116541	92057	155003	120291	64335	85302	82312	116242	116242	80721	83535	100866	132146	131371	119241	111129	124090	168695	193220	167746	132265	132235	174002	180945	151986	158888	162506	201052	205541	206657	176632	217778	259329	259865	187387	199424	253957	281426	281426	229585	209921	282936	184693	185624	111205
Hàng tồn kho###Inventory	42	4252	4230	4530	5731	5668	8997	8994	10231	14208	20584	34942	41925	41449	38112	33470	38919	36131	25907	47777	52662	53762	88579	96683	49503	39530	80192	39751	76324	82576	81673	85656	76627	76627	87634	80865	82885	79606	80170	92329	102853	83362	68575	68426	70450	75965	67710	52964	50516	64314	60064	56454	56507	59562	71467	82602	71269	81996	82535	71124	67983	103396	141857	141857	125545	131310	138535	82901	86719	40107
Tài sản ngắn hạn khác###Other Current Assets	901	1021	853	696	2885	789	2736	2611	2611	2731	2738	2938	2944	2750	3558	3329	3331	2847	2681	3888	3199	2376	2487	5396	6859	567	29260	1451	31661	35954	34485	34157	32938	32947	35150	37179	32769	28183	27654	31004	38955	40976	31308	30671	28946	37573	37531	24466	14546	18910	29787	18588	18253	10547	21398	20445	25476	12018	12337	22761	16088	15851	11141	11141	21172	19618	9880	8094	81	5499
Tài sản dài hạn###Non-current Assets	96316	135590	132927	126308	130403	133114	128355	126503	127556	158452	173305	202491	172198	131137	138968	164880	102039	104245	101691	111249	110337	106823	106697	108029	100221	84869	48639	81305	49591	95045	90195	91468	92823	92819	99212	100910	109388	111285	111356	122974	123986	150961	155848	136845	141223	149054	147402	149817	131027	136259	139721	143042	144632	126334	120998	118966	121385	122616	122512	104711	105576	103084	102933	102933	107161	89539	102971	62370	60863	43348
Các khoản phải thu dài hạn###Long term Account Receivable	57	57	57	57	57	57	57	57	57	57	10057	43157	43157	57	57	57	230	230	57	1330	1330	173	218	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166	0	166	166	0	166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	1839	1865	1891	1881	1917	1944	1945	1986	1986	814	3001	1035	8285	8684	8501	8781	18935	19652	9562	20588	20711	19343	20141	20141	11831	4146	4975	5267	5267	51348	46905	48424	62562	62562	69152	70981	79747	68719	81761	93526	93639	120180	73011	101394	104724	116101	114584	82869	87842	105358	109726	111139	112909	104897	100295	98372	100700	101736	101274	84384	85346	82761	82434	82434	92555	89266	82479	61944	60445	39571
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-3467	-3441	-3415	-3425	-3389	-3362	-8457	-8416	-8416	-10460	-10374	-11446	-15559	-14344	-17041	-16685	-92935	-96913	-15938	-96582	-95602	-97539	-99265	-99265	-17412	-16092	-16679	-16416	-16416	-75112	-73071	-71581	-70095	-70095	-72573	-72096	-73545	-71632	-71699	-59542	-58755	-58608	-57803	-57842	-59350	-64255	-62595	-61466	-61662	-60339	-58021	-56192	-54112	-54035	-51941	-50919	-48328	-45736	-45851	-43138	-40623	-38147	-36757	-36757	0	0	0	-31814	-31957	0
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-378	-350	-664	-603	-603	0	0	0	-1842	-1959	0
