CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	Q2 2006	 2005
Tài sản ngắn hạn###Current Assets	46108	53799	46876	47044	48518	55883	55876	56577	56577	60755	82218	63466	58548	58548	59899	49674	53252	51931	51931	54323	54021	45756	69463	69479	62210	67201	72136	88084	88323	85852	74197	65776	61729	61729	57962	53726	54249	56123	56123	56756	57065	65499	62378	62378	80090	92336	83489	75097	75092	71339	77022	90525	68919	68982	74810	63955	64590	58523	58523	66654	64661	69946	50387	50387	47172	46842	51921	37712	37712	41265	34402
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	4284	9292	3046	3046	6907	7214	6332	2365	2365	8259	20519	19116	14753	14753	15573	15404	8510	10117	10117	2430	5947	4005	22854	22854	8954	9497	5021	35096	35096	9226	3560	9534	7068	7068	2818	2134	3062	1814	1814	3229	2501	2278	5110	5110	3177	2635	3534	2621	2621	2610	7506	2918	3231	3231	3662	963	3862	1223	1223	1775	911	1378	2790	2790	1393	803	2595	1367	1367	847	1031
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5000	0	0	0	35614	0	0	0	0	0	0	0	864	864	864	1116	3116	3263	1763	1763	686	294	777	777	777	630	1081	2070	2070	2070	5560	5792	5792	1182	1182	795	295	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	20271	11825	12996	12996	15120	19006	16673	22211	22211	14809	43527	25607	25770	25770	22493	17868	26747	22143	22143	25071	18784	13716	24987	24987	16144	24652	23212	32494	32432	48476	45020	34993	35614	35614	31620	28830	29865	32206	32206	33366	32193	39193	33458	33458	37033	43563	34302	31071	31070	33516	33444	25339	20609	20703	22667	16678	18079	15384	15384	14754	14936	13379	12579	12579	9369	8669	17215	9001	9001	14059	8355
Hàng tồn kho###Inventory	19623	27157	23712	23712	17597	17644	19318	15850	15850	18270	17902	18211	17408	17408	21217	15149	15657	15565	15565	20806	21195	18380	21203	21203	35126	30493	39563	19151	19151	20438	23316	18899	17770	17770	21315	20343	18878	19710	19710	17781	19922	20702	21180	21180	35115	40858	40592	37987	37984	32806	35086	58358	42751	42751	46624	44294	39728	39183	39183	42986	41941	47894	33482	33482	33437	35645	31561	26955	26955	25674	24735
Tài sản ngắn hạn khác###Other Current Assets	1930	5525	7122	7290	8894	12018	13553	16151	16151	19418	270	531	617	617	616	1253	2337	4105	4105	6017	8096	9655	419	435	1986	2559	4340	1343	1644	2712	2301	2350	1276	1276	2209	2419	2444	2393	2393	2380	2449	2463	1767	1767	3648	2165	1796	1654	1654	1721	693	3134	1552	1521	1227	938	851	663	663	1579	1082	1502	355	355	2179	1429	551	390	390	683	281
Tài sản dài hạn###Non-current Assets	249496	251428	258019	258019	265718	274766	275109	282776	282776	289222	111364	116300	119044	119044	121654	126657	125540	128798	128798	133731	140793	145170	56114	55828	62661	64527	63682	59788	59550	58016	58941	65503	67688	67688	68635	70508	71342	72039	72039	76796	78371	81112	80340	80340	82234	81667	80344	79965	78360	77815	68630	65496	64768	63482	58146	56922	50558	46698	46442	41903	40758	33121	33082	33082	48800	42538	18506	18669	18669	19886	20191
Các khoản phải thu dài hạn###Long term Account Receivable	118	118	118	118	118	128	128	128	128	135	130	130	130	130	334	408	408	411	411	466	493	352	160	160	0	0	756	246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	66	0	0	65	66
Tài sản cố định ###Fixed assets	230961	238588	245947	245947	252572	259154	265796	272452	272452	277844	99761	103373	107018	107018	110621	114362	117969	121776	121776	126212	131890	135963	47763	47655	52581	53514	52693	50896	50896	48602	50426	51822	55188	55188	55632	56923	56670	56542	57786	61093	63283	63361	59558	64897	64722	65999	62059	60444	62895	61679	55865	51934	51971	50562	48299	47034	41404	38861	38861	33460	32814	27808	28136	28136	43510	37466	18078	18302	18302	19415	19691
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-130939	-123311	-115678	-115678	-109093	-102470	-95828	-89436	-89436	-82770	-78623	-75011	-71367	-71367	-67666	-63986	-60176	-56369	-56369	-54547	-56243	-52170	-50393	-50427	-56635	-55588	-53895	-52118	-52118	-50679	-48854	-46918	-46019	-46019	-45239	-43711	-41753	-39781	-39781	-37677	-35593	-33528	-31481	-31481	-29491	-28042	-26302	-24512	-24509	-22872	-21620	-20196	-18836	-18826	0	0	0	-14289	0	-13456	-12458	-11585	-10700	-10700	0	-9250	-8666	-8091	-8091	0	0
