CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	 2012	 2011	 2010	 2009
Tài sản ngắn hạn###Current Assets	775185	728368	788339	665572	351197	351564	375530	392776	392776	399398	399326	387859	351421	351493	323737	332589	374370	343350	343350	389181	475343	509319	519960	573597	617110	707451	867875	859099	833622	783920	802135	354349	363790	363790	304344	345545	540840	421648	230543
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	16098	25191	44794	44794	25818	52503	23336	35613	35613	25317	12432	37311	80770	50770	54407	40276	74291	97155	172155	199793	51458	23679	92946	92946	96128	186634	133893	180535	180535	265332	278117	127296	80768	80768	65093	51438	36104	173785	36862
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	29000	40000	65000	65000	70000	90000	135000	148000	148000	113000	83000	43000	30000	60000	70000	85000	75000	75000	0	0	0	0	0	0	0	0	0	0	0	0	330	300	300	300	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	599129	513369	406740	285475	91828	64932	65980	62032	61687	119215	146038	134474	70287	70812	77379	84602	100215	49129	49129	93051	321777	379742	312931	380552	401806	285633	461175	407348	409597	330085	377732	103312	128166	128166	185538	143503	191273	139601	109750
Hàng tồn kho###Inventory	123098	127213	251602	250100	145795	134366	134211	135172	135172	130958	146250	154888	151144	151144	101339	101901	102749	102721	102721	74772	90126	90751	90258	90258	113033	210773	259974	264998	239518	167393	141716	118286	117375	117375	51761	142104	302064	104084	20846
Tài sản ngắn hạn khác###Other Current Assets	7860	22595	20203	20203	17755	9764	17003	11959	12304	10908	11605	18185	19220	18767	20612	20811	22115	19345	19345	21565	11982	15147	23825	9841	6143	24411	12834	6218	3972	21110	4240	5157	37181	37181	1652	8500	11398	4178	9085
Tài sản dài hạn###Non-current Assets	63278	65233	67990	67882	69341	72168	73200	74513	74513	77418	81776	85359	86727	86945	89393	92546	95901	100513	100513	96447	116147	118059	126479	130546	143319	138178	148276	209122	206790	251885	319596	327676	342869	342869	351719	436773	512534	424105	84079
Các khoản phải thu dài hạn###Long term Account Receivable	481	481	481	481	481	364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	312	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	58284	59755	62745	62745	64969	68039	70044	73634	73634	77236	81066	82242	86011	86011	86615	91103	95498	100024	100024	95721	103174	110726	118377	118377	120130	127817	136337	193897	193897	240021	307088	323847	338505	338505	346783	424297	445883	400359	83564
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-545390	-542248	-539307	-539307	-536139	-533054	-529827	-526128	-526128	-522432	-518650	-514931	-511211	-511211	-506689	-502249	-497790	-493518	-493518	-497624	-490197	-482746	-475197	-475467	-467529	-459803	-450067	-391238	-391238	-331113	-263444	-246702	-231866	-231866	-222218	-145486	-48510	-6755	-264
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-1365	-1305	-1257	-1257	-1209	-1161	-1113	-1066	-1066	-1018	-970	-922	-874	-874	-827	-779	-731	-692	-692	-843	-742	-640	-539	-269	-269	-269	-269	-269	-269	-269	-269	-269	-269	-269	-269	-258	-139	-28	-16
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản dài hạn khác###Other long term assets	4315	4417	4420	4312	3891	3765	3156	879	879	182	710	3117	717	934	650	742	281	489	489	726	986	1389	2158	2158	17009	10361	11627	15226	12893	11864	12508	3829	4363	4363	4936	12476	23402	18976	515
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	838463	793601	856328	733453	420537	423732	448730	467289	467289	476816	481101	473218	438148	438438	413130	425135	470271	443862	443862	485629	591490	627377	646439	704143	760429	845629	1016151	1068221	1040413	1035805	1121732	682026	706659	706659	656063	782318	1053374	845753	314621
Nợ phải trả ###Liabilities	336724	299799	411229	287701	51923	48446	31448	40200	40200	42689	49846	51076	34151	35603	47739	77004	128155	96134	96062	137153	154058	129174	179601	187484	273779	392628	584611	671210	635480	646162	753278	358207	395954	395954	377208	476301	801600	616666	215260
Nợ ngắn hạn###Short term Liabilities	289586	263646	393800	270272	50182	46900	22424	31404	31404	34446	43394	47706	34151	35603	47739	77004	128155	96134	96062	86526	100895	75395	127344	133199	217953	345108	501874	534590	484033	491882	590528	170566	213003	213003	183502	283865	559424	357560	37545
Nợ dài hạn###Long term Liabilities	47138	36153	17429	17429	1742	1547	9024	8796	8796	8243	6452	3370	0	0	0	0	0	0	0	50628	53163	53779	52257	54286	55826	47520	82736	136619	151448	154280	162750	187641	182951	182951	193706	192436	242176	259107	177716
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	501739	493802	445100	445752	368614	375286	417283	427089	427089	434127	431255	422142	403997	402835	365391	348131	342116	347728	347801	348475	437432	498204	466838	516659	486651	453000	431540	397012	404932	389643	368453	323818	310706	310706	278855	306017	251773	229087	99361
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	501739	493802	445100	445752	368614	375286	417283	427089	427089	434127	431255	422142	403997	402835	365391	348131	342116	347728	347801	348475	437432	498204	466838	516659	486651	453000	431540	397012	404932	389643	368453	323818	310706	310706	278855	306017	251773	229087	99361
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1121732	682026	706659	706659	0	767926	1053374	0	0



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	 2012	 2011	 2010	 2009
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	243973	383589	382615	351948	9231	15043	6393	202561	14827	51240	68365	68130	83079	9015	11676	15375	47013	6355	2330	1435	1200	1462	900032	52882	233282	279478	402011	1001456	243320	230730	348107	179299	533020	46714	113653	887611	749268	329868	0
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Doanh thu thuần###Net Sales	243973	383589	382615	351948	9231	15043	6393	202561	14827	51240	68365	68130	83079	9015	11676	15375	47013	6355	2330	1435	1200	1462	900032	52882	233282	279478	402011	1001456	243320	230730	348107	179299	533020	46714	113653	887611	749268	329868	0
Giá vốn hàng bán###Cost of goods sold	190591	310476	300889	253118	11847	21615	14308	153903	29406	39816	45827	42592	117241	27229	20731	17978	51827	78004	8147	33733	17254	18869	784451	97083	177924	172075	341232	742407	198252	192383	205796	145976	418670	24247	79101	722664	630183	281345	0
Lợi nhuận gộp###Gross profit	53382	73113	81727	98830	-2616	-6572	-7915	48658	-14579	11424	22538	25537	-34163	-18214	-9056	-2603	-4814	-71649	-5817	-32298	-16054	-17407	115581	-44201	55358	107403	60779	259049	45068	38348	142311	33323	114349	22467	34552	164947	119085	48523	0
Doanh thu hoạt động tài chính###Financial activities Revenues	674	753	8967	2126	1602	2246	2993	5877	2456	1211	812	1399	6793	1543	1625	1632	1993	3645	1952	936	433	367	2258	614	930	340	393	4795	1078	788	1862	1246	2574	1528	356	2947	7760	13459	3951
Chi phí tài chính###Financial Expenses	2035	2114	1662	1581	34	46	0	381	8	141	168	64	12	0	0	12	0	904	106	217	254	370	10005	2530	1133	3994	2366	12487	3003	2659	3975	3029	21349	3666	4322	49810	69433	15047	0
Chi phí bán hàng###Selling Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chi phí quản lý doanh nghiệp###Managing Expenses	12088	10831	31516	10960	5852	7465	7133	22792	1925	5228	11454	4185	38479	20441	7099	5869	5998	29210	8705	6201	7663	6641	48522	15890	11852	12682	8052	61069	22339	6531	26234	5966	18000	4296	5299	17733	21645	18892	3246
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	39934	60920	57516	88414	-6901	-11837	-12055	31363	-14056	7265	11729	22687	-65861	-37112	-14530	-6851	-8819	-98117	-12676	-37780	-23538	-24051	59312	-62008	43303	91067	50754	190288	20804	29946	113964	25574	77575	16032	25287	100352	35767	28043	705
Thu nhập khác###Other incomes	7869	12	876	87	442	347	0	1806	5317	126	98	3	125300	75641	31791	14544	3324	44548	12153	0	26469	5926	42863	39329	1718	1459	356	63	16	10	15	21	792	-2407	257	1399	783	588	304
Chi phí khác###Other Expenses	349	0	6543	0	213	5652	1	3439	0	3034	397	8	1987	200	0	1678	109	320	137	0	90	92	3801	-495	5	4289	2	1	0	1	0	0	119	0	33	2055	1487	180	2
Lợi nhuận khác###Other profits	7520	12	-5667	87	229	-5305	-1	-1633	5317	-2908	-299	-5	123312	75441	31791	12866	3215	44228	12016	0	26378	5834	39062	39824	1713	-2829	354	61	16	9	15	21	673	-2407	224	-656	-704	408	301
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	47454	60932	51848	88501	-6672	-17143	-12056	29730	-8740	4357	11430	22682	57452	38329	17261	6015	-5604	-53889	-661	-37780	2840	-18216	98375	-22183	45016	88238	51109	190349	20820	29955	113979	25595	78248	13625	25511	99696	35063	28451	1006
