CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	 2006
Tài sản ngắn hạn###Current Assets	1305037	1446683	1528821	1502026	1437937	1562334	1666759	1675622	1694393	1769614	1610899	1336436	1850485	1852475	1931992	2032964	1401134	1667028	1666064	1969904	1908206	1640579	1706139	1582955	1790813	1837585	2077911	2120668	2099843	2165072	2224900	1764809	1902363	1834645	1572622	1597863	1431385	1662822	1628085	1559770	1498413	1331759	1398814	1402655	1297154	987061	792995	889301	818367	560582	346827	420337	273209	265623	275904	236849	196980	250329	252783	309254	262938	285652	240308	236967	232557	179472
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	329038	277336	260590	260575	311513	348215	247416	221780	221780	533518	457180	356355	399005	400139	264302	288055	270366	203305	188305	247399	451575	312901	311386	311536	333778	438381	437849	496313	496313	409151	423780	336747	448990	448990	345679	324686	139020	349795	351876	216024	117073	100385	174077	169364	254281	175440	111978	288134	288134	132016	40906	71123	33609	33106	7525	28334	32067	13587	13592	9934	15723	56191	55536	55536	33335	19643
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	22000	57000	57000	57000	80000	2000	117000	117000	133752	19212	18752	19060	8468	7334	15934	53710	3300	11500	26500	11200	0	0	2302	2302	0	1931	1073	0	0	0	0	0	0	0	0	0	0	2082	0	0	2083	0	0	0	0	0	0	0	0	0	0	0	0	120075	5000	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	626249	804250	866997	834028	730710	844496	1028085	1023527	1012895	859443	799407	618261	1095741	1095896	1266439	1101776	655664	964992	944619	1051160	740000	591897	633490	520342	811466	618233	855412	740408	736824	956048	1054077	741242	672044	617613	505409	657565	752454	707039	693008	738669	551594	605982	352878	458321	473744	447418	464170	338597	291369	301963	205711	243887	135174	0	155272	105545	57062	131551	132970	197298	145397	177202	155276	157863	164742	121383
Hàng tồn kho###Inventory	320473	301617	337297	342425	307603	356100	263253	302435	315024	343842	321935	328274	331156	333202	371038	573329	449044	464819	484542	630823	681414	684662	712230	708440	612583	740175	754351	846629	829202	764137	722445	663140	754462	744966	678575	565619	489869	561220	541030	562183	774466	584685	828401	727004	510819	335663	192466	240881	217002	113355	91320	99184	100593	100831	97817	90068	97304	94046	97918	88378	90640	45489	23543	19955	28714	33420
Tài sản ngắn hạn khác###Other Current Assets	7276	6480	6938	7999	8111	11524	11004	10880	10941	13599	13624	14486	16114	15904	14278	16093	22760	22411	22098	29322	35217	51119	46732	40336	32986	38865	29225	37318	37505	35736	24598	23680	26868	23076	42959	49994	50042	42687	42171	42893	53198	40707	43458	47966	58310	28539	24381	21689	21861	13248	8890	6143	3833	11610	10291	12902	10547	11146	8304	13644	11178	6769	5954	3614	5766	5026
Tài sản dài hạn###Non-current Assets	234281	236206	245935	254734	265959	257696	275043	282513	277508	290487	295441	299693	299280	288930	294606	306165	314455	321611	324478	322448	326997	342994	286155	302504	294482	291947	305309	312499	318835	296122	300671	281932	279552	280753	268902	258103	274569	281432	286125	271243	257530	240856	233853	204471	137371	188138	285532	253157	250652	227842	175885	129587	200711	199024	141795	153063	166171	146409	142415	55910	53075	43646	43229	43286	36219	56269
Các khoản phải thu dài hạn###Long term Account Receivable	3015	2810	2897	12397	13227	2834	9323	9217	2266	2291	291	291	291	291	291	204	204	209	209	58	437	564	493	301	301	509	386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	396	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	197221	202996	208985	208985	215705	222756	229978	237122	237122	245284	252210	259897	267499	267499	275201	282198	291181	300051	297386	299315	303236	309516	239550	239550	236146	240002	244017	265330	251242	244361	238990	208405	224721	226357	224397	222318	225366	211934	232613	221557	212619	197065	86118	172341	103782	83557	71617	52947	69200	53041	35263	22582	23208	20352	18199	19100	20003	20826	20826	21840	23041	23636	24121	24134	24013	47037
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-238533	-232186	-225777	-225777	-221389	-217158	-211213	-204039	-204039	-231671	-224066	-223980	-216023	-216023	-207717	-199156	-194330	-185752	-185752	-182248	-174322	-165351	-176540	-176540	-170977	-169994	-163598	-155921	-154857	-148701	-142392	-135476	-130893	-130233	-124700	-119091	-119685	-114619	-114461	-107869	-106006	-101497	-97090	-96647	-93338	-52233	-57946	-56243	-56561	-54638	-53994	-52617	-52479	0	0	0	0	-47338	0	0	0	0	-42938	0	0	-41582
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-8257	-7968	-7680	-7680	-7427	-7133	-6839	-6494	-6494	-6302	-5990	-5794	-5483	-5483	-5171	-4858	-4569	-4277	-4009	-3744	-3480	-3220	-3491	-3491	-3230	-2974	-2715	-2457	-2454	-2183	-2267	-1641	-1450	-1450	-1264	-1025	-954	-890	-633	-434	-410	-371	-316	-301	-285	-198	-180	-162	-162	-143	-138	-133	-127	0	0	0	0	-119	0	0	0	0	-135	0	0	-98
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	0	0	0	0	0	0	1329	2406	2406	3767	4582	5242	4670	4670	6221	6794	7386	7780	7780	9755	10339	11268	11657	11657	12451	13033	13152	13108	13108	12994	13059	12887	12896	12927	5692	5705	5553	4059	4059	10130	2499	2423	2499	2423	2423	91413	207971	177364	177361	170585	138563	104662	174299	171359	119185	133507	145742	125188	119386	33945	29953	19953	18953	18953	12161	9161
Tài sản dài hạn khác###Other long term assets	34046	30401	34053	33352	37028	32106	34414	33768	35715	39145	38289	34140	26765	16415	12845	16938	15669	13570	19102	13321	12984	16785	15424	31965	23259	22646	32290	34061	39315	24187	34608	35253	41935	41469	38814	30080	43650	42169	49453	39556	42412	41369	41671	29707	31167	13167	5945	6275	4091	4216	2059	2342	3204	7313	4411	456	425	396	1238	125	81	57	156	199	45	71
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	1539318	1682890	1774756	1756760	1703896	1820030	1941802	1958135	1971901	2060101	1906339	1636129	2149765	2141405	2226597	2339129	1715589	1988639	1990542	2292352	2235203	1983573	1992294	1885459	2085295	2129532	2383220	2433166	2418678	2461193	2525571	2046740	2181916	2115398	1841524	1855967	1705953	1944255	1914210	1831013	1755943	1572615	1632667	1607125	1434526	1175199	1078527	1142458	1069019	788424	522712	549924	473920	464648	417700	389912	363150	396739	395198	365164	316013	329297	283537	280253	268777	235741
Nợ phải trả ###Liabilities	725988	809489	900730	880250	816314	947445	1027779	1049050	1066493	1176280	1014170	705427	1203649	1193897	1276031	1387671	745334	961547	961025	1262668	1180344	781964	793169	680136	911993	988589	1210001	1247832	1274700	1349482	1487607	993649	1181350	1074898	866246	959121	618644	929804	913192	1023148	1034105	756404	873928	830873	709693	618698	472053	571816	497401	428666	213366	265839	199727	199667	167765	132730	111297	161363	162723	166299	117785	143997	112267	110651	86031	84421
Nợ ngắn hạn###Short term Liabilities	696935	796923	888045	869923	801609	929873	1011939	1033490	1050915	1148462	985923	677209	1173265	1168672	1246341	1366200	722458	937034	936645	1217093	1133248	724964	735999	616920	834585	911157	1115173	1160996	1187864	1260410	1402704	913794	1111384	1004932	788831	882140	532241	843530	813370	922452	934008	669065	826436	778330	671765	588963	441909	556798	482383	427552	212331	264874	198816	199179	167270	132227	110855	160988	162294	165899	117428	143657	111961	110345	85752	84246
Nợ dài hạn###Long term Liabilities	29054	12566	12685	10328	14705	17572	15840	15561	15579	27818	28247	28218	30384	25225	29690	21471	22876	24512	24380	45575	47096	57000	57171	63215	77408	77432	94828	86836	86836	89072	84903	79856	69966	69966	77414	76981	86404	86274	99823	100697	100097	87339	47492	52544	37928	29735	30144	15018	15018	1114	1035	966	911	488	495	504	442	375	430	399	357	340	306	306	278	175
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	8	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	813329	873401	874026	876510	887582	872585	914023	909085	905407	883821	892170	930702	946115	947508	950566	951458	970255	1027092	1029517	1029684	1054859	1201609	1199124	1205323	1173302	1140943	1173219	972515	1143978	1111711	1037964	1053091	845923	865976	824512	791022	851238	1014451	809786	636751	623926	631814	758739	590465	569344	556049	606195	570642	571234	359457	309049	283801	274032	264819	249935	257182	251854	235376	232475	198865	198228	185300	171270	169602	182746	151320
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	238	987	6856	6856	4349	999	1120	3072	3072	2025	1825	2075	2075	2075	625	625	850	850	850	964	1441	1500	1721	1871	2332	1433	1538	2193	2193	2091	2091	816	966	966	934	-119	174	174	174	85	-234	-234	-234	-234	778	161	102	102	1413	1769	2096	1908	30	-8489	-129	1796	-2214	-890	310	607	724	253	68	373	1278	17
Vốn chủ sở hữu ###Owners equity	813091	872413	867170	869654	883232	871586	912903	906013	902335	881796	890345	928627	944040	945433	949941	950833	969405	1026243	1028668	1028720	1053418	1200109	1197403	1203452	1170970	1139510	1171681	970322	1141786	1109620	1035873	1052275	844957	865010	823578	791142	851063	1014276	809611	636666	624159	632048	758973	590699	568566	555888	606093	570540	569821	357688	306953	281893	274002	273309	250064	255386	254068	236265	232164	198258	197504	185047	171202	169229	181468	151303
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	212819	224860	205531	158705	178674	154643	174525	150767	105823	236071	176869	191232	171114	97912	184397	134900	185787	155489	451	279	272	384	301	297	283	161	161	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2525571	2046740	2181916	2115398	1841524	1855967	1705953	1944255	1914210	1831013	1755943	1572615	1632667	1607125	1434526	0	1078527	1142458	1069019	788424	528364	549924	473920	464648	417700	389912	363150	396739	395198	365164	316013	329297	283537	280253	268777	235741



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	 2006
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	477258	392069	2267401	646163	617155	414511	573756	2476753	737213	553927	622590	514243	3317664	594559	1112679	1079933	565564	3063050	738904	895164	937233	471561	3606337	761318	1011220	975483	918838	4608825	1228841	1039852	1372275	940276	3846930	1151125	868131	1020367	760479	3755221	896584	981827	860874	782314	2580167	865658	715216	558989	614558	1793178	889493	429724	277606	207055	582102	247441	104020	137787	93074	418825	119374	120559	76631	105149	333022	119354	100013	174722
