CAN DOI KE TOAN	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	 2006
Tài sản ngắn hạn###Current Assets	1319571	1320466	1413612	1378579	1258505	1445303	1359517	1318752	1439733	1103605	1127048	1404726	1179463	1207112	1038702	973570	860683	802399	805987	731890	716344	676673	691392	730391	693575	621034	646758	634421	643781	559376	535769	536935	493607	547402	434932	422315	503540	507734	507368	470468	443300	414100	279731	279731	140023	180048	183187	196551	186946	215856	181534	161373	169961	169961	197546	179442	167170	150284	150284	164671
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	27813	23575	51467	50708	26369	40619	39665	74745	74244	37129	43667	186908	45127	38476	82867	126524	70782	69879	71911	54900	99709	111909	170041	170041	78894	53038	41247	36005	36005	64654	35495	49838	62578	62578	63933	62597	99619	141585	141882	133727	86937	169215	101564	101564	57961	32350	34247	42270	42270	101903	43761	46151	32661	32661	50879	26181	15856	13799	13799	42435
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	119	119	119	119	294	294	294	294	294	837	837	837	3504	4861	4963	4963	4844	3844	0	0	0	0	0	0	0	400	563	563	563	546	546	546	297	297	0	0	0	0	0	0	0	10000	0	0	0	0	6012	6034	6034	0	0	0	0	0	172	168	4000	5000	5000	10000
Các khoản phải thu ngắn hạn###Short term Account Receivables	590604	565056	277353	326053	318599	388411	351127	306892	425009	415266	599516	454800	443092	557717	424420	387630	473739	370605	377461	518935	477046	401815	400295	463910	522941	481840	514410	528276	537630	412521	418961	407424	385201	437373	308730	306906	329370	308375	302774	262846	297215	171455	134194	134194	45399	110277	84233	59215	55189	38502	47821	28792	23430	23430	38091	56672	40202	41572	41572	41710
Hàng tồn kho###Inventory	683957	709800	1067709	983956	889836	997280	949153	919672	924849	609695	457204	723020	660153	580384	496677	430183	292089	338584	336651	141431	120176	73822	57492	32875	33791	24513	25616	21450	21335	33649	27973	38894	12593	16430	25764	18385	18209	15367	20107	31814	28324	25812	24292	24292	24394	25859	45834	78788	71233	61303	78606	75288	104256	104256	92480	78828	93428	80388	80388	65544
Tài sản ngắn hạn khác###Other Current Assets	17079	21917	16965	17743	23408	18700	19278	17149	15337	40679	25824	39161	27587	25674	29775	24271	19230	19488	19964	16625	19413	89128	63565	63565	57949	61243	64922	48127	48248	48005	52794	40232	32939	30723	36506	34428	56341	42407	42605	42081	30825	37618	19680	19680	12270	11562	12860	10244	12220	14148	11345	11142	9614	9614	15924	17594	13683	9525	9525	4983
Tài sản dài hạn###Non-current Assets	184096	190603	194305	186253	201410	205966	223731	234894	234298	239829	244235	235759	229370	229903	223376	226090	228158	229257	228229	183435	179915	182612	179876	179876	181451	183714	185397	186299	186408	187240	189358	191647	193359	193230	200532	193599	189614	169263	163410	151968	124852	105742	90571	90571	80779	52434	51505	42245	42145	10557	10593	10435	10834	10834	11208	10996	10377	10832	10832	10613
Các khoản phải thu dài hạn###Long term Account Receivable	146144	146144	146144	146144	146144	146144	146137	153516	153516	153516	153516	153501	153952	153986	153585	153585	153585	153585	153453	153453	153453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-100	0	-100	-100	-100	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	24423	30568	33317	33281	38827	41521	50415	52091	52102	57998	61154	66657	63187	63208	58579	61515	62343	59872	59872	15427	12131	15973	13738	13738	14667	15788	15842	16825	16825	17355	18447	22034	23108	23501	24141	23101	21010	21020	21070	21711	17040	15775	11980	11980	12249	9577	9142	10010	10010	6915	7104	6871	7279	7279	7401	7787	7213	7725	7725	10279
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-68154	-67752	-68659	-65956	-55994	-55912	-53357	-51460	-52161	-40027	-43610	-38961	-38243	-37870	-34280	-33800	-34040	-33369	-33369	-32692	-32026	-31372	-30711	-30711	-30205	-29564	-28631	-28145	-28305	-27580	-27160	-30058	-29408	-29538	-28222	-27015	-25870	-24782	-24731	-26928	-25930	-26288	-25318	-25318	-24474	-23965	-23571	-22761	-22761	-22404	-22036	-21696	-21314	-21314	0	-20342	-19832	0	-19349	0
