CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	 2007
Tài sản ngắn hạn###Current Assets	676096	662462	605408	610959	611653	662323	756819	725471	726598	724478	803450	713516	710485	710652	628845	472076	589363	519913	550993	466440	555023	536658	610271	627860	600344	677977	736366	809375	806522	835478	891437	921093	898144	904500	804415	754924	794019	692275	693076	836031	744353	1075406	905795	884204	1023855	1083713	1154045	950544	894948	719534	776258	647187	681405	681405	621993	549775	547754	510443	489021	640323	501785	554868
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	95245	193449	72565	72572	68242	51385	44462	33888	33918	113043	54229	46261	48991	48991	52046	22941	32630	32531	32531	31335	53372	74801	123900	137912	70404	92362	104292	206879	206559	127084	151120	64939	66025	66155	109549	117172	117987	70008	37414	34182	82186	21336	101751	41730	20560	135018	42860	106148	56148	35652	228286	56635	280333	280333	36809	28638	31973	173139	43857	61490	26997	222680
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	108100	0	0	0	51500	51500	32200	26800	26800	0	68700	16000	16000	16000	16000	16000	16000	16000	16000	16000	16000	16000	16000	0	0	0	0	0	0	0	11200	0	0	0	0	200	0	0	32575	80500	5000	67500	5000	60075	100353	20450	360240	93325	81450	85450	450	150450	450	450	224434	180794	170434	77200	207489	286500	182500	79500
Các khoản phải thu ngắn hạn###Short term Account Receivables	329455	343486	410749	399053	300024	364194	528515	477889	477889	485947	499945	495308	480715	470727	423719	308901	431744	364565	396415	361477	379598	378301	411878	418032	422984	473402	525870	495645	496013	640101	597175	639215	694197	700820	585979	516854	549742	545835	519695	552284	571972	844769	708301	705130	714570	709124	600078	601306	609687	494996	396019	332286	318023	318023	277278	225591	183343	203404	186444	184205	216076	175251
Hàng tồn kho###Inventory	43807	33888	38891	50507	55578	69574	32971	69917	71017	57200	84236	63773	83283	78118	53311	52912	42126	52575	50791	16260	62200	30825	29867	32694	30752	55929	55096	57578	54930	26297	93739	171233	108309	107926	88126	104372	92681	62614	63948	120802	40540	95914	56661	40721	138713	162831	24661	93297	93168	66438	120355	66004	61287	61287	38871	28227	52683	34485	34844	84461	22511	22505
Tài sản ngắn hạn khác###Other Current Assets	99488	91639	83202	88828	136309	125671	118672	116976	116974	68288	96339	92174	81497	96817	83769	71322	66862	54242	55257	41368	43853	36731	28627	39223	76204	56284	51108	49272	49019	41996	38204	45706	29612	29599	20760	16326	33610	13819	39444	48262	44654	45888	34081	36547	49658	56290	126206	56469	54495	36997	31148	41811	21313	21313	44601	86524	109321	22215	16387	23667	53701	54932
Tài sản dài hạn###Non-current Assets	655798	669567	676853	671936	682111	702860	701860	725726	723707	705913	720322	718288	745047	731489	760267	778165	779156	789884	784309	784066	794607	736086	707754	687413	624095	579331	563883	556948	555384	564210	568683	563776	564250	564461	578403	581123	574957	585207	590064	591010	584508	574366	552546	574128	504851	474479	440053	385985	446696	376773	371417	358692	358373	358373	313211	310530	320771	304699	318712	290930	248180	225802
Các khoản phải thu dài hạn###Long term Account Receivable	6174	6821	6113	6821	9691	8113	9781	8113	8113	0	8113	0	15113	17633	17933	17433	17433	17433	17433	9933	9411	10	39	0	0	0	0	0	0	1992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	480	1862	480	480	525	0	480	0	0	1728	1460	931	0	6289	5957	6610	0
Tài sản cố định ###Fixed assets	372116	364537	371941	371941	383437	391030	394054	405525	405525	417178	421792	425021	434456	421754	430541	452615	451096	461572	461253	484060	494050	242692	248561	220799	204411	211709	211688	290062	215311	220560	229157	233045	278618	278722	287396	284290	271280	238042	293611	292162	287518	271510	249543	280765	247006	245213	234369	144720	189566	147986	151756	144387	144777	144777	95742	82922	86321	73000	83869	63758	27801	26750
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-342946	-332603	-322223	-322223	-306679	-302369	-297765	-287871	-287871	-276604	-271625	-259756	-250363	-250363	-240225	-228716	-219272	-208797	-206358	-200565	-190561	-181806	-175969	-174296	-167854	-164184	-156526	-153268	-151710	-146451	-142438	-136716	-131199	-131896	-126298	-120023	-116318	-110793	-110616	-104388	-99928	-92508	-89260	-89893	-84835	-79538	-75265	-72215	-72215	-68850	-66133	-63486	-60815	-60815	0	0	0	-50413	0	-48149	-46321	-42884
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-3288	-3629	-2920	-2920	-2475	-2565	-2331	-2210	-2210	-1774	-1723	-1685	-1644	-1644	-1589	-1543	-1492	-1446	-1446	-1394	-1347	-1307	-1275	-1196	-1256	-1209	-1181	-1153	-1153	-1115	-1085	-954	-1004	-1194	-1150	-1106	-1068	-1019	-904	-966	-908	-848	-770	-770	-684	-607	-535	-480	-480	-450	-423	-395	-373	-373	0	0	0	-291	0	-267	-245	-202
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	22772	22980	23187	23187	23394	23601	23808	24015	24015	24222	24429	24636	24843	23721	24240	24134	24365	24515	24932	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	12400	11920	11920	11920	11920	11920	11920	11920	11920	11920	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10960	10000	10000	16471	11471	28928	28928	24590	16471	29161	90721	78346	78074	78074	80699	80699	82047	103839	113074	111199	116199	113699	111199	92750
Tài sản dài hạn khác###Other long term assets	240398	244055	249680	244055	247198	255334	255449	268060	266041	244605	250089	248194	252704	253336	272277	269466	270367	271624	267553	273364	273672	250679	252363	242007	243381	249555	256642	256885	256595	264411	269765	272041	275632	275740	281006	286832	293677	289416	285493	288849	286990	286385	265432	264435	228850	204196	187350	165928	165928	149915	141588	135752	132897	132897	133694	122309	120446	120500	112356	107517	102570	106303
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	1331893	1332029	1282261	1282895	1293764	1365184	1458679	1451197	1450305	1430391	1523772	1431804	1455533	1442141	1389112	1250241	1368519	1309797	1335301	1250506	1349630	1272745	1318025	1315273	1224438	1257308	1300249	1366323	1361906	1399688	1460120	1484869	1462394	1468962	1382818	1336047	1368976	1277482	1283140	1427041	1328861	1649773	1458341	1458332	1528706	1558192	1594098	1336530	1341644	1096306	1147675	1005880	1039779	1039779	935203	860304	868526	815142	807733	931253	749965	780670
Nợ phải trả ###Liabilities	858647	862726	801358	805090	823475	884040	1048315	1044217	1043374	1026823	1123037	1034417	1060406	1047122	1002304	863694	983480	927863	939647	860380	957483	864825	915355	907809	823031	863122	917345	987296	982514	1020314	1086503	1095160	1051304	1058101	981526	938649	951642	867919	872939	1022499	941712	1220753	1035179	1029402	1116826	1159876	1161769	1014034	1029111	795611	832049	685862	731285	729701	634729	565487	570146	520336	511682	624707	595053	638915
Nợ ngắn hạn###Short term Liabilities	755520	760675	696374	700106	714838	776618	942610	939352	937644	936197	1029959	941062	968330	955045	912501	774379	905235	837898	847438	769828	852655	771030	819444	811898	647912	784812	836192	903440	899037	932311	993871	999765	951292	865090	786524	742369	750283	666245	521265	671063	589498	867649	779697	773920	875511	930407	937274	793797	715634	487816	680675	529893	581371	579787	318945	252579	259528	229264	216624	312202	299235	444107
Nợ dài hạn###Long term Liabilities	103127	102050	104984	104984	108637	107423	105705	104866	105730	90626	93078	93355	92076	92076	89804	89315	78245	89965	92208	90552	104827	93795	95911	95911	175119	78310	81154	83856	83477	88003	92632	95395	100011	193011	195002	196279	201359	201674	351674	351436	352214	353103	255482	255482	241315	229469	224494	220237	313477	307795	151374	155968	149914	149914	315784	312907	310617	291071	295058	312506	295818	194808
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	8	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	473246	469303	480903	477805	470289	481143	410364	406980	406932	403569	400735	397387	395127	395019	386808	386547	385039	381934	395654	390126	392147	407920	402671	407464	401407	394186	382904	378482	379393	379374	373618	389709	410634	410404	400632	396766	416771	409562	409945	404542	386781	429020	423161	428857	411818	398317	432329	322496	312533	300695	315625	320018	308493	310077	300474	294818	298380	294807	296051	306546	154912	141755
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1584	108	938	350	0	0	220	357	0
Vốn chủ sở hữu ###Owners equity	473246	469303	480903	477805	470289	481143	410364	406980	406932	403569	400735	397387	395127	395019	386808	386547	385039	381934	395654	390126	392147	407920	402671	407464	401407	394186	382904	378482	379393	379374	373618	389709	410634	410404	400632	396766	416771	409562	409945	404542	386781	429020	423161	428857	411818	398317	432329	322496	312533	300695	315625	320018	308493	308493	300366	293880	298030	294807	296051	306326	154555	141755
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	544	544	456	393	659	480	456	456	660	632	563	256	256	0	368	0	312	72	62	0	0	264	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1460120	1484869	1462394	1468962	1382818	1336047	1368976	1277482	1283140	1427041	1328861	1649773	1458341	1458332	1528706	0	1594098	1336530	1341644	1096306	1147675	1005880	1039779	1041551	935203	860304	868526	815142	807733	931253	749965	780670



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	 2007
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	658106	833164	3480462	979053	794836	788579	917994	4054934	1070565	1021491	1000170	962708	3552348	1016708	903976	734926	896740	2525199	699228	632599	593663	600962	2736843	732753	598137	634372	770332	4221278	989059	1415101	1054291	1044755	4074541	1289427	910187	873477	1011892	4314777	1067867	818264	1047908	1376373	3998494	1240778	859319	1021099	879344	2764314	924113	652926	658051	529899	1540366	573485	382785	280457	299950	1294066	282342	340829	671119	932052
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	678	0	17557	4857	3837	5254	3609	4911	1336	1165	1799	611	9463	8013	1152	138	159	1649	514	447	452	236	34	34	0	0	0
Doanh thu thuần###Net Sales	658106	833164	3480462	979053	794836	788579	917994	4054934	1070565	1021491	1000170	962708	3552348	1016708	903976	734926	896740	2525199	699228	632599	593663	600962	2736843	732753	598137	634372	770332	4221278	989059	1415101	1054291	1044755	4074541	1289427	910187	872799	1011892	4297220	1063010	814427	1042654	1372765	3993583	1239442	858153	1019300	878733	2754851	916099	651774	657912	529740	1538717	572971	382338	280005	299714	1294031	282307	340829	671119	932052
