CAN DOI KE TOAN	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	 2014	 2013	 2012
Tài sản ngắn hạn###Current Assets	209190	210389	210092	209309	198907	210680	199480	223435	219850	211309	210567	211379	227500	218442	134245	147888	145499	181057	164122	164219	157600	138062	150586	132075	349558	448883
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	1023	744	744	947	1444	3664	4582	4582	7344	11901	20806	29863	11631	970	1360	1679	1131	1131	1276	1770	596	1432	1432	785	1375	10993
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	42052	45052	45052	48601	39601	39137	39165	39165	0	38564	36496	37252	55484	85187	20729	22890	25494	25494	27494	27500	27500	27500	27500	27500	27500	27500
Các khoản phải thu ngắn hạn###Short term Account Receivables	88577	96444	96444	87788	84294	95250	87577	111669	144186	74009	76509	72488	79120	65714	44478	55956	42897	63678	47919	46529	41798	37126	37106	33634	181385	183501
Hàng tồn kho###Inventory	75180	66469	66204	69546	70482	68866	66861	66564	64958	71719	62194	59210	59210	64331	64120	64655	67148	82069	73504	71770	71065	55441	67994	55399	122087	209187
Tài sản ngắn hạn khác###Other Current Assets	2360	1679	1648	2428	3087	3763	1293	1455	3363	15116	14563	12566	22055	2240	3557	2709	8828	8685	13928	16651	16641	16562	16554	14757	17210	17702
Tài sản dài hạn###Non-current Assets	410827	410425	412540	413953	425607	416597	427405	405886	407665	422765	422513	429635	425284	429662	523335	504621	511901	477025	488519	488520	492141	515920	503388	531734	161506	189267
Các khoản phải thu dài hạn###Long term Account Receivable	139240	138455	138455	138455	149559	139843	150059	125790	127885	142392	141189	147848	141168	140872	153996	138431	144907	126671	131916	132161	132627	144424	144444	157101	0	34
Tài sản cố định ###Fixed assets	224	167	2282	2387	2497	2763	2906	2909	2969	3121	3273	3435	3435	3608	7723	3962	4145	4145	954	1155	1375	1600	1600	2563	3679	4894
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-10230	-10224	-8109	-8004	-7894	-7977	-7834	-8354	-8234	-8082	-7929	-7767	-7767	-7594	-7479	-7241	-7057	-7057	-7120	-6919	-6699	-6474	-6474	-5875	-5058	-4348
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
