CAN DOI KE TOAN	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	 2006	 2005
Tài sản ngắn hạn###Current Assets	15094299	14126314	14126314	14045108	13908522	13401017	12514973	12516964	14113571	13377497	13958124	13167915	13167915	13472370	15829298	14946643	10290581	10290581	9504002	9411230	9487945	8389906	8389906	8673803	8283289	7768232	6060882	2522659	5553015	5120679	4650481	4650481	5514281	5937189	4776121	4373174	4373174	3963796	4035441	3869182	3563870	3448099	2641248	3794448	4179540	3702304	3655206	3831891	3043646	755392	335710
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	731854	706885	706885	714238	732745	812767	758739	758739	909254	1011648	1090427	1981205	1981205	1861541	2653539	3524967	2672079	2672079	985657	2269586	3962720	1773518	1773518	4341308	1724310	1320347	686565	318904	1679824	598958	561485	561485	773244	2308458	974391	1478791	1478791	913365	709780	979938	833561	0	0	0	0	1158716	0	251984	195238	59737	32591
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	7111366	6290262	6290262	6410354	6785023	6743971	5833068	5833068	6859570	6899398	6639715	4124327	4124327	4228637	4079311	4605040	6135134	6135134	6948822	5445247	4178356	5275830	5275830	2613058	4807552	4851711	4182684	1792157	2633170	3332550	3172614	3172614	3434772	2406910	2911186	2138879	2138879	2234139	2662762	2273722	2260743	2185743	1230539	2154244	3159423	2172970	2403246	3173782	2498878	582158	218250
Các khoản phải thu ngắn hạn###Short term Account Receivables	6913804	6857862	6857862	6691528	6124485	5543029	5723479	5725471	6116723	5271085	5984800	6822018	6822018	7145974	8887854	6660716	1411581	1411581	1514844	1640058	1254446	1173649	1173649	1585258	1612844	1455761	1111821	407570	1154284	1143051	862875	862875	1232456	1154265	834767	711856	711865	768761	623489	583336	446410	400412	490033	567193	462175	355638	329407	361901	326422	98688	80713
Hàng tồn kho###Inventory	7995	8218	8218	10945	20014	12184	2458	2458	2528	2331	3499	2111	2111	3389	3151	1610	2447	2447	952	1452	998	1990	1990	1969	1939	1921	1024	2	669	420	86	86	1207	991	485	333	333	0	815	489	0	0	0	0	0	0	0	0	0	0	0
Tài sản ngắn hạn khác###Other Current Assets	329280	263087	263087	218043	246255	289066	197229	197229	225497	193035	239683	238254	238254	232829	205444	154312	69340	69340	53727	54887	91425	164919	164919	132209	136643	138492	78789	4026	85067	45700	53421	53421	72601	66565	55292	43314	43305	46979	38595	31697	23157	30261	36020	31764	22849	14980	15687	44224	23108	14808	3963
Tài sản dài hạn###Non-current Assets	2433247	2516247	2516247	3004338	2948780	3034262	2980277	2980277	4245056	4040584	3936690	5162504	5162504	5336731	4591588	2862896	2109293	2109293	1985770	2119031	2106304	2381298	2381298	2436319	2058747	2139623	2133988	2394311	1964219	1770152	1802622	1802622	1280402	1337957	1478073	1549198	1573198	1907793	1542316	1360349	1354491	1491492	2440329	1626793	1019231	816967	840968	688256	509486	439892	126675
Các khoản phải thu dài hạn###Long term Account Receivable	23335	23074	23074	22839	20747	20600	20055	20055	38492	33863	33243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	297888	301785	301785	288559	273582	271542	277385	277385	280956	275123	285176	299443	299443	301675	314993	287826	213316	1377942	1172219	1166975	1066754	99574	1031461	1007636	540674	541522	88804	272308	319745	322202	89375	319853	111747	87097	85570	87681	87681	292204	294448	279726	284572	284556	272719	286441	279657	272444	280654	274056	269854	259086	126675
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-152804	-145042	-145042	-132908	-124460	-116995	-112531	-112531	-165513	-153153	-142143	-130226	-130226	-125305	-113755	-104188	-93246	-93246	-85613	-98039	-92109	-88545	-88545	-87501	-83606	-80375	-76315	-21508	-72137	-69140	-66173	-66173	-70771	-66916	-64229	-60372	0	0	0	0	-45512	0	0	0	0	-32537	0	0	0	-24141	0
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-84582	-78380	-78380	-72206	-66922	-62078	-57670	-57670	-97920	-88990	-80070	-71948	-71948	-63846	-55634	-48504	-41769	-41769	-34630	-29280	-25740	-23440	-23440	-21222	-19114	-17184	-15258	-8538	-11739	-10320	-9008	-9008	-7812	-6733	-6109	-5337	0	0	0	0	-2837	0	0	0	0	-1213	0	0	0	-332	0
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	1837571	1846053	1846053	1856446	1552406	1559953	1567501	1567501	1577547	1579605	1587153	892791	892791	898588	904386	910183	0	0	0	0	0	0	0	0	0	0	0	1804400	1486039	1282088	0	1309775	987683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	225886	302031	302031	809806	1071853	1144750	1067330	1067330	2275566	2069226	1937417	3138748	3138748	3304489	3049453	1313897	596723	596723	675418	806817	892631	1218758	1218758	1292004	1375929	1450829	1443646	141304	158436	165861	1309775	172994	180972	1044778	1190361	1261480	1285480	1604111	1237196	1071454	1061443	1198460	2161154	0	733574	531404	554315	408200	236132	172971	80045
Tài sản dài hạn khác###Other long term assets	40974	39824	39824	26688	30193	37417	48006	48006	72496	82767	93701	140036	140036	145658	148089	147499	134628	134628	138134	145239	146919	131079	131079	136678	142144	147272	150137	0	0	0	172994	0	0	187791	193081	200036	0	0	4377	8	8475	27	0	0	0	6000	6000	6000	3500	3500	0
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	17527545	16642561	16642561	17049446	16857302	16435279	15495250	15497241	18358628	17418082	17894814	18330418	18330418	18809101	20420886	17809540	12399874	12399874	11489772	11530261	11594249	10771204	10771204	11110122	10342035	9907854	8194870	4916970	7517234	6890831	6453102	6453102	6794682	7275147	6254194	5922372	5946372	5871589	5577756	5229531	4918361	4939591	5081577	5421242	5198770	4519271	4496174	4520147	3553132	1195284	462385
Nợ phải trả ###Liabilities	10617934	9821119	9821016	10541987	10032168	9646897	8761286	8763278	11437021	10393449	10890363	11442922	11442922	11986538	13642891	10847019	5479960	5479960	4920899	5008301	4927167	4687927	0	5098200	4970893	4307118	2733521	1238665	3748529	3188931	2845715	2845715	3255088	3748502	3743852	3506703	3518699	3474490	3211359	2906352	2630339	2634802	2681806	3124497	2941968	2764877	2742053	2936040	2989284	477068	307318
Nợ ngắn hạn###Short term Liabilities	10514578	9712409	9712305	10393142	9808749	9381338	8361496	8363488	11029175	9926039	10316344	10860475	10860475	11384988	12959343	10161258	4930377	4930377	4519495	4568509	4487379	4185637	0	4595878	4968570	4304795	2731262	1238408	2237033	1828152	1656205	1656205	2024398	2508676	2705708	2614496	2626492	2630537	2392493	2103126	1970620	1978807	449435	416608	286610	198694	2742053	2936040	2989284	129026	84260
Nợ dài hạn###Long term Liabilities	103357	108710	108710	148845	223419	265559	399790	399790	407846	467410	574019	582446	582446	601550	683548	685761	549583	549583	401405	439791	439788	502289	0	502322	2323	2323	2259	258	1511496	1360779	1189510	1189510	1230690	130022	130025	892207	892207	2181	2185	2181	0	655995	2232371	2707889	2655358	2137129	0	0	0	17	0
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	297738	297765	272949	1187237	252420	228274	1107385	905694	889738	0	0	0	0	657543	0	0	0	0	427824	0	0	0	345870	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	2419	2425	2432	0	0	4377	8	2176	0	0	0	0	1229	0	0	0	2155	2172
Vốn chủ sở hữu ###Owners equity	6909611	6821442	6821545	6507459	6825134	6788382	6733963	6733963	6921607	7024633	7004452	6887497	6887497	6822563	6777995	6962521	6919914	6174699	6080016	6032174	6177425	6083278	0	6011922	5371143	5600737	5461349	3678305	3768705	3701899	3607388	3607388	3539595	3526645	2510342	2415669	2427673	2397100	2366397	2323179	2288022	2304788	2399771	2296744	2256802	1754394	1754122	1584107	563849	718216	155067
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12004	12948	9718	1928	0	3176	-3813	2670	2659	0	18054	120	0	0	21793
Vốn chủ sở hữu ###Owners equity	6909611	6821442	6821545	6507459	6825134	6788382	6733963	6733963	6921607	7024633	7004452	6887497	6887497	6822563	6777995	6962521	6919914	6174699	6080016	6032174	6177425	6083278	0	6011922	5371143	5600737	5461349	3678305	3768705	3701899	3607388	3607388	3539595	3521859	2502517	2415669	0	0	0	0	2284312	0	0	0	0	1743069	0	0	0	715970	0
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	742260	696266	696266	706398	723136	739206	745215	745215	488857	489786	489656	0	0	0	0	0	0	0	0	0	0	0	0	4786	7825	0	0	0	0	0	3710	0	0	0	0	11326	0	0	0	2246	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20420886	17809540	12399874	12399874	11489772	11530261	11594249	10771204	0	11110122	10342035	9907854	8194870	0	7517234	6890831	6453102	6453102	6794682	7275147	6254194	5922372	5946372	5871589	5577756	5229531	4918361	4939591	5081577	5421242	5198770	4519271	4496174	4520147	3553132	1195284	462385



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	 2006	 2005
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	2292656	2788239	10314800	2076910	2355440	2765231	3132000	9590414	2090618	3077100	2110829	2311868	8318284	2094676	1854792	2312569	2056247	8074063	1757388	1968246	2059169	2289260	8739824	1729452	2578979	2361970	2171433	7312520	1632931	1795024	2043405	1841160	7337884	2218769	1536206	2052809	1530100	5596670	1116573	1211901	1606526	1661671	4898551	1320646	1197819	3512186	662130	875251	1091487	883318	2770090	0	611317	1520145	709320	2020554	399762	587013	0	0	1598791	0	0	0	1163877	703240
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	898153	3288007	596676	767668	844598	1079064	4192445	452388	1411524	1290885	1037648	4046128	693585	962882	1276761	1112900	4574256	1405003	840133	2190420	138701	189980	-87529	-48602	145060	181051	147408	0	0	82325	0	0	672519	587688	20420	0	364711	672329	0	1159875	0	0	372344	335758	-1154641	154327	147574	424864	-872144	560250
Doanh thu thuần###Net Sales	887	-65	1042	945	-163	-19	280	8943	-482	101	439	8765	5182	929	1462	562	2230	-898	-1862	1200578	1214571	1210195	-720	1277064	1167455	1071085	1133784	4668	939346	832141	766643	728261	-719	813767	696073	-137610	1391398	5406691	1204102	1260503	1461467	1480620	4751143	589306	582445	1658268	360495	436890	437317	433529	1261970	0	303822	212678	404306	838393	150933	156366	0	0	502961	0	0	0	306759	186498
Giá vốn hàng bán###Cost of goods sold	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1054909	1011218	1024331	0	1196266	972070	876443	979644	0	774562	697588	657586	616477	0	305225	331633	-523513	1072892	4194305	858799	986160	1205858	1143488	3586942	251242	250325	831139	193684	240881	219912	190864	674271	0	33393	325399	28406	453964	0	0	0	0	214843	0	0	0	178439	21282
Lợi nhuận gộp###Gross profit	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145669	203352	185865	0	80798	195386	194641	154140	0	164784	134553	109057	111784	0	508542	364441	385903	318506	1212386	345303	274342	255609	337131	1164201	338064	332119	827129	166810	196010	217404	242665	587699	0	303822	291585	404306	384429	150933	156366	0	0	288119	0	0	0	128320	186498
Doanh thu hoạt động tài chính###Financial activities Revenues	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161171	130916	121792	0	687492	176226	164764	152504	0	168622	169741	183653	177673	0	209800	172705	174760	177177	789345	159219	213464	223118	193544	849743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chi phí tài chính###Financial Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27668	154769	50258	0	194438	58641	64998	43606	0	44901	45483	40000	52690	0	27754	58228	93744	59984	216134	42848	92861	58737	21688	580179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chi phí bán hàng###Selling Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26479	18168	15019	10167	0	22849	8814	11424	9440	0	265709	251543	229951	199397	792433	200489	189237	196745	205963	787068	200988	193959	609552	147241	197512	142888	121911	434193	0	114761	185583	81726	291082	79638	0	0	0	160925	0	0	0	86350	0
Chi phí quản lý doanh nghiệp###Managing Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125326	105680	136455	0	197458	163385	155678	148889	0	150992	154182	160283	153957	0	162194	132233	137208	101615	433365	146315	89517	103464	94070	237868	73911	48556	180129	36466	56056	45225	38147	134236	0	31268	79262	37698	88686	3944	0	0	0	79297	0	0	0	35570	71295
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145968	73503	120266	0	350014	131433	124048	103682	0	107143	95780	80627	72927	0	262685	95142	99760	134686	548731	114870	116192	119781	208955	413597	63165	89603	37448	-16897	-57559	29291	82608	19270	0	-1245	26740	79066	4660	0	0	0	0	47897	0	0	0	6400	16293
Thu nhập khác###Other incomes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3052	5077	2301	1656	576	544	2945	1047	622	0	581	18098	14055	2366	1316	362	1825	824	230	459	312	787	470	61	77	179	54451	0	0	770	0	0	261	250	816	0	123	325	0	565	0	0	368	75	4511	1268	3243	0	22	0
Chi phí khác###Other Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	822	5974	4162	620	933	260	3666	2550	323	0	214	13430	10000	436	884	2110	2544	1628	244	524	149	55	53	3	0	0	50	0	0	86	0	0	0	14	114	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Lợi nhuận khác###Other profits	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1037	-356	284	0	-1503	299	0	367	0	4055	1930	432	-1748	0	-804	-14	-65	163	732	417	59	77	179	54401	46113	21314	298577	106413	109425	67332	15406	200815	0	123	497	172	167041	-85978	0	0	0	202157	0	0	0	53811	8
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147005	73147	120550	0	348511	131732	124048	104049	0	111197	97710	81059	71179	0	231133	80158	94580	132027	549462	119754	112531	116532	200646	467998	109278	110917	336026	84353	51867	96623	98014	220085	48498	38772	132816	78597	171701	-21067	108699	0	0	250054	0	0	0	60211	40127
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25451	27789	26168	0	37823	26157	0	34316	0	35435	33594	20967	25440	0	83821	31887	0	0	160413	0	0	0	0	120371	26168	26901	39386	10544	5483	11387	12153	21759	-36	5289	6825	9681	0	0	0	0	0	0	0	0	0	16173	11235
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25436	159381	79999	25451	27789	26168	132202	37823	26157	0	34316	115436	35435	33594	20967	25440	182460	83821	31887	34715	32037	160413	48438	29856	29928	52191	120371	0	0	39386	0	0	0	0	21759	0	0	0	0	0	0	0	0	0	875695	0	0	0	0	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-18835	-18835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	875695	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121554	45358	94382	0	310689	105574	124048	69732	0	75762	64115	60093	45739	0	147312	48271	59866	99990	389049	71316	82675	86603	148455	347627	83109	84017	296640	78972	46384	85236	85861	198326	48534	33483	116310	68916	171701	0	0	0	0	250054	0	0	0	44038	11235
---Cac Chi So Tai Chinh---																																																																		
Thu phí bảo hiểm gốc###Insurance revenues	2292656	2788239	10314800	2076910	2355440	2765231	3132000	9590414	2090618	3077100	2110829	2311868	8318284	2094676	1854792	2312569	2056247	8074063	1757388				8739824					7312520					7337884											1320646	1197819	3512186	662130	875251	1091487	883318	2770090	0	611317	1520145	709320	2020554	399762	587013	0	0	1598791	0	0	0	1163877	703240
Thu phí nhận tái bảo hiểm###Reinsuarance revenues	1137634	1547704	4403329	716085	1112637	1061180	1513428	3905610	677770	1148315	916194	1149924	3529128	811810	676714	1142450	898153	3288007	596676				4192445					4046128					4574256											186772	100983	316391	40803	104733	91222	79633	198688	0	0	0	0	125959	0	0	0	0	86387	0	0	0	49617	0
Các khoản giảm trừ doanh thu###Deduction revenues	1155022	1240535	5911471	1360825	1242804	1704051	1618572	5684804	1412848	1928785	1194634	1161944	4789156	1282866	1178077	1170119	1158094	4786056	1160712				4547379					3266391					2763628											832305	658883	2093688	375147	425834	672519	587688	1698965	0	364711	987275	314946	1159875	248829	430648	0	0	1154641	0	0	0	872144	560250
Tăng (giảm) dự phòng phí, dự phòng toán học	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8870				153					-8374					-53656											153317	105242	233298	2396	116957	152956	-24749	149344	0	34584	12783	49744	228633	0	0	0	0	89589	0	0	0	66006	-21280
Thu hoa hồng nhượng tái bảo hiểm	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				69833					52528					946600											64673	45140	152320	34323	-933	79104	31547	141324	0	0	0	0	80315	0	0	0	0	58032	0	0	0	31323	0
Thu khác hoạt động kinh doanh bảo hiểm	118325	120549	511820	61818	107410	157078	105367	503535	141191	120633	108455	130235	490718	139546	115185	119525	116549	497154	129563				665410					619413					533251											2835	2627	4357	781	630	978	1969	178	0	0	0	0	73	0	0	0	0	3981	0	0	0	92	0
Chi bồi thường Bảo hiểm gốc, trả tiền bảo hiểm	423860	140075	873640	152608	202472	299563	293328	745309	150930	287761	100246	207304	683471	164213	196296	188242	134745	714189	373616				708456					361146					537898											147221	210797	1150556	434098	251247	285851	179360	862269	0	167422	343115	101413	886011	0	0	0	0	417659	0	0	0	158045	144351
Chi bồi thường nhận tái bảo hiểm, trả tiền bảo hiểm	64158	46406	211963	46595	41205	80309	54583	157206	40448	53723	27710	35512	125049	39005	26530	32373	25436	159381	79999				132202					115436					182460											54193	22416	110208	27149	49322	19109	14628	57933	0	14251	21534	11322	46049	0	0	0	0	78212	0	0	0	29136	11330
Các khoản giảm trừ	1533	-445	-40119	-20143	-2327	-13439	0	0	0	0	0	0	18835	2035	16800	0	0	-18835	-18835				0					0					0											29003	98560	653730	288958	104626	170577	89569	454819	0	364711	672329	314946	577530	248829	430648	0	0	344096	0	0	0	110480	560250
Tăng (giảm) dự phòng bồi thường	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				0					0					0											-2895	54944	61206	-4816	16389	33415	29446	81416	0	15639	0	0	73315	0	0	0	0	2459	0	0	0	6997	0
Số trích dự phòng dao động lớn trong năm	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				0					0					0											20298	19204	52109	9859	16646	15321	11258	38126	0	9038	5411	12932	29644	0	0	0	0	26579	0	0	0	85460	-45534
Chi khác hoạt động kinh doanh bảo hiểm	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				0					0					0											81429	49639	159904	36353	41018	36793	45740	126037	0	33393	60036	28406	103498	0	0	0	0	70703	0	0	0	42759	21282
 Lợi nhuận hoạt động tài chính	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				0					0					0											45852	21075	297894	106206	109447	67071	15169	200113	0	0	0	0	166476	0	0	0	0	197557	0	0	0	53789	0
Lợi nhuận hoạt động khác	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				0					0					0											261	239	683	207	-22	261	237	702	0	123	497	172	565	-85978	0	0	0	4600	0	0	0	22	8
Các khoản điều chỉnh để xác định lợi nhuận chịu thuế TNDN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				0					0					0											0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
