CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	 2008	 2007
Tài sản ngắn hạn###Current Assets	163966	166810	174282	174282	176473	177928	160166	158988	158988	138809	164426	197037	267392	251748	281279	299625	401718	395419	395483	394233	406773	413780	421486	496093	481102	476398	613708	619385	623982	607580	605236	684305	606255	690081	668342	663142	656687	651194	649848	651760	590290	554001	546580	544154	563517	539110	318931	604906	683331	608905	720327	310293	264503	264503	201630	325512
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	21922	20405	17929	17929	17715	12860	21448	17376	17376	20677	34532	29464	32114	4491	2146	14180	9724	5533	5533	1664	4295	2371	3946	3946	2192	1166	611	1927	1927	1721	814	395	1258	1258	3234	594	653	1092	1092	1610	4089	4200	4451	4605	13661	8006	12974	71398	71298	43498	144693	48352	74552	74552	108396	308684
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	9408	9408	9408	9408	12039	12821	4132	3304	3304	0	0	5540	5540	33163	29800	0	0	0	0	0	0	0	0	0	0	0	13440	13440	13440	6720	6720	13440	13440	13440	13440	13440	13440	13440	13440	13440	13440	13440	13440	13440	13440	13690	13440	19240	19240	46440	35440	40172	23172	23172	18126	7113
Các khoản phải thu ngắn hạn###Short term Account Receivables	99836	103770	114218	114218	112473	116018	94407	96990	96990	71358	82978	111166	174835	199332	232620	265097	370961	368643	368706	372137	383605	393777	400856	401012	387261	384454	318436	304931	307708	299390	298331	334940	291217	340493	325451	320836	322362	317710	314127	327517	334861	300453	304055	303014	319852	301650	211740	175360	202989	469255	481511	153264	111044	111044	47139	1119
Hàng tồn kho###Inventory	19209	19209	19209	19209	20420	22571	26643	26643	26643	31413	31413	35104	40253	0	0	0	0	0	0	0	0	0	0	74448	74448	75042	265036	271078	272898	271514	271068	300514	269374	300377	290590	290424	282294	281436	280489	269943	199239	189581	175612	172185	164643	155708	7535	267131	315926	2619	13655	25815	21101	21101	61	0
Tài sản ngắn hạn khác###Other Current Assets	13591	14017	13517	13517	13825	13659	13536	14676	14676	15361	15503	15763	14650	14762	16713	20349	21034	21243	21243	20432	18873	17632	16684	16687	17201	15736	16186	28008	28008	28236	28303	35015	30966	34512	35627	37848	37937	37516	40701	39249	38660	46326	49023	50910	51921	60056	73242	71777	73879	47093	45028	42691	34635	34635	27909	8596
Tài sản dài hạn###Non-current Assets	251893	252685	255579	255579	268207	268277	294042	297642	297642	269744	266465	270558	277196	280794	300523	314024	718504	663978	663386	615169	576650	521334	468970	397235	365872	348173	205309	231405	234184	235063	235951	279034	275517	281066	283244	287598	304499	295292	295428	296942	381438	405381	397356	399310	387850	377073	651701	227996	229086	242359	328003	497663	496884	496884	357148	69439
Các khoản phải thu dài hạn###Long term Account Receivable	1320	1320	6270	6270	320	320	23636	27359	27359	11190	13918	17264	22162	0	0	0	0	0	0	0	0	0	0	0	0	0	43629	43629	43629	43629	43629	43629	43629	43629	43629	43629	43629	43629	43629	43629	46300	43629	43629	43629	43629	43629	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	4125	4273	1896	1896	1981	2066	1014	1060	1060	1106	1152	1199	1245	1245	1291	1337	1383	1429	1394	1496	78	134	191	191	298	427	707	26681	26681	27178	27671	28302	28701	28749	29217	29712	30811	31447	31406	32154	102793	117003	114043	117589	141979	142597	323339	45822	45588	33501	22491	30987	31092	31092	56812	10866
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-1687	-1539	-1413	-1413	-1328	-1243	-1183	-1137	-1137	-1090	-1286	-1240	-1194	-1194	-3886	-3840	-3794	-3748	-3783	-3680	-4428	-4372	-4315	-4315	-4212	-4589	-4645	-11282	-11282	-11016	-10528	-10305	-9871	-9864	-9369	-8880	-9422	-8824	-8870	-8608	-7868	-7862	-7355	-7349	-6728	-6038	-5406	-4838	-4750	-4274	-2132	-2516	-2151	0	-1060	-57
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	-110	-110	-110	-110	-110	-110	-110	-110	-110	-110	-110	-110	-110	-110	-106	-101	-90	-90	-90	-84	-79	-73	-68	-68	-62	-57	-67	-58	-58	-49	-40	-33	-26	-26	-18	-13	0	-2	0	0	0	0	0	0	-159	0
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	12297	12297	13449	14602	14602	15755	16908	23825	23825	23825	23825	23825	22672	23825	23825	24978	26130	28436	0	30742	30742	30742	31894	0	33047	34200	35353	35353	37659	36506	37659	38811	39964	42270	41117	42748	18157	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24646	23167	23660	23660	23660	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	205265	205939	205939	205939	223971	223971	226816	226816	226816	126832	120832	120832	120832	120968	121568	121568	121568	121568	121012	121012	121012	121347	121347	123906	123906	123906	124873	124873	125346	125346	125346	129377	125346	129377	129377	131534	145800	134078	134078	133078	143560	154606	144802	144802	142802	137802	312876	166764	168264	168264	268264	442519	441519	441519	123868	57906
Tài sản dài hạn khác###Other long term assets	87	115	485	485	1132	1190	1944	1893	1893	15062	15043	16377	18117	18117	19999	22481	55804	55351	55351	46376	46708	19177	39808	15984	6544	6863	7663	7785	7785	8168	8563	45831	44794	46263	46821	47370	47754	48479	48656	49269	48822	49027	49068	50543	41762	34888	15486	15171	15234	15948	14080	497	614	614	1112	666
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	415859	419495	429861	429861	444680	446204	454208	456630	456630	408553	430891	467594	544589	532541	581803	613650	1120223	1059397	1058869	1009401	983423	935114	890456	893328	846973	824571	819017	850790	858166	842644	841186	963338	881773	971147	951586	950739	961186	946485	945276	948701	971728	959382	943936	943464	951367	916183	970633	832901	912417	851264	1048330	807956	761387	761387	558777	394951
Nợ phải trả ###Liabilities	184195	186419	195191	195191	196476	196252	201279	202715	202715	211923	236568	279932	351601	331909	374530	401837	801760	738812	739009	687601	673627	624211	576507	576658	527277	501290	481601	513441	515377	515881	516697	479853	550224	485758	456786	446732	447828	427437	426562	425457	442573	419922	398422	397004	401270	361194	463192	288901	400606	311191	514637	231356	184914	184914	72720	513
Nợ ngắn hạn###Short term Liabilities	183087	185083	192091	192091	193187	193058	197931	199578	199578	145381	167886	209050	274926	252673	292259	315673	691806	628790	628987	577443	563470	513986	466214	466365	416917	390862	372414	404253	406190	406687	407509	247483	191527	183255	233337	165370	232417	159880	223009	161274	181863	170959	171260	176820	253128	281025	463158	238867	400572	311158	514604	231323	184881	184881	63258	513
Nợ dài hạn###Long term Liabilities	1108	1336	3100	3100	3290	3195	3348	3138	3138	66542	68683	70882	76675	79236	82271	86164	109955	110022	110022	110158	110158	110225	110293	110293	110361	110428	109188	109188	109188	109194	109188	232370	358697	302503	223450	281362	215411	267556	203554	264183	260710	248963	227162	220184	148142	80169	33	50033	33	33	33	33	33	33	9463	0
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	231664	233075	234670	234670	248204	249952	252929	253914	253914	196630	194323	187662	192987	200632	207273	211813	318463	320585	319859	321800	309796	310903	313949	316670	319696	323281	337416	337349	342788	326763	324490	483485	331548	485389	494800	503863	513358	519049	518713	523244	529155	539460	545515	546460	550097	554989	507441	544001	511812	540073	533693	576600	576473	576473	478575	394438
