CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	 2014	 2013	 2012	 2011
Tài sản ngắn hạn###Current Assets	927431	878168	782139	782139	898079	861092	1161801	1182274	1176197	1249566	1179241	1114634	1016709	1016709	1045353	954703	1079132	1042535	1042535	1096384	1045705	1131947	828356	828356	893655	850136	1209999	956912	1283663
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	81317	113959	192056	192056	364152	196802	597892	634347	634347	519930	465423	568258	648356	648356	621692	573723	851899	497027	497027	530519	304368	351409	273190	273190	366805	197034	497230	201562	69110
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	573700	519790	408190	408190	276600	389200	236100	141500	141500	289135	277135	241000	131000	131000	208500	208500	30000	317000	317000	387000	389342	357342	151342	151342	145000	414000	366000	113078	501111
Các khoản phải thu ngắn hạn###Short term Account Receivables	240281	207164	164951	164951	244435	253084	319203	365167	385851	419859	426931	295376	221964	221964	198695	160210	188256	221284	221284	174722	347914	420125	390924	390924	347922	188869	331606	622743	701123
Hàng tồn kho###Inventory	29890	35025	12457	12457	6409	17445	2895	8456	8456	11880	2329	3038	8104	8104	9599	4829	8294	1729	1729	1729	1729	1729	5387	5387	13709	21696	9987	19109	11923
Tài sản ngắn hạn khác###Other Current Assets	2243	2231	4484	4484	6484	4561	5710	32804	6043	8762	7423	6962	7285	7285	6867	7441	684	5495	5495	2414	2352	1342	7513	7513	20220	28537	5176	419	396
Tài sản dài hạn###Non-current Assets	1651150	1733095	1815119	1815119	1898388	1978716	1607397	1671219	1671219	1767279	1801780	1863651	1926500	1926500	1973938	2021376	2068954	2116663	2116663	2164736	2212641	2260857	2488411	2488282	2546526	2280661	1903865	1492056	1344417
Các khoản phải thu dài hạn###Long term Account Receivable	395	395	395	395	395	395	395	395	395	395	395	395	395	395	395	395	395	395	395	395	390	390	390	390	390	0	0	0	0
Tài sản cố định ###Fixed assets	1608601	1694521	1780441	1780441	1867606	1951830	1584407	1652124	1652124	1735046	1797695	1860345	1922994	1922994	1970232	2017470	2064708	2111946	2111946	2159548	2206955	2254607	2301596	2301467	2360734	2099277	1741309	697358	761349
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-1684485	-1598564	-1512644	-1512644	-1425522	-1339603	-1271886	-1204169	-1204169	-1121247	-1058598	-995948	-933299	-933299	-886061	-838823	-791585	-744347	-744347	-697162	-649914	-602735	-555420	-555420	-496575	-413453	-349411	-285385	-221328
