CAN DOI KE TOAN	 2019	 2018	 2017	 2016	 2015	 2014
Tài sản ngắn hạn###Current Assets	444061	669560	135166	117710	85025	75282
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	74269	30127	71796	49566	6698	5768
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	10042	0	0	1000	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	50422	54612	33426	25814	35724	8296
Hàng tồn kho###Inventory	307604	583139	19942	33197	42545	60794
Tài sản ngắn hạn khác###Other Current Assets	1723	1682	10002	8133	58	424
Tài sản dài hạn###Non-current Assets	91791	28227	421349	190582	84101	64001
Các khoản phải thu dài hạn###Long term Account Receivable	10655	10655	7525	6848	5826	5826
Tài sản cố định ###Fixed assets	47203	0	0	0	0	44
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-2517	-1958	-1958	-1958	-1958	-2443
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-95	-88	-88	-88	-88	-88
Lợi thế thương mại	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	3039	4279	4065	4185	4185	8600
Tài sản dài hạn khác###Other long term assets	17167	26	27	202	890	21
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	535852	697787	556515	308292	169126	139283
Nợ phải trả ###Liabilities	414133	588250	451656	204082	63001	38357
Nợ ngắn hạn###Short term Liabilities	414133	588250	415230	48815	30576	27933
Nợ dài hạn###Long term Liabilities	0	0	36427	155267	32424	10424
Dự phòng nghiệp vụ	0	0	0	0	0	0
No khac	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	121718	109537	104858	104210	106126	100926
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	121718	109537	104858	104210	106126	100926
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0



KET QUA KINH DOANH	 2019	 2018	 2017	 2016	 2015	 2014
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	418483	85999	21726	13850	14055	2760
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0	0	0
Doanh thu thuần###Net Sales	418483	85999	21726	13850	14055	2760
Giá vốn hàng bán###Cost of goods sold	365037	51803	15228	9799	14570	3052
Lợi nhuận gộp###Gross profit	53446	34197	6498	4051	-515	-292
Doanh thu hoạt động tài chính###Financial activities Revenues	1746	196	976	1015	2027	567
Chi phí tài chính###Financial Expenses	-1691	1378	125	1137	3880	125
Chi phí bán hàng###Selling Expenses	0	899	2287	1474	1007	132
Chi phí quản lý doanh nghiệp###Managing Expenses	21686	10204	3195	3395	2582	2361
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	35196	21912	1867	-940	-5956	-2343
Thu nhập khác###Other incomes	7986	30	59	50	13276	301
Chi phí khác###Other Expenses	68	496	14	97	1014	37
Lợi nhuận khác###Other profits	7918	-466	45	-47	12262	264
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	43114	21446	1912	-987	6306	-2080
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	815	489	935	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	815	489	935	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	43114	21446	1097	-1476	5371	-2080
---Cac Chi So Tai Chinh---						
EBITDA	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	10.40	0.00	0.00	0.00	0.00	0.00
