CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	 2008	 2007
Tài sản ngắn hạn###Current Assets	560724	611480	611635	613223	622204	617647	614631	603753	610246	612604	617942	632068	604473	608603	599181	592942	586808	601243	577948	574853	598483	783083	559679	784521	736055	677287	783188	665499	788123	785929	780597	561296	770087	563279	560814	559536	557020	555751	555751	552166	550335	554489	553111	539252	538781	583995	589100	573446	416822	954627	669315	698961	760138	898685	572748
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	13934	1404	606	606	995	492	5620	1428	1428	481	354	783	400	400	500	417	532	470	470	13849	13078	10157	9572	372	638	486	610	588	588	806	660	851	759	724	564	2135	682	48390	48390	4112	9045	1312	13522	13493	15086	76215	99451	151458	91458	76703	16788	1749	684551	2049	23354
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	43900	104020	115390	115390	120577	113683	86481	80774	80774	68580	70650	44200	34900	34900	15900	23500	31700	31340	31340	25855	42355	60190	73250	82450	98500	39097	33431	48444	48444	53819	53090	45100	33900	33900	31300	24400	54100	0	153045	157181	156808	156951	164270	213095	211540	211052	178353	149539	60000	266113	508500	670500	36000	857424	542000
Các khoản phải thu ngắn hạn###Short term Account Receivables	85118	91846	85482	85482	87006	88862	114069	118547	118032	142366	137922	176459	158157	162287	116480	116609	122488	64091	127986	115471	33645	256506	30525	243507	216826	215827	321801	207426	318688	315366	323574	321236	332621	329495	444883	449077	420614	426348	273303	309827	305641	231145	214937	288619	284260	270704	275378	236815	229731	174942	112928	1456	14748	38309	7193
Hàng tồn kho###Inventory	407309	403891	400079	400079	403453	404341	398839	393852	400860	392249	399687	399789	401290	401290	456248	443087	424029	498335	411145	412582	501093	450735	441498	453129	418016	419421	424025	407121	418139	413797	401629	192764	391819	188341	83463	83147	80768	80058	80058	79184	78520	164340	159795	23465	23018	22575	32472	32024	32024	404454	28091	23399	23152	0	0
Tài sản ngắn hạn khác###Other Current Assets	10463	10319	10078	11667	10173	10268	9622	9152	9152	8927	9328	10838	9726	9726	10053	9329	8060	7007	7007	7096	8311	5496	4834	5062	2076	2456	3320	1920	2263	2141	1644	1346	10988	10819	603	776	855	954	954	1861	322	741	588	580	4877	3449	3445	3610	3610	32415	3009	1857	1688	903	201
Tài sản dài hạn###Non-current Assets	332340	332529	329682	345045	343760	343213	348622	379163	404157	404445	404832	405217	405605	405605	406012	406429	407658	407905	408171	408333	408558	406368	408573	413146	420217	500610	395839	494364	394175	397562	400140	408664	407016	409170	404793	405399	421699	422317	422317	427148	427786	439100	439946	447052	467572	468527	441030	641902	798109	733413	244445	222244	162333	41787	267
Các khoản phải thu dài hạn###Long term Account Receivable	156058	157616	157616	160696	160696	160696	166696	166696	166696	166696	166696	166696	166696	166696	166696	166696	167721	167721	167721	167721	167721	168233	168233	153745	153745	153745	48825	175493	48825	48825	48825	48825	48825	48825	48825	48825	48825	48825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	4411	4604	2530	942	967	987	40	48	48	12	46	80	115	115	149	184	218	252	252	287	321	294	323	323	353	382	423	470	470	517	565	18164	18213	18213	18266	18322	18384	900	18450	18734	18828	19034	1673	84804	84960	85128	85317	2354	85485	415933	27056	1553	1642	20930	92
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-1812	-1620	-1505	-1505	-1448	-1393	-1355	-1346	-1346	-1339	-1304	-1324	-1289	-1646	-1612	-1578	-1543	-1509	-1509	-1474	-1440	-1407	-2206	-2206	-2177	-2148	-2107	-2060	-2060	-2013	-1964	-1916	-1867	-1867	-1814	-1758	-1695	-1608	-1608	-1882	-1791	-1995	-1809	-1809	-1636	-1459	-1326	-1141	-1141	-1140	-808	-720	-606	-224	-8
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-42	-42	-42	-42	-42	-42	-42	-42	-42	-42	-42	-42	-42	-42	-42	-42	-42	-42	-42	-42	-42	-42	-42	-42	-42	-42	-42	-42	-42	-42	-42	-42	-42	-42	-42	-42	-42	-42	-42	-42	-39	-37	-34	-34	-31	-29	-26	-24	-24	-34	-18	-16	-13	-3	0
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3688	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	138761	138761	138761	152632	152632	152632	152632	182859	207853	207853	207853	207853	207853	207853	207853	207853	207853	207853	208138	208138	208138	206713	208708	224400	231049	311049	310870	295620	318118	320897	322892	326027	326027	326027	323200	323200	338887	338887	387712	391702	391702	402182	402182	343707	363397	363502	335120	535120	691327	282925	195005	220000	160000	20000	0
Tài sản dài hạn khác###Other long term assets	13413	13810	14120	14120	14485	14779	15136	15481	15481	15806	16158	16509	16862	16862	17235	17617	17952	18305	18305	18628	18965	19321	19678	19678	20071	20434	20721	11763	11763	12322	12857	15648	13951	16105	14503	15052	15602	16154	16154	16711	17256	17885	18541	18541	19215	19896	20593	21297	21297	30868	22385	690	691	857	175
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	893064	944010	941317	958268	965964	960860	963253	982916	1014404	1017049	1022774	1037286	1010078	1014208	1005193	999371	994466	1009148	986119	983185	1007040	1189451	968253	1197667	1156272	1177896	1179027	1159863	1182298	1183491	1180737	969961	1177104	972449	965607	964934	978719	978067	978067	979314	978121	993589	993057	986304	1006353	1052521	1030130	1215347	1214931	1688040	913760	921205	922471	940472	573015
Nợ phải trả ###Liabilities	76367	130317	130911	133989	142821	138963	137656	170431	173571	178913	185171	201151	177965	177965	172545	168747	167724	188656	161399	160762	196022	381218	159646	372072	326791	348545	341740	344484	343251	343165	340545	129838	337023	132000	139336	138708	136920	136323	136323	133621	132478	146556	146048	144078	151548	199059	153384	340073	340069	791591	52732	27750	35360	43942	808
Nợ ngắn hạn###Short term Liabilities	76367	130317	130911	133989	142821	138963	137656	170431	173571	178913	185171	201151	177965	177965	172545	168747	167724	188656	161399	160762	196022	381218	159646	372072	326791	348545	341740	344484	343251	343165	340545	129838	337023	132000	139336	138708	136862	136265	136265	133563	132417	128377	127869	144017	151487	198995	153384	340073	340069	345132	52732	27750	35360	43942	808
Nợ dài hạn###Long term Liabilities	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	58	58	58	60	18179	18179	60	61	64	0	0	0	446459	0	0	0	0	0
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
