CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006
Tài sản ngắn hạn###Current Assets	530425	456277	467552	475332	438385	399050	488785	409517	407051	330387	391384	493426	469880	517238	687649	615743	611157	837119	837119	980000	944486	807432	788793	801020	922035	998930	1008438	889350	952271	1079695	1062410	1094862	1004182	1004182	976520	1085873	1109764	1201218	1200410	1073662	1110078	1055235	1138028	1137961	1099938	1018250	870675	822911	797984	729347	715377	768574	671671	671671	646405	660923	624103	610431	613722	532709	437347	424428	416812	416812	363723	308253	373761	344758
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	3315	1915	15149	15149	3380	4806	4537	981	981	14397	2534	9984	1858	8590	7765	8247	17375	7996	7996	9475	12746	6867	13549	13549	17353	17128	32184	40920	40920	31108	34282	20508	32013	32013	14391	23933	16649	41167	41157	16354	34000	16835	52010	52010	56405	70348	44708	95698	88434	55388	54617	63772	60753	60753	15916	26340	15321	38407	38407	15606	20356	34555	34477	34477	19955	24495	35656	37721
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	1000	1000	0	0	0	0	0	1500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1545	1500	1500	0	0	3570	0	0	1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	401356	340938	346733	346579	284932	257988	342478	250246	250246	145734	201682	287472	247385	278373	335715	321416	304976	471641	471641	585535	534511	419155	412261	412261	459254	535096	448924	528740	396089	461209	478216	520817	493434	493434	461871	582272	632785	638371	637573	559367	602396	367371	391320	391320	372478	415692	443428	397855	395613	316562	311267	300767	287540	287540	341435	332125	283162	257196	253126	235407	223693	227667	227598	227598	187789	151964	204745	179869
Hàng tồn kho###Inventory	106269	80835	67645	68763	101200	82956	66747	71311	71311	72769	91233	76927	115495	117710	212007	209299	218088	302685	302685	330705	342715	320794	328334	328334	399925	410072	398549	293604	342706	403589	375369	372976	312156	312156	329371	253753	223791	293562	293562	275508	250886	493319	533943	533876	514009	370284	236583	211504	198466	184389	191299	218458	182953	182953	153879	155778	235337	239044	246394	202145	114225	90581	80443	80443	91488	59617	44271	59693
Tài sản ngắn hạn khác###Other Current Assets	19485	32589	38025	43842	47872	53301	75022	86980	84513	97487	94435	119043	105142	112565	132162	76781	70718	54796	54796	54285	54514	60616	34649	46876	45503	36633	127236	24586	171057	183789	174543	176991	166579	166579	169687	225915	236539	228117	228117	222433	222796	177709	160755	160755	157046	161926	145956	117854	115471	173007	158193	185576	140424	140424	135175	146679	90284	75783	75795	79552	79073	71625	74294	74294	64490	72178	89090	67475
Tài sản dài hạn###Non-current Assets	990390	1015767	1029777	1026875	1013657	1035700	1060208	1085879	1085879	1111635	1132897	1138093	1161068	1135250	1056368	1116005	1107981	1178255	1187340	1110698	1126396	1131590	1142794	1130178	1084771	1111301	1111093	1186096	1123175	1115686	1116372	1192055	1191863	1196109	1203171	1169815	1168134	1178853	1178853	1159574	1142249	1091131	1082262	1082262	1046148	1019219	982277	981252	966371	925715	919485	870335	865541	865541	733510	714136	691956	667143	669719	736181	637755	622860	594603	594603	603202	594894	609796	581752
Các khoản phải thu dài hạn###Long term Account Receivable	1728	1133	1133	1133	800	800	8271	15805	15805	15611	15611	15611	15611	-15177	859	859	666	5088	5088	1621	5406	1362	1058	1058	1058	2193	0	1635	0	0	0	0	0	0	0	0	0	248	248	333	409	532	621	621	677	0	86	119	11962	97	91	83	-20	-20	46	41	42	53	53	78	1288	1353	3787	3787	61	0	0	0
Tài sản cố định ###Fixed assets	885671	909880	934225	934045	921054	942103	961567	985300	985300	1008055	1032116	1054975	1078211	1082725	881856	904172	924402	954055	954055	886500	849750	861769	878226	878226	714785	765493	784467	805536	805536	816505	779685	797753	1168128	1170184	1187567	1155280	1152188	721997	1165910	1145864	1120802	1076946	778963	1071131	1035216	1009184	972583	811620	937018	917132	910687	861536	857022	857022	722379	700595	682732	658153	657929	725982	629302	614354	583382	583382	596750	579048	587277	574436
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-914534	-890261	-865961	-865961	-842486	-821416	-839055	-819761	-819761	-800673	-857849	-836100	-812525	-812525	-788881	-765031	-746521	-846524	-846524	-829550	-814702	-787106	-772195	-772195	-776410	-772922	-749934	-726830	-726830	-707931	-687047	-668150	-643074	-642719	-634472	-611490	-616775	-622734	-622734	-599243	-574352	-549673	-536722	-536722	-513089	-511072	-488248	-465410	-447507	-448202	-424085	0	-398297	0	0	0	0	-314051	0	-296726	-277912	-262173	-244129	-244129	-224553	-197955	-183987	-179737
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-597	-597	-597	-554	-554	-510	-467	-423	-2277	-2277	-3019	-2851	-2660	-2894	-2894	-2548	-2218	-1854	-4714	-4714	-4230	-5287	-4855	-4423	-4423	-5473	-4994	0	-5714	0	0	0	0	-17270	0	-16677	-17086	-16080	-15639	-15639	-14515	-13104	-14461	-12355
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-7666	-7579	-7492	-7492	-7405	-7317	-7230	-7143	-7143	-7056	-6968	-6829	-6785	-6785	-6741	-6697	-6653	-6934	-6934	-6890	-6847	-6803	-6759	-6759	-6778	-6735	-6691	-6647	-6647	-7420	-7361	-7399	-7242	-7276	-7259	-7199	-6515	-7627	-8336	-8238	-8139	-8038	-7932	-7932	-7832	-7714	-7596	-7479	-6617	-7610	-11756	0	-7072	0	0	0	0	-5628	0	-5384	-5005	-4628	-5614	-5614	-4724	-3749	-3021	-2776
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	726	726	801	950	875	950	1024	1099	1247	1173	1247	1396	1471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	10201	10377	10377	9377	9377	9377	9377	9377	9377	27287	24266	24961	24525	24982	25010	25005	25436	2446	2446	2414	2432	6613	6525	6525	6339	1911	1907	1927	1927	1947	0	0	0	0	7822	8495	9554	5696	5696	5696	5696	5696	6496	6496	6496	6151	5355	5355	15486	5630	5775	5745	6088	6088	8418	10732	6427	6210	9010	7046	4211	4128	4191	4191	3811	12988	22027	3056
Tài sản dài hạn khác###Other long term assets	49990	51390	42717	41600	42275	41087	42226	36755	36755	29650	30334	10443	10708	10708	11155	36615	11801	74548	74548	72695	72237	70588	70280	57664	54821	58340	55905	56731	44546	26342	25436	27210	23735	25925	7056	5239	5516	7193	6050	6658	14244	6785	2767	2767	2439	2487	2782	3697	1906	2856	2932	2970	2450	2450	2667	2768	2756	2725	2725	3076	2954	3025	3243	3243	2581	2858	491	4260
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	1520815	1472044	1497329	1502207	1452042	1434751	1548993	1495396	1492930	1442022	1524281	1631519	1630947	1652488	1744017	1731748	1719138	2015374	2024459	2090698	2070882	1939022	1931587	1931198	2006806	2110230	2119532	2075446	2075446	2195381	2178782	2286917	2196046	2200291	2179691	2255688	2277897	2380071	2379263	2233236	2252327	2146366	2220290	2220223	2146087	2037469	1852952	1804162	1764356	1655061	1634862	1638909	1537211	1537211	1379915	1375059	1316059	1277573	1283440	1268891	1075103	1047288	1011414	1011414	966925	903148	983558	926510
Nợ phải trả ###Liabilities	1324061	1323607	1377190	1375887	1388275	1376269	1488605	1436377	1433030	1418246	1506374	1616139	1572540	1572733	1569635	1558544	1511655	1882416	1882416	1924648	1891218	1758835	1731609	1731609	1802237	1890512	1888707	1847962	1847962	1973983	1958995	2068669	1983239	1985943	1957802	2038360	2067983	2157928	2157130	2011293	2029457	1921971	1979969	1979805	1903101	1799900	1626989	1571834	1545569	1435566	1407499	1402758	1315095	1312324	1172988	1167552	1108000	1078380	1083798	1052779	870093	857814	798270	797118	769276	733159	853935	817425
Nợ ngắn hạn###Short term Liabilities	1098769	1074627	1111756	1109920	1092230	1067128	1150911	1088008	1052877	999525	1055997	1135207	1077658	890127	924536	957455	853927	1010205	1010205	891925	995412	935128	894839	894839	937582	1043490	962520	1049173	948976	1051401	1038326	1067966	972860	972614	964924	1051153	1103722	1202747	1197449	1053051	1097343	979396	1021270	1021106	929034	917352	841542	799293	779005	700967	692357	768995	726532	723761	575115	572195	521147	493923	499342	498611	400928	419968	386780	385628	360490	328215	405934	379030
Nợ dài hạn###Long term Liabilities	225293	248980	265434	265967	296045	309140	337695	348369	380153	418721	450376	480932	494882	682606	645098	601089	657727	872212	872212	1032723	895806	823708	836769	836769	864655	847022	926186	798789	898986	922582	920669	1000703	1010379	1013329	992879	987208	964260	955181	959681	958242	932114	942575	958699	958699	974067	882548	785447	772541	766564	734598	715142	633763	588563	588563	597873	595357	586853	584456	584456	554169	469165	437846	411490	411490	408786	404945	448001	438395
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	8	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	196754	148437	120139	126319	63767	58482	60388	59019	59900	23776	17907	15379	58408	79755	174382	173204	207483	132957	142042	166050	179664	180187	199978	199589	204570	219718	230825	227484	227484	221399	219787	218249	204118	205659	209473	209745	206061	222143	209838	210532	210487	211809	240322	226440	228680	226806	215433	232328	218786	208026	216387	225834	210556	213327	195805	196753	198328	189980	190429	206243	195215	180751	204770	205923	189777	169988	129622	100653
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4182	221	478	510	873	873	36	343	412	0	1153	7	21	27	0
Vốn chủ sở hữu ###Owners equity	196754	148437	120139	126319	63767	58482	60388	59019	59900	23776	17907	15379	58408	79755	174382	173204	207483	132957	142042	166050	179664	180187	199978	199589	204570	219718	230825	227484	227484	221399	219787	218249	204118	205659	209473	209745	206061	222143	209838	210532	210487	211809	240322	226440	228680	226806	215433	232328	218786	208026	216387	225834	210556	209145	195584	196275	197818	189107	189556	206207	194871	180338	204770	204770	189769	169967	129595	100653
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15230	14777	14709	14723	8689	8689	12416	7583	3854	12305	12294	11411	12383	12586	13917	13978	14306	10764	10530	11374	0	11470	10976	10317	11560	11560	11122	10754	9732	9213	9213	9868	9795	8723	8374	8374	7872	0	0	8432
