CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	 2014	 2013	 2012	 2011
Tài sản ngắn hạn###Current Assets	3799299	3846792	3840088	3836902	3464745	3336642	3344602	3178493	3182428	3065590	3549794	2504951	1907328	1905938	1864446	2388195	2240761	1775179	1778866	2331477	3490687	3794056	3240643	3240643	2510360	2123539	1842294	1868376	1173763
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	339879	186747	215084	215084	407327	218082	279687	418384	418384	470430	514130	278290	527963	627963	537226	446389	932818	136507	136508	294590	385103	876144	1008800	1008800	459804	391778	613765	780124	87665
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	2057000	2200000	2660000	2660000	2040000	1931000	1636000	1699000	1699000	1436000	1364000	1013000	751000	651000	331000	331000	20000	555000	555000	671000	1042000	1191000	1168000	1168000	1200000	925000	545000	369006	564062
Các khoản phải thu ngắn hạn###Short term Account Receivables	195159	223142	280620	278074	232241	210443	379539	468072	468064	394962	321930	221852	289128	294991	334165	240982	279215	394610	394167	650953	1055099	905136	701954	701954	502496	264373	240717	378552	179260
Hàng tồn kho###Inventory	1194889	1224169	660597	655949	771421	959956	1016343	585095	589017	751734	1329223	979611	320452	312863	625057	1330832	902227	518713	521803	599102	997003	809605	353691	353691	345383	542305	439807	323606	337400
Tài sản ngắn hạn khác###Other Current Assets	12371	12735	23787	27795	13756	17161	33033	7942	7962	12464	20512	12199	18786	19120	36997	38991	106502	170348	171388	115832	11482	12172	8198	8198	2676	83	3005	17089	5376
Tài sản dài hạn###Non-current Assets	4917760	4945596	5207715	5207787	5029965	4975720	4899358	4823191	4822510	4792521	4790125	4962713	5091713	5091011	4902091	4695441	4675604	4349211	4346142	3332241	2027630	1847841	1931695	1931695	1795293	1821422	2169417	1144124	947571
Các khoản phải thu dài hạn###Long term Account Receivable	412	670	690	690	690	696	690	690	690	690	690	690	690	690	690	690	690	690	690	237	232	1577	1577	1577	1577	182193	0	0	0
Tài sản cố định ###Fixed assets	3858366	3889743	4156947	4156544	4005122	4029977	4115444	4387999	4387352	4392154	4425898	2869149	2805334	2805334	2760605	2787943	2757283	1849088	1849088	1420116	1487841	1518260	1662873	1662873	1601425	1531746	1777279	594159	392173
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-4448294	-4391116	-4091219	-4091219	-4052441	-4003621	-3908939	-3641102	-3641749	-3552277	-3197049	-2977023	-2852555	-2852555	-2858583	-2810754	-2654310	-2531652	-2531652	-2513032	-2470050	-2408130	-2268567	-2268567	-2224289	-1991117	-1558692	-1365441	-1184521
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	-42827	-347973	-331491	-316486	-316486	-324237	-296784	-268513	-232853	-232853	-251923	-218408	-185781	-154988	-154988	-122819	-74359	-20834	-1591	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-32412	-27141	-24077	-24077	-20435	-17025	-13668	-9347	-9347	-6220	-4915	-3612	-2500	-2500	-2301	-2301	-2272	-2263	-2263	-2237	-2143	-2197	-2116	-2116	-1925	-1759	-1646	-897	-231
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1528	270560	148825	92536
Tài sản dài hạn khác###Other long term assets	225125	218132	224043	224311	221715	210277	212105	220805	220771	221614	223919	230146	238999	238296	229947	228563	227433	228787	225719	215720	186546	187992	187579	187579	109179	105955	121577	127435	56595
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	8717059	8792388	9047802	9044689	8494710	8312362	8243959	8001683	8004938	7858111	8339919	7467664	6999042	6996948	6766537	7083636	6916365	6124389	6125008	5663717	5518317	5641898	5172339	5172339	4305652	3944961	4011710	3012500	2121334
Nợ phải trả ###Liabilities	2576330	2520022	2577780	2586685	2509467	2462833	2761400	2648974	2654723	2834466	3424186	2818091	2517214	2524927	2525306	2933826	2876028	2213173	2215350	2355708	2549942	2819587	2564624	2564624	1926725	2209898	2286232	1515917	1121739
Nợ ngắn hạn###Short term Liabilities	2552463	2495379	2553193	2562097	2482680	2435485	2734079	2621762	2628157	2745070	3260198	2649489	2344903	2352481	2314531	2723598	2630558	1968147	1969973	2002589	2196814	2497096	2219683	2219683	1613294	2011575	1827740	1152940	674360
Nợ dài hạn###Long term Liabilities	23867	24643	24588	24588	26788	27348	27321	27212	26566	89396	163988	168602	172311	172446	210774	210227	245471	245027	245378	353119	353128	322491	344941	344941	313431	198323	458492	362977	447378
