CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	 2007	 2006
Tài sản ngắn hạn###Current Assets	42838	10556	14906	14906	28260	34028	10708	12231	12231	25376	32275	10441	10561	10832	19866	28756	8872	8623	8623	21627	23225	7887	8436	8436	17006	18464	10401	10593	10598	18396	17930	8459	8950	8848	15493	16619	8485	15185	14954	15514	22600	8697	13013	13023	14453	25613	8719	12691	12691	10152	18378	9669	11021	8485	8880	13392	6139	8617	9149	0
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	2180	3093	4857	4857	2056	1913	1478	3374	3374	1555	1647	855	2527	2527	644	1068	1299	242	242	721	508	485	331	331	178	1435	1655	1165	1165	1158	609	918	2320	2317	1104	227	1433	2185	2185	1000	855	639	791	791	488	1212	1439	1444	1444	689	905	750	1254	1254	1501	1847	526	654	1242	0
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	0	2000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	22602	2173	4707	4707	18051	7292	1985	3882	3882	18023	15324	1918	3734	3766	13452	14702	2554	3352	3352	12253	11909	2717	3239	3239	8513	6087	2444	4762	4014	11611	9146	2826	2051	2008	7750	10940	785	7230	7170	7172	10283	963	5599	5600	5246	14852	2519	6709	6709	6080	11998	4789	6071	3773	5716	7761	2025	4195	4416	2091
Hàng tồn kho###Inventory	18057	5216	5203	5203	8114	24789	7238	4975	4975	5760	15294	5604	4201	4439	5766	12984	4948	4994	4994	8489	10767	4604	4781	4781	8297	10889	5248	4666	4715	4559	7274	3602	3942	3942	5523	3971	4803	4448	4474	6025	9609	5356	5157	5166	7246	8007	3558	3450	3450	2294	4243	2798	2736	2447	1126	3113	3098	3540	1815	0
Tài sản ngắn hạn khác###Other Current Assets	0	74	140	140	39	34	7	0	0	37	10	64	100	100	4	1	70	35	35	163	40	82	85	85	19	53	1054	0	703	1068	901	1114	637	581	1116	1482	1465	1321	1125	1317	1853	1739	1466	1466	1473	1543	1205	1088	1088	1089	1232	1332	959	1010	538	671	490	229	1677	0
Tài sản dài hạn###Non-current Assets	43210	41471	42426	42426	42199	41458	38962	39751	39751	39341	37812	37486	37870	35425	25616	25577	24963	25439	25439	24986	24818	24334	24524	24524	23845	23557	20762	21215	21215	21299	21553	22027	22400	22400	22429	22586	23135	23693	23682	23845	23692	24231	24294	24367	18603	18283	16100	16090	16090	15974	16118	16280	16375	16428	16339	16250	16371	16500	15205	0
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	37620	38102	38590	38590	38677	38353	35702	36168	36168	35659	35223	34612	35014	32569	22478	22784	22424	22710	22710	22765	23063	22511	22599	22599	22428	22722	19851	20089	20089	20364	20644	20927	21171	21171	21290	21569	22432	22760	22782	22796	22709	23051	23015	23169	17311	17073	15358	14861	15290	15426	15479	15617	15770	15800	15940	16005	15920	16049	14901	0
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-14481	-13999	-13511	-13511	-13025	-12566	-12107	-11646	-11646	-11193	-11272	-10876	-10479	-10479	-10176	-9874	-9580	-9582	-9582	-9290	-8997	-8710	-8436	-8436	-8156	-7867	-7550	-7279	-7279	-7009	-6734	-6456	-6180	-6180	-5901	-5622	-6215	-5888	-5904	-5557	-5241	-4937	-4643	-4767	-4351	-4144	-3952	-3772	-3772	-3597	-3421	-3245	-3070	0	0	0	0	-2375	0	0
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-125	-125	-125	-125	-120	-115	-109	-104	-104	-99	-94	-89	-83	-83	-78	-73	-68	-62	-62	-57	-52	-47	-42	-42	-36	-31	-26	-21	-21	-16	-10	-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản dài hạn khác###Other long term assets	2980	3369	3836	3836	3521	3105	3260	3583	3583	3682	2590	2727	2856	2856	2675	2344	2494	2728	2728	2221	1755	1822	1924	1924	1417	835	909	1124	1124	933	907	1101	1229	1229	1139	1017	703	933	900	1048	982	1180	1279	1198	1292	1210	742	800	800	548	639	663	605	628	399	245	451	451	305	0
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	86048	52027	57333	57333	70458	75487	49670	51982	51982	64717	70087	47928	48431	46257	45482	54333	33835	34062	34062	46613	48042	32221	32959	32959	40851	42022	31163	31807	31812	39695	39482	30486	31350	31247	37922	39205	31621	38878	38636	39358	46292	32928	37307	37390	33056	43896	24819	28782	28782	26126	34496	25949	27396	24913	25220	29643	22511	25117	24354	17678
Nợ phải trả ###Liabilities	67792	35122	36642	36642	52050	57985	29017	31634	31778	47310	53850	28273	28556	26381	28167	38231	17811	14634	14629	29290	31669	14184	13606	13614	22954	25727	12014	12321	12318	21764	23049	12425	12201	12099	19101	22401	13214	19895	19513	20580	29390	16702	18210	18204	13886	27318	6398	9927	9927	8345	18339	7372	8852	6389	8037	13782	6910	8969	8723	10708
Nợ ngắn hạn###Short term Liabilities	62982	29742	31262	31262	45530	52035	25497	28114	28258	47310	49760	23898	23896	20566	25367	35431	17711	14534	14529	29190	31569	14084	13506	13514	22854	25627	12014	12221	12169	21585	22841	12325	12033	11931	18892	22301	13094	19745	19363	20378	28471	14784	16106	16270	11389	25153	6276	9805	9805	8223	18211	7243	8724	6261	7908	13653	6782	8841	8594	9580
Nợ dài hạn###Long term Liabilities	4810	5380	5380	5380	6520	5950	3520	3520	3520	0	4090	4375	4660	5815	2800	2800	100	100	100	100	100	100	100	100	100	100	0	100	149	179	208	100	168	168	209	100	120	150	150	202	920	1918	2104	1934	2497	2166	122	122	122	122	128	128	128	128	128	128	128	128	128	1128
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	8	0	0	0
Vốn chủ sở hữu ###Owners equity	18256	16905	20691	20691	18409	17502	20653	20348	20204	17407	16237	19655	19875	19876	17315	16102	16024	19428	19432	17323	16373	18037	19354	19345	17897	16295	19149	19486	19494	17931	16433	18061	19149	19149	18821	16804	18406	18983	19124	18778	16902	16226	19097	19186	19170	16578	18421	18855	18855	17781	16157	18577	18544	18523	17183	15861	15601	16148	15632	6971
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	336	-229	-501	-428	4	0	0
Vốn chủ sở hữu ###Owners equity	18256	16905	20691	20691	18409	17502	20653	20348	20204	17407	16237	19655	19875	19876	17315	16102	16024	19428	19432	17323	16373	18037	19354	19345	17897	16295	19149	19486	19494	17931	16433	18061	19149	19149	18821	16804	18406	18983	19124	18778	16902	16226	19097	19186	19170	16578	18421	18855	18855	17781	16157	18577	18544	18187	17412	16362	16029	16143	15632	6971
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39482	30486	31350	31247	37922	39205	31621	38878	38636	39358	46292	32928	37307	37390	33056	43896	24819	28782	28785	26126	34496	25949	27396	24913	25220	29643	22511	25117	24354	17678



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	 2007	 2006
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	31954	5193	107607	24294	42546	29788	10980	94971	23517	30959	31993	8501	79278	18742	24174	29404	6958	77557	19495	21866	29839	6357	67473	16688	20907	23833	6045	61563	14114	19570	23005	4846	63907	15139	18272	25724	4450	64174	19618	17529	22831	4196	54575	16419	15299	18947	3910	46588	11226	14009	17410	3942	44878	8617	16718	15530	3459	45130	37582	30471
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Doanh thu thuần###Net Sales	31954	5193	107607	24294	42546	29788	10980	94971	23517	30959	31993	8501	79278	18742	24174	29404	6958	77557	19495	21866	29839	6357	67473	16688	20907	23833	6045	61563	14114	19570	23005	4846	63907	15139	18272	25724	4450	64174	19618	17529	22831	4196	54575	16419	15299	18947	3910	46588	11226	14009	17410	3942	44878	8617	16718	15530	3459	45130	37582	30471
Giá vốn hàng bán###Cost of goods sold	24531	7332	90002	18984	36652	26053	8780	78904	17009	25946	28847	7101	65619	13108	19815	25585	6872	63630	13849	18091	25574	6116	55093	12384	16479	20988	5242	47486	9774	14666	18238	4804	48262	10664	13174	20278	4147	49874	15347	13372	17548	3594	41729	12466	11107	12718	1698	28999	5892	9166	12241	1700	29359	5145	11478	10846	1659	29641	25186	21173
Lợi nhuận gộp###Gross profit	7423	-2139	17605	5310	5894	3735	2199	16067	6508	5013	3146	1400	13659	5633	4360	3819	86	13927	5647	3775	4265	241	12380	4305	4427	2845	803	14077	4341	4905	4767	42	15645	4475	5098	5447	303	14300	4270	4156	5283	602	12846	3953	4192	6229	2212	17589	5335	4843	5169	2242	15519	3472	5240	4684	1800	15490	12396	9299
Doanh thu hoạt động tài chính###Financial activities Revenues	72	1	4	1	0	0	2	4	1	1	1	2	4	1	1	0	1	3	1	0	0	1	4	1	1	2	0	62	1	1	61	1	11	2	2	2	5	11	3	2	4	2	11	3	3	3	3	60	2	54	2	2	115	20	92	1	2	53	46	117
Chi phí tài chính###Financial Expenses	969	303	2008	-55	613	672	311	1814	449	472	583	310	949	130	298	359	154	865	207	202	303	153	668	153	189	224	102	660	116	207	129	208	990	100	245	598	47	1403	541	83	490	221	1215	333	364	354	148	350	94	147	78	31	139	23	47	39	30	110	143	86
Chi phí bán hàng###Selling Expenses	2109	793	7861	2214	2529	2278	841	7231	1733	2254	1493	1439	6992	2834	1910	1627	888	6658	1491	2322	1910	935	5888	1036	2209	1960	683	7891	1770	2438	3490	185	4596	1336	1165	1861	234	3862	587	1288	1885	101	3618	776	751	3612	1916	10443	2498	2459	3746	1740	8957	1649	2872	3004	1416	8860	4429	2752
Chi phí quản lý doanh nghiệp###Managing Expenses	650	573	4259	440	1965	1110	744	3926	983	1076	2288	-108	3190	39	949	1843	327	3347	1008	333	1568	431	3004	1308	304	1011	381	2870	927	546	567	792	7184	2027	1713	2574	870	7487	2244	1937	2350	960	6178	2723	1353	1595	709	4776	1384	1156	1649	578	4280	854	1477	1321	414	4145	6507	5190
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	3767	-3808	3481	2713	787	-325	307	3101	3344	1212	-1216	-240	2532	2631	1205	-11	-1282	3060	2941	919	484	-1278	2825	1809	1727	-349	-363	2718	1528	1714	641	-1142	2886	1015	1976	415	-844	1559	901	850	562	-679	1846	123	1728	670	-558	2081	1361	1136	-302	-104	2258	966	935	322	-58	2428	1363	1388
Thu nhập khác###Other incomes	167	22	628	354	207	35	32	674	263	91	300	20	991	678	58	173	83	415	236	89	49	41	269	72	146	25	26	269	75	102	37	54	426	76	219	187	267	1934	308	1257	188	195	2012	338	1364	109	134	1865	149	1248	322	146	1553	562	822	86	83	1272	926	456
Chi phí khác###Other Expenses	0	0	142	0	0	142	0	33	0	33	0	0	110	0	26	85	0	143	129	0	14	0	39	32	4	3	0	39	0	0	39	0	0	0	0	0	0	266	196	0	0	0	58	0	0	0	15	0	0	0	0	0	4	0	0	4	0	10	0	0
Lợi nhuận khác###Other profits	167	22	485	354	207	-107	32	641	263	59	300	20	881	678	32	88	83	272	107	89	35	41	230	40	142	21	26	230	75	102	-1	54	426	76	219	187	267	1667	112	1257	188	195	1955	338	1364	109	119	1865	149	1248	322	146	1550	562	822	82	83	1262	926	456
