CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	 2007	 2006
Tài sản ngắn hạn###Current Assets	56285	69022	50031	51275	60400	52882	67768	72353	73089	74668	75157	60128	55910	53966	56583	60344	53396	53742	54558	43932	43584	47529	50113	58041	76283	63330	48450	61232	63064	54228	63105	63494	78876	79766	92420	88174	73562	78517	78368	83560	54134	79520	71844	69634	72085	91132	72832	65578	69690	78568	68036	81613	73000	72093	86988	69367	52146	53754	49468	55473
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	3692	14624	2625	2626	6969	11825	2331	1275	1275	3178	1303	4992	9805	9710	2833	4106	7982	6927	2927	2225	16517	18691	4147	4359	18348	12745	17399	12047	2047	732	2279	9547	232	232	6268	958	1101	4722	4722	2099	1444	3870	5568	5571	20045	20210	17652	20819	2245	867	22598	1306	2848	35848	23752	16910	12126	16924	2902	5354
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	6290	6000	884	884	884	2000	2000	2000	2000	2000	5000	5000	2000	2000	12000	18000	8000	2000	6000	3000	2000	3000	18000	18000	18000	18000	6500	0	10000	0	0	0	0	0	11500	21500	29500	23500	23500	26500	16500	18500	23000	23000	0	0	0	500	19000	19500	0	27050	33000	0	0	0	0	0	3000	4000
Các khoản phải thu ngắn hạn###Short term Account Receivables	42502	29211	33656	35000	24165	12708	27613	35097	35419	32281	42509	27504	26001	26690	35610	26457	28286	28105	28583	23174	14450	14700	17488	25331	31215	17365	9532	40431	42253	48062	53653	39393	59498	61089	55303	31762	26047	36972	36806	34125	25692	37519	26585	28629	27490	52320	37038	31345	35230	29536	22373	31433	23202	24756	44078	35544	23501	23837	27773	35771
Hàng tồn kho###Inventory	3744	18473	12809	12727	27887	25943	35428	33978	34393	36381	25651	22427	18003	15507	5846	11608	9005	16710	17049	14835	9985	9687	10422	10299	8622	14968	14605	8657	8657	5150	6874	14087	19105	18404	19000	32349	16760	13323	13323	20478	10069	17491	16607	12350	24026	15962	16744	12811	13004	23997	20548	20777	13922	11461	16561	15095	15716	12972	15743	10349
Tài sản ngắn hạn khác###Other Current Assets	57	713	57	37	494	405	396	2	2	828	694	206	101	59	295	173	123	0	0	698	632	1450	56	52	98	253	415	97	107	283	299	466	40	40	349	1605	153	0	17	358	430	2139	84	84	525	2639	1398	102	211	4667	2518	1047	27	27	2597	1819	802	21	50	0
Tài sản dài hạn###Non-current Assets	19688	20595	20944	20919	22075	21674	23498	24374	24374	24258	25712	27878	28669	28696	30755	33015	31400	30100	30100	35439	33972	36406	27950	27915	18541	11442	26249	9592	9592	19327	19352	20344	21082	21082	12181	13355	13668	14746	14746	15867	14861	15954	14584	14584	15053	16011	14473	14325	14385	11466	10970	11433	10737	9438	11079	9156	6398	5770	5051	5217
Các khoản phải thu dài hạn###Long term Account Receivable	2173	2173	1901	1901	1901	1901	1901	1630	1630	1282	1282	1282	991	991	991	991	991	700	700	419	419	419	296	296	296	22	6622	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	10005	10541	10791	10766	11010	10199	11614	13306	13306	14736	16179	18161	20980	20980	22714	24444	21908	25080	25080	27370	30886	32710	25209	25210	13630	7873	6703	7473	7473	8395	9330	10323	11060	11060	12159	13330	13647	14736	14736	15857	14851	15944	14574	14574	15043	16001	14463	11267	14375	11456	10960	11397	10700	9402	11043	9120	6361	5734	5015	5180
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-65298	-64654	-64403	-64428	-65659	-66470	-65055	-63363	-63363	-61933	-60077	-57890	-54969	-54969	-53041	-49966	-47344	-46774	-46774	-43584	-40188	-36546	-34236	-34234	-32455	-32022	-32835	-31940	-31940	-31018	-30083	-29091	-28281	-28281	-26942	-25771	-26248	-25159	-25159	-24199	-24614	-23722	-22780	-22780	-22407	-21449	-20501	-19714	-19657	-18897	-19127	-18455	-18046	0	0	0	0	-16403	-17129	-15911
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-8	-8	-8	-8	-8	-7	-7	-7	-7	-7	-6	-6	-6	-6	-6	-5	-5	-5	-5	-5	-5	-5	-4	-4	-4	-4	-3	-3	-3	-3	-3	-2	-2	-2	-2	-2	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	0	0	10000	10000	10000	10000	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	26	26	26	26	26	26	26	26
Tài sản dài hạn khác###Other long term assets	7511	7881	8251	8251	8661	9070	9479	8934	8934	7736	7747	7964	6698	6725	7050	7580	8315	4191	4191	1883	2494	3106	2445	2408	2502	1435	22	0	22	22	22	22	22	22	22	25	22	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	75974	89617	70975	72194	82475	74556	91266	96727	97463	98926	100869	88006	84578	82661	87338	93358	84796	83842	84658	79371	77556	83935	78063	85956	94824	74772	74700	70824	72656	73555	82457	83838	99958	100848	104600	101530	87230	93264	93115	99427	68996	95473	86428	84218	87138	107143	87305	79903	84075	90034	79007	93046	83737	81531	98067	78524	58543	59524	54519	60690
Nợ phải trả ###Liabilities	30513	44755	26668	27437	39582	26916	43243	50234	50562	56169	59366	41514	39482	36928	41377	49724	36237	37625	38456	34799	28731	36784	32190	40169	52337	34767	31425	27660	29519	33834	38253	39224	55372	55813	66802	66124	42771	48678	48621	66506	37760	57361	48242	48764	58084	79587	55531	47059	50796	61852	52595	65048	55917	55223	74045	55126	35076	35818	30788	38400
