CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	 2015	Q4 2015	 2014	Q4 2014	 2013	Q4 2013
Tài sản ngắn hạn###Current Assets	7371659	7226747	7838752	7838752	7795654	6975695	6579225	6669091	6669091	7240264	5487557	5478608	5143749	5143428	4479751	4193327	4958910	5735559	5732032	4470885	3514162	1227025	1227025	27792	27792	879	879
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	196826	28824	38890	38890	65909	88215	68672	140947	140947	225291	58067	42661	154992	154992	221836	218147	321820	242066	242066	8980	11863	42451	42451	27551	27551	701	701
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	800	800	0	0	369615	384615	389714	408874	408874	1465599	1302361	1546583	2465592	2465592	1902797	1169962	238863	238863	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	4481360	4502399	5147285	5147285	5289166	4584370	4647679	4743188	4743188	5146728	3775982	3538998	3212667	3212346	1817136	2000982	2367152	2121054	2121054	1113645	934060	576438	576438	131	131	48	48
Hàng tồn kho###Inventory	2601940	2602542	2564941	2564941	2338027	2193418	1746595	1678812	1678812	1334198	1114521	1323730	1207039	1207039	858623	618704	685190	834217	830690	1272068	1227096	342818	342818	31	31	129	129
Tài sản ngắn hạn khác###Other Current Assets	91533	92981	87636	87636	102552	108892	115478	106145	106145	164433	154372	183505	160177	160177	116557	53132	38165	72630	72630	173396	171180	26454	26454	79	79	1	1
Tài sản dài hạn###Non-current Assets	4102964	3515378	2810703	2810703	3149511	3657173	4098686	3920771	3920771	4103892	5457129	5368352	5227588	5229579	4171628	3773034	2468046	2466345	2460855	3498426	4458720	3295481	3295481	754034	754034	118	118
Các khoản phải thu dài hạn###Long term Account Receivable	1653232	1014747	172832	172832	166708	166846	166989	3031	3031	3174	3316	3606	2522	2522	708	14152	19669	20699	20699	103370	198659	105740	105740	0	0	0	0
Tài sản cố định ###Fixed assets	124007	146669	155544	155544	244101	249077	191868	199679	199679	203745	208455	145388	135979	135979	121990	117463	115814	161329	161329	148074	1086233	39280	39280	3852	3852	0	0
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-68772	-79199	-72448	-72448	-73207	-64553	-57019	-51305	-51305	-46001	-40406	-35053	-30015	-30015	-29194	-27845	-24399	-25458	-25458	-17369	-11965	-3049	-3049	-303	-303	0	0
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	-20412	-18341	-16471	-16471	-14500	-12530	-10560	-8589	-8589	-6617	-4647	-2677	-1247	0	-296	-50	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	-1247	0	-9	0	0	0	-45	-36	0	0	0	0	0	0
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	516018	537743	552112	566194	566194	6975	7200	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	726943	730941	734939	734939	738937	742934	615977	615977	615977	615977	615977	629362	667153	667153	895333	991488	996979	996979	991488	990958	51488	52550	52550	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	379117	409216	556416	556416	556416	1210381	1210421	1217046	1217046	1215073	2621444	2626026	2624499	2626490	1271579	1267612	197523	196000	196000	2059010	3038713	3093753	3093753	750000	750000	0	0
Tài sản dài hạn khác###Other long term assets	42771	42358	44037	44037	212893	214127	934510	939904	939904	1033500	1041334	1009995	1007901	1007901	895560	564358	570703	584364	584364	12455	14034	1832	1832	182	182	118	118
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	11474623	10742124	10649455	10649455	10945165	10632868	10677911	10589862	10589862	11344156	10944687	10846960	10371337	10373007	8651379	7966360	7426957	8201904	8192887	7969311	7972882	4522507	4522507	781825	781825	997	997
Nợ phải trả ###Liabilities	5583078	4699797	4607538	4607538	4981693	4687525	4775649	4712836	4712836	5569072	5184768	5139358	4689289	4690410	3497254	2942962	2406660	3273236	3264219	3265917	3348308	1373310	1373310	555502	555502	94	94
Nợ ngắn hạn###Short term Liabilities	4278843	4510896	4415750	4415750	4777016	4480028	4606397	4684205	4684205	5460900	4734508	4604829	4213393	4214515	3374251	2817243	2277426	3142483	3133466	3265152	3347498	1372455	1372455	555502	555502	94	94
Nợ dài hạn###Long term Liabilities	1304235	188901	191787	191787	204677	207496	169251	28631	28631	108172	450260	534530	475895	475895	123003	125719	129234	130753	130753	765	810	855	855	0	0	0	0
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	5891545	6042327	6041918	6041918	5963472	5945343	5902262	5877026	5877026	5775084	5759919	5707602	5682049	5682597	5154125	5023398	5020296	4928668	4928668	4703395	4624574	3149197	3149197	226324	226324	903	903
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	5891545	6042327	6041918	6041918	5963472	5945343	5902262	5877026	5877026	5775084	5759919	5707602	5682049	5682597	5154125	5023398	5020296	4928668	4928668	4703395	4624574	3149197	3149197	226324	226324	903	903
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q3 2015	Q2 2015	 2014	 2013
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	83669	808927	4840448	1325970	1179147	1463580	871750	3462565	1425695	418948	1137726	480196	4419146	2317393	488150	759019	854583	3259705	1754936	432354	451943	620471	968896	246318	247539	12816	726
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0	0	0	0	0	0	0	0	0	57	10	44	2	0	115	115	0	0	0	0	0	0	0	0
