CAN DOI KE TOAN	 2019	Q4 2019	 2017	 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	 2006
Tài sản ngắn hạn###Current Assets	48595	62657	173833	192721	191646	193532	204960	222735	226272	240341	265222	263853	280290	304818	284337	288082	286737	274788	265547	263849	273705	272644	273951	284409	287749	296953	308382	311991	310663	271356	255017	254188	258099	273303	269158	247120	253367	268960	231999	243068	253714	254909	246238	257995	242072	239682	239682	197093
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	654	659	3855	4457	1406	1118	1118	842	1061	1488	2619	2830	6975	2976	12285	11016	11016	4759	3736	4499	4807	5030	6183	4612	4324	3221	3221	4555	4563	9306	2172	2172	13226	7854	6736	4986	4986	6592	6101	5666	16230	16230	3910	3334	6588	7974	7974	7916
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	2481	2266	2531	2955	4338	4338	4497	5409	4913	5730	5839	5771	5771	5771	4756	4756	4756	6762	5198	3872	3872	3634	4002	4002	5252	5252	9095	9095	9095	9095	9095	9095	9095	9093	5158	8564	8564	9341	13110	11207	11372	11372	11558	11088	11488	12016	12016	11001
Các khoản phải thu ngắn hạn###Short term Account Receivables	21500	31957	120657	128731	126051	129830	131147	142303	145514	163962	155406	155577	148508	175182	134326	145487	145521	142131	138355	146718	145851	143951	136090	140056	144283	158861	166437	138101	136865	100896	107317	106265	92757	106119	103446	98651	104892	129418	87559	86813	95361	95344	112292	128579	115680	132172	132172	101868
Hàng tồn kho###Inventory	19993	23795	42810	54865	51128	51710	61661	67498	68103	62503	66163	64692	79464	81814	95415	98443	96808	87761	90917	79235	92731	92731	95557	108896	106815	103455	103465	130228	134281	127909	113436	113653	118425	128896	134045	118182	118188	103861	107052	121157	115705	117332	100523	99007	91628	73741	73741	65119
Tài sản ngắn hạn khác###Other Current Assets	3967	3980	3982	1711	8723	6537	6537	6683	6680	6658	35196	34984	39573	39075	37555	28380	28636	33375	27341	29525	26443	27297	32118	26843	27075	26164	26164	30012	25859	24149	22996	23003	24596	21341	19774	16737	16737	19749	18176	18225	15046	14631	17954	15985	16687	13778	13778	11189
Tài sản dài hạn###Non-current Assets	86189	72568	77187	87754	97782	97284	97284	98543	99917	100881	101617	104559	105935	104148	117091	116475	117816	116036	112365	113901	107950	108959	112906	112104	143073	141387	107736	110147	104503	119628	106854	106737	100278	99091	98114	96916	96925	112886	99845	101900	94500	94276	92182	97518	90346	91147	91147	79087
Các khoản phải thu dài hạn###Long term Account Receivable	79174	62552	62552	62552	70328	69961	69961	70172	70852	895	0	0	0	0	895	895	895	895	895	895	0	895	895	0	895	895	895	4	4	4	0	4	4	4	4	4	0	0	0	0	4	0	0	0	4	0	0	4
Tài sản cố định ###Fixed assets	2006	2006	6524	9239	11443	12112	12112	12820	13443	14200	15019	14962	15737	16514	17457	18299	18299	19794	14105	16671	14882	14882	15549	14982	13834	12572	14758	17735	18514	41077	42040	42309	44774	45657	42011	46137	46146	47605	49034	46149	42499	42275	42625	44398	46497	48582	48582	65988
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-18757	-18757	-17461	-20346	-18814	-18600	-18600	-19721	-19461	-19341	-19034	-19034	-18714	-18391	-17904	-17573	-17573	-20228	-21108	-23099	-22749	-22719	-28838	-29382	-28709	-33260	-33258	-44767	-44224	-46374	-45027	-45151	-46316	-45686	-44134	-40195	0	0	0	0	-35725	0	0	0	-36978	-35392	-35392	-31117
