CAN DOI KE TOAN	 2017	 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q1 2010	 2009	Q4 2009	 2008
Tài sản ngắn hạn###Current Assets	75865	83088	85192	83568	83561	87222	87222	94181	95473	93122	88974	88974	91178	88604	86893	85890	85890	94712	101396	101396	96359	96700	100307	97294	97363	108757	119923	111948	126932	126932	121123	0	106288	106288	0
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	12	14	21	75	43	7	7	42	28	46	58	58	359	39	152	518	518	103	214	214	136	188	278	166	166	218	352	1376	146	146	208	0	1195	1195	0
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	41830	47922	49771	48846	49117	53056	53056	51108	51487	48400	50587	50517	46879	44966	44109	42938	42938	48571	54626	54626	42920	43538	47412	43822	43894	54598	54707	52215	72279	72279	63254	47865	45534	45534	19175
Hàng tồn kho###Inventory	33878	35007	35255	34501	34255	34013	34013	37068	37870	35867	35482	35506	41115	40659	39771	39517	39517	42714	43667	43667	49787	49466	49840	50301	50298	51291	62004	55264	51202	51202	52741	0	56525	56525	0
Tài sản ngắn hạn khác###Other Current Assets	146	146	146	146	146	146	146	5962	6087	8809	2847	2894	2825	2940	2861	2917	2917	3324	2889	2889	3516	3508	2777	3006	3006	2650	2860	3093	3304	3304	4920	0	3034	3034	0
Tài sản dài hạn###Non-current Assets	20141	23792	25081	25733	26378	26553	26553	21456	22051	22622	29273	29273	29417	30029	30859	31423	31423	33305	34571	34612	38259	39541	40495	41679	43061	60936	56129	56942	57465	57465	47068	0	29992	29992	0
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	12743	15070	15652	16235	16817	17399	17399	17994	18589	19160	20229	19767	20370	20972	21593	22676	22676	24423	25719	25739	29454	30199	31253	32236	33733	33669	34352	35165	9527	35533	33073	0	26777	26777	0
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-20596	-18658	-18076	-17493	-16911	-16720	-16720	-16650	-16055	-15452	-14893	-14893	-14291	-13688	-13067	-12447	-12447	-10899	-11126	-11282	-15366	-14621	-14440	-13315	-11933	-11257	-10559	-10304	-9701	-9701	-9546	0	-7624	-7624	0
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	1966	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000	3690	3690	3690	3690	21690	21690	21690	21690	21690	13593	0	2765	2765	0
Tài sản dài hạn khác###Other long term assets	5432	5622	5654	5724	5787	5692	5692	0	0	0	6044	6044	5585	5594	5804	5747	5747	5883	5853	5873	5805	5651	5551	5638	5638	5578	87	87	242	242	402	0	450	450	0
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	96006	106881	110273	109301	109939	113775	113775	115637	117524	115744	118247	118247	120595	118633	117752	117313	117313	128017	135967	136008	134618	136241	140802	138973	140425	169694	176052	168890	184397	184397	168191	136571	136280	136280	121646
Nợ phải trả ###Liabilities	130829	134800	135957	133518	133088	135549	135549	136853	138086	135658	137431	137431	139898	137335	135549	133649	133649	134153	139951	140149	139218	138751	140238	135200	135200	160772	164851	154894	165894	165845	150019	0	117120	117257	0
Nợ ngắn hạn###Short term Liabilities	125589	125659	120797	118358	120647	123109	123109	136853	138086	135658	122191	119891	122358	119795	118009	116109	116109	117948	123746	123746	119865	119397	120885	115846	115846	141419	145236	135279	144791	144808	130194	117143	94346	94482	10661
Nợ dài hạn###Long term Liabilities	5240	9140	15160	15160	12440	12440	12440	0	0	0	15240	17540	17540	17540	17540	17540	17540	16205	16205	16403	19353	19353	19353	19353	19353	19353	19615	19615	21103	21037	19825	209500	22775	22775	10383
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
