CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	 2005
Tài sản ngắn hạn###Current Assets	418240	457831	390275	390150	370712	359501	410619	395704	396503	433943	413387	316096	255903	255968	269274	220142	252632	291510	291578	324351	326208	323464	342237	342237	281884	284694	315638	381055	381055	386748	412173	391501	380295	380295	410828	390549	319485	320605	321743	284434	275228	276495	285737	285737	322318	250399	223266	214830	219193	149307	200925	184035	149307	149372	162478	131083	136427	130023	130480	129457	140853	125053	64308	64308	58076	45267	29827	39863	39826	38430
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	8462	23705	23478	11478	1219	5647	6698	13629	137629	137815	146166	96284	74040	74040	82078	72828	76792	84726	84867	93831	101532	134271	150975	69975	10206	9769	47647	90349	90349	80027	71877	71516	41112	41112	58019	36995	56173	44182	44182	24442	15215	1870	29909	29909	8405	7771	1306	3789	3789	19992	13556	15444	19992	19992	24861	1663	16187	30642	30642	6372	20087	36310	17906	17906	2757	290	1690	11253	11253	552
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	182576	162578	132578	144578	143872	146372	146359	146359	22359	17365	16165	16464	16464	16464	7362	62	5068	5068	5068	27874	26079	4053	4063	85063	98767	89371	81320	1228	1228	1315	1221	1118	1118	1118	1064	1142	1176	1170	1183	1076	1621	1617	1312	1312	1587	1523	1680	2174	2174	3244	2139	3063	3244	3244	8609	7622	4846	4865	6013	6013	7572	13010	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	191452	195065	182907	182868	179153	163728	178261	165468	166264	178770	172932	153678	128367	128367	159723	132713	150251	177620	177547	156298	135079	164444	156850	156850	132790	134839	117673	227744	225481	254577	271988	275752	295770	295770	339737	328362	217442	233031	233061	235155	182879	198963	177939	177939	192706	114732	72444	109512	112512	51442	74066	84556	51442	51507	38835	28966	36354	32127	32487	43208	43494	31222	20596	20596	29445	20002	14203	20054	21346	21669
Hàng tồn kho###Inventory	15282	43762	24921	24921	27279	30357	71921	64031	64031	94497	72787	46089	33764	33764	18732	12300	18093	20939	20939	37030	49398	14160	23251	23251	31895	41359	60365	55369	55369	44850	58722	35869	37090	37090	7147	20785	42501	40333	40333	21830	72081	70262	75126	75126	113102	123496	142833	97824	97824	71929	106870	76600	71929	71929	83631	87389	75337	60215	59164	70901	65624	40080	23359	23359	23774	22781	13837	6917	6917	15629
Tài sản ngắn hạn khác###Other Current Assets	20468	32721	26392	26307	19189	13397	7380	6218	6220	5496	5337	3581	3269	3334	1379	2240	2429	3157	3157	9318	14119	6536	7099	7099	8226	9356	8633	6365	8628	5979	8364	7246	5206	5206	4861	3264	2193	1888	2983	1930	3432	3783	1453	1453	6518	2877	5003	1531	2895	2701	4293	4372	2701	2701	6542	5444	3703	2174	2174	2962	4076	4431	2447	2447	2101	2194	97	1638	310	581
Tài sản dài hạn###Non-current Assets	979214	835511	777501	780214	672955	613475	550312	549329	549262	519743	521213	523847	523080	523524	508554	519262	500095	491388	490739	463869	373910	291040	267741	251191	225701	194639	65787	60422	60422	59038	56488	50032	51245	50999	36614	40214	41117	43605	44402	42328	44188	46760	49600	49600	48228	50946	42122	42209	39481	46959	44158	44341	46959	46955	32565	29954	22277	23239	23188	14532	11007	11206	7994	7994	5069	5017	4928	3935	3935	2390
Các khoản phải thu dài hạn###Long term Account Receivable	300	300	0	0	0	0	0	0	0	53	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4006	0	0	0	0	0	0	0	0	0	0	0	0	4159	0	0	0	0	0	0	0	0	0	0	25	0	0	0	25	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	420931	424810	370048	370048	376003	379943	384059	389731	389731	394757	400476	403034	405506	405506	410356	419943	419859	15037	15037	19698	22364	21156	17225	17225	20119	21240	19013	13747	13747	13619	15288	16533	17553	17553	17804	21476	21916	23792	23792	22486	23997	25492	29193	33739	37291	41223	34042	31728	31728	42011	38835	39536	42011	42007	27513	24815	17179	17988	17988	10322	8667	8836	6151	6151	4239	4417	4328	3935	3935	2390
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-125761	-122291	-116823	-116823	-111738	-108225	-102461	-96658	-96658	-93010	-87470	-84618	-81197	-81197	-76353	-72165	-70056	-63685	-63685	-70427	-69224	-67202	-65053	-65053	-65759	-66206	-64155	-62049	-62049	-60564	-60519	-60215	-58872	-58872	-59337	-63344	-63201	-60426	-60426	-56890	-54536	-52424	-51568	-51568	-47696	-44145	-40496	-36780	-36780	-22385	-29765	-25810	-22385	-22389	-18713	-16154	-13661	-11670	-11670	-9865	-8750	-7849	-6930	-6930	-6256	-5672	-5163	-4663	-4663	0
