CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	Q3 2006	 2005
Tài sản ngắn hạn###Current Assets	1840672	1115467	1039437	1041731	865418	1228355	1350532	942470	983609	947866	739629	635678	746853	747005	720213	716676	605262	609516	606990	549714	612109	623119	640034	636603	348479	447498	163457	163931	163984	146835	137502	129740	132800	133494	128548	136031	146940	140124	140124	137134	132090	152138	142748	139017	160517	157849	141577	133696	134211	115347	137529	111912	103561	102971	111283	103174	112542	104991	105020	92178	86936	75817	67878	67878	56175	52454	39384	37357	37357	35955	45128
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	258590	97305	109100	109105	118593	505142	47750	97293	99471	166642	65082	30343	56832	55358	40244	164315	18495	63661	63661	35782	68659	29062	32718	32718	10960	51819	10844	15007	15007	5744	14631	27021	24653	24653	19551	23440	8931	9745	9745	3643	4630	2431	10399	10399	1746	2217	2718	2807	2807	4193	6864	2673	10531	10531	12553	4695	12010	11219	11219	5913	4489	3297	6402	6402	9933	2170	2215	5765	5765	156	3393
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	144015	124509	255004	255004	69697	33284	89048	35808	35808	137908	26007	27488	83986	83986	89776	36184	181516	174682	173595	192687	206576	243848	197273	197273	129251	162875	35490	22244	22244	15177	3151	3463	2222	2222	2605	2541	1030	4274	4274	5114	4908	4022	4078	4097	5413	5797	13467	13467	13467	4199	15670	8644	7410	7410	20155	20619	17350	23289	23289	20897	17150	18385	14350	14350	8350	8550	5050	2550	2550	800	105
Các khoản phải thu ngắn hạn###Short term Account Receivables	1026431	573529	380298	382636	392137	310109	651538	473675	514110	304852	290152	305335	352670	357562	282333	245614	177189	190996	189556	151842	166439	194277	272898	272214	163431	203523	67557	80154	80207	73019	70594	48248	56615	57386	48920	44685	63204	51812	51812	48002	41150	47995	32401	28860	69915	75805	44910	44364	47078	56055	74809	71160	50637	50637	44957	38772	44286	33553	32540	29058	38657	31018	28873	28873	22715	26007	13214	10362	12354	8165	15652
Hàng tồn kho###Inventory	366927	283633	265889	265184	259698	361310	519525	304793	303381	307940	297872	223518	210322	207936	267801	242600	207339	168841	168838	156888	161669	149886	131028	128525	42925	27585	24941	22800	22800	29917	26850	27237	27507	27517	36216	38520	50202	49608	49608	54366	54604	71606	67618	67501	58763	49297	57614	51696	51958	35214	25818	16680	27081	26486	25515	31042	30432	29675	30716	27909	18253	15088	11177	11177	9920	12316	15503	15182	15182	24188	23079
Tài sản ngắn hạn khác###Other Current Assets	44708	36491	29146	29802	25293	18510	42671	30901	30840	30524	60516	48994	43044	42164	40059	27964	20723	11336	11340	12516	8767	6045	6117	5873	1911	1696	24626	23726	23726	22978	22275	23771	21803	21715	21256	26847	23573	24686	24686	26009	26799	26084	28251	28160	24680	24734	22869	21362	18901	15686	14368	12755	7903	7907	8102	8046	8464	7256	7256	8401	8387	8029	7076	7076	5256	3411	3402	3499	1507	2645	2900
Tài sản dài hạn###Non-current Assets	1449832	1065350	1094398	1092521	1118457	1113857	1226784	1155086	1168641	1076090	1034400	970911	837643	838352	690696	624507	412823	365155	369737	305367	246015	210834	213082	215909	117763	30880	47040	48034	48241	56248	53777	61791	65279	65913	75099	75654	74337	72432	72432	77834	77843	80423	81262	81151	83467	84028	79342	78596	78329	80207	58009	48276	39766	39757	28281	26873	27284	30778	31728	23478	23675	19207	17736	17736	17985	12298	13279	15830	15830	14880	18334
Các khoản phải thu dài hạn###Long term Account Receivable	2737	2885	2549	2549	1288	1288	368	368	368	368	368	368	368	371	364	660	616	4579	7943	8420	9420	228	2613	4467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	890380	891073	907350	911756	928227	705624	732723	170200	169993	166230	171498	163327	168467	168467	143588	145951	145003	149687	149687	115826	102397	95810	96517	96469	11106	9050	35486	42452	36427	37613	38861	43628	46725	47388	56286	56543	56847	17551	57825	63087	62960	65322	23742	65862	68008	68345	62700	27647	63389	65195	47954	47717	39145	39145	26181	24773	25184	28678	28678	20428	20625	19207	17736	17736	17985	12298	13279	15830	15830	14880	18334
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-291839	-257999	-235749	-231481	-207077	-179204	-156614	-135538	-135528	-127828	-121131	-112959	-105320	-105320	-107336	-100770	-94220	-96791	-96791	-90722	-85828	-81177	-77452	-77473	-45156	-44178	-43721	-56036	-55829	-54646	-53401	-52138	-61622	-61563	-60217	-58863	-58341	-56826	-56826	-55303	-53733	-53492	-51912	-51882	-50298	-48705	-47131	-48704	-48688	-47346	-45916	-44437	-42959	0	0	0	0	-40443	0	0	0	-36851	-35257	-35257	-35619	0	0	-30319	-31470	0	0
