CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	 2014	 2013	 2012	 2011
Tài sản ngắn hạn###Current Assets	18413850	16346544	19164603	19164603	17575957	16861849	15515538	14690168	14690168	15206371	14135940	12576323	13686327	13746941	13208725	11948193	10421900	10722470	10768939	13893792	13790724	12440234	12194294	12194294	11197461	10570822	8778243	7676818	6194392
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	4864814	2447102	4115885	4115885	3586993	5303724	4945933	4467392	4467392	4228411	4184307	4873459	4268599	4268678	4554779	5060480	4080556	3444825	3554806	6813756	9392267	8847741	7935974	7935974	7677929	6755059	1848755	1662188	1410978
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	11165487	10824542	12393227	12393227	11173432	9047239	7496406	7544188	7544188	7866886	6955375	4606383	6558801	6558801	5238048	3409615	2565521	3174321	3064407	3292767	1403767	953667	942767	942767	398345	781665	4054767	3918140	2601076
Các khoản phải thu ngắn hạn###Short term Account Receivables	696476	642625	568608	568608	923041	879189	842187	765631	765631	714438	715878	731643	715326	677002	834942	949879	885464	1090484	1213748	1530092	1123820	1016604	1085027	1085027	1137489	1065026	1042477	801981	765743
Hàng tồn kho###Inventory	1563240	2256886	1967138	1967138	1788458	1546216	2084326	1813754	1813754	2256607	2145516	2209059	2003535	2100175	2325040	2062415	2205439	2134361	2116162	2120507	1749330	1471844	1924904	1924904	1854138	1845255	1686785	1204046	1233110
Tài sản ngắn hạn khác###Other Current Assets	123834	175390	119745	119745	104033	85481	146685	99203	99203	140029	134863	155778	140066	142283	255916	465805	684921	878478	819816	136670	121541	150378	305623	305623	129560	123818	145459	90463	183484
Tài sản dài hạn###Non-current Assets	7745498	7840026	7797874	7797874	7201652	7199114	7524014	7676575	7688358	7794082	7890439	8188396	8327362	8332403	8032808	8150511	8331949	8472278	8491157	8809591	8997174	9473815	9377631	9377631	9684108	11198782	10620331	10047796	10376653
Các khoản phải thu dài hạn###Long term Account Receivable	6507	8006	9110	9110	6680	7589	6208	5861	5861	3619	18612	20332	20094	24721	18423	18582	36559	17480	54147	35037	41137	366199	34495	34495	26377	40374	34	34	34
Tài sản cố định ###Fixed assets	4915523	4648518	4685440	4685440	4169003	4302091	4433109	4567091	4567091	4687306	4747557	4881911	5008100	5010375	5103684	5217744	5329395	5473890	5460048	5479511	5600773	5708424	5854864	5854864	5906652	7168238	7110958	6033180	6400281
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-6733820	-6588639	-6446588	-6446588	-6274097	-6129738	-5971931	-5882599	-5882599	-5743788	-5601592	-5451297	-5299089	-5284430	-5138596	-4986983	-4838186	-4697750	-4685948	-4539019	-4460669	-4304071	-4157598	-4157598	-4022108	-3554871	-3026488	-2554075	-2169812
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-380	-287
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-154239	-151873	-149936	-149936	-147441	-144671	-141920	-139157	-139157	-135649	-131992	-128374	-124963	-125179	-121731	-118557	-117330	-113954	-114010	-110937	-108766	-105802	-102842	-102842	-104203	-97708	-51060	-43879	-35884
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54101
Bất động sản đầu tư ###Real Estate Investment	66509	67178	58433	58433	58894	53984	54276	54568	54568	54860	55151	55443	67658	59917	64555	65140	65726	56988	66481	67072	67703	44811	45648	45648	32660	36303	32921	34990	37133
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	2203521	2157289	2162739	2162739	2182872	2046298	2142140	2119042	2154232	2159778	2084468	2160278	2152328	2193009	1975779	1909999	1932412	1959510	1968198	1818512	2155592	2144524	2220151	2220151	2419980	2263714	2163420	2431619	2361471
Tài sản dài hạn khác###Other long term assets	500607	562999	574377	574377	571246	616039	754061	785635	762228	753340	808042	908984	967676	933753	768021	844484	867385	887543	865510	1309835	1041181	1109093	1141597	1141597	1146813	1288338	1312997	1166036	1357241
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	26159349	24186570	26962476	26962476	24777610	24060963	23039552	22366743	22378526	23000453	22026378	20764719	22013689	22079344	21241532	20098704	18753849	19194748	19260096	22703384	22787898	21914049	21571926	21571926	20881569	21769604	19398574	17724614	16571046
Nợ phải trả ###Liabilities	6417635	5699870	6886229	6886229	5796889	5468545	5777984	6254837	6268953	5297792	5232426	5213474	7593163	7317132	5342290	5226245	5153773	6898813	6895091	8300466	8438616	7002521	7507222	7507222	6688775	9281985	8615739	6366628	6145577
Nợ ngắn hạn###Short term Liabilities	5573385	4816868	6087830	6087830	5492197	5174249	5451256	5925697	5940649	5073408	5015642	5005836	7401585	7178234	5209060	5081534	5010258	6613016	6607238	7733455	7885128	5980779	6759695	6759695	5712461	8151310	7172400	4755889	4614656
Nợ dài hạn###Long term Liabilities	844250	883002	798399	798399	304692	294296	326727	329140	328304	224384	216784	207637	191578	138897	133230	144711	143515	285797	287853	567011	553488	1021742	747527	747527	976314	1130675	1443339	1610739	1530920
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	19741713	18486700	20076247	20076247	18980720	18592418	17261568	16111906	16109573	17702660	16793953	15551245	14420526	14762212	15899242	14872459	13600076	12295935	12365004	14402918	14349282	14911528	14064704	14064704	14192794	12487619	10037196	11357986	10425469
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	0
Vốn chủ sở hữu ###Owners equity	19741713	18486700	20076247	20076247	18980720	18592418	17261531	16111868	16109536	17702623	16793915	15551208	14420489	14762175	15899204	14872422	13600039	12295897	12364967	14402881	14349244	14911491	14064666	14064666	14192757	12487581	10037159	11357948	10425469
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	745639	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	 2014	 2013	 2012	 2011
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	7184969	4938749	38133790	9812096	9804332	9179378	9337985	36043018	10405394	8563389	9238773	7827060	34438171	10581309	8105659	8271690	7479513	30602446	8844060	7077499	7611729	7132989	27165692	3183581	9690307	24635805	28195436	25128015	22313189
Các khoản giảm trừ doanh thu###Deduction revenues	49944	29930	234731	83013	58897	91612	1209	94466	-633	672	68866	17158	244780	85512	50547	107342	1379	135753	10554	4444	6625	2319	21390	9257	5863	24928	4179832	3338922	3020422
Doanh thu thuần###Net Sales	7135024	4908820	37899060	9729083	9745434	9087766	9336776	35948553	10406027	8562716	9169907	7809902	34193391	10495797	8055112	8164348	7478134	30466694	8833506	7073055	7605104	7130670	27144302	3174324	9684444	24610877	24015604	21789094	19292766
Giá vốn hàng bán###Cost of goods sold	4927885	3555604	28348431	7181885	7346799	6674204	7145544	27864413	8221931	6703128	7073447	5865908	25327872	8039571	5929708	6386421	4972172	22299655	6575386	5119230	5451072	5227120	19586558	1343748	7707885	18426464	18150096	16878420	15224618
Lợi nhuận gộp###Gross profit	2207139	1353216	9550629	2547198	2398636	2413562	2191232	8084139	2184096	1859588	2096460	1943994	8865518	2456226	2125404	1777927	2505962	8167039	2258121	1953825	2154032	1903550	7557744	1830576	1976560	6184413	5865508	4910673	4068148
Doanh thu hoạt động tài chính###Financial activities Revenues	226731	269044	889853	267743	251071	198780	172258	630350	173865	173943	144807	137736	506108	154126	134375	72258	145348	751041	172208	381868	177692	98899	418647	116365	109244	367210	375678	476818	436091
Chi phí tài chính###Financial Expenses	19106	20079	93010	98303	-14320	12801	-3774	74635	36859	22523	-25310	5373	-25806	-38434	11521	-10760	11868	68664	31051	15845	16653	21089	121795	61147	25823	89058	189778	331595	316672
Chi phí bán hàng###Selling Expenses	794505	560209	3003291	903902	763534	644166	691689	2731091	934070	663930	576565	593817	2811112	869800	711469	159302	1070544	2671906	1122079	663862	486749	619466	2682882	1021111	528926	2342287	2145510	1311824	1067551
Chi phí quản lý doanh nghiệp###Managing Expenses	211607	141385	1047842	517138	181277	183284	166142	912705	350337	182732	204043	176764	935975	388994	195255	189115	162611	780911	290164	170736	168470	148418	1110423	298934	281640	912174	970530	382235	364036
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	1466201	941506	6674606	1417972	1808055	1863460	1585120	5351023	1123769	1271833	1556624	1395524	6062219	1527742	1424507	1674831	1435135	5702248	1105778	1486935	1786461	1219836	4433244	706387	1370947	3551926	2935369	3612024	2991630
Thu nhập khác###Other incomes	8967	5931	74504	34574	20092	12435	7403	81738	19829	21988	22953	16969	106139	48693	14045	25481	17920	138614	130900	79223	3058	22224	132650	74061	-24742	196849	185471	93235	47702
Chi phí khác###Other Expenses	2589	2142	62934	23207	26958	4317	8452	42322	11002	18036	9682	3710	91266	23827	27300	35521	4618	113519	40308	40184	30866	16525	95885	36055	19492	153339	150114	57543	43220
Lợi nhuận khác###Other profits	6378	3789	11570	11367	-6866	8119	-1049	39416	8827	3951	13271	13259	14873	24866	-13255	-10040	13302	25095	90592	39038	-27808	5699	36765	38005	-44234	43510	35357	35692	4483
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	1472579	945295	6686177	1429339	1801188	1871579	1584071	5390440	1132595	1275784	1569895	1408783	6077092	1552608	1411252	1664791	1448437	5727343	1196370	1525973	1758653	1225535	4470009	744392	1326713	3595436	3277941	3647715	2996113
Chi phí thuế TNDN###Corporate Income Tax Expenses	256887	228313	1316029	338498	341880	341513	294137	987690	213814	241027	278859	253049	1128492	322489	259534	285996	260474	1210000	199597	253017	356733	242054	869913	83000	263340	787376	1101186	862033	651902
Chi phí thuế TNDN###Corporate Income Tax Expenses	223471	224286	1347172	367621	343965	287203	348383	1021134	266164	249665	269372	211585	1140540	357179	266134	285125	232102	411415	-578218	259257	338819	240400	1085883	245759	314889	921485	1142566	843397	688824
Chi phí thuế TNDN###Corporate Income Tax Expenses	33416	4027	-31143	-29123	-2085	54311	-54246	-33445	-52351	-8638	9487	41464	-12048	-34690	-6600	871	28372	798585	777815	-6240	17914	1654	-215969	-162759	-51549	-134109	-41380	18636	-36921
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	1266923	733734	5686932	1173266	1532126	1622392	1359147	4628068	974449	1094640	1291036	1197938	5185713	1288850	1205231	1442484	1249145	4695913	996773	1272956	1401919	983481	3789896	661392	1063373	2988976	2176755	2785682	2344211
---Cac Chi So Tai Chinh---																													
EBITDA	1.21	1.18	0.65	0.65	0.26	0.21	0.37	0.41	0.41	0.62	0.70	0.86	1.23	1.23	1.63	2.39	4.21	8.32	8.32	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	157.00	123.00	223.81	223.81	258.76	268.42	243.73	261.10	261.10	213.91	216.80	231.32	236.46	236.46	246.61	197.57	189.70	187.52	187.52	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
