CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	 2005
Tài sản ngắn hạn###Current Assets	638793	665011	598092	598467	653034	576841	471447	420623	311644	370724	345767	239346	217774	232427	273255	78686	145076	145936	187034	148072	145500	142503	134206	134558	151806	157700	163232	162867	168811	168727	166251	177528	158377	160313	161310	159236	166693	149806	148397	152271	191531	185074	156771	158075	153964	146574	144952	156749	156193	168801	167607	120396	102703	146161	64340	57506	91977	107900	108161	123256	106624	109192	117555	117555	87692	90142	90142	68819	45831
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	1123	1304	1176	1176	6866	4990	10566	1602	1608	2997	513	792	607	607	121	193	6800	120	121	994	218	398	1015	1015	6520	5534	1270	18704	18704	3250	3774	4461	5598	5598	3268	2169	2810	8961	8961	2013	1319	5502	4216	4216	4489	1551	9060	12000	12000	13663	23347	24868	31656	31656	2324	6837	12544	7611	7611	5722	2533	2265	16860	16860	2130	2089	2089	5373	0
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4500	0	0	0	0	1000	1000	0	1000	1000	1000	1000	1000	0	0	70	70	70	70	6070	6070	6070	640	240	240	240	240	240	19240	19240	39240	39240	48330	8240	8240	8240	10240	8240	240	240	240	29166	40140	35506	35506	69044	62700	62700	43600	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	417942	421503	411924	411899	411609	435307	332373	320600	218486	271407	248932	141528	152076	165194	138278	42401	102053	125774	167107	126849	122863	115161	107978	105712	107162	114228	114442	111652	112162	126956	135867	136671	121541	123507	130766	131549	135562	123698	115081	115361	151993	142848	135194	135455	128228	124505	119834	106132	104928	104597	87158	24584	41014	89930	36656	25032	55137	86460	86710	98115	63178	58557	57436	57436	8026	14970	14970	13379	0
Hàng tồn kho###Inventory	166745	182052	128853	128853	167572	80140	72080	54199	46852	52054	51658	51143	33327	33346	98006	15944	26999	16768	15722	13732	18325	20648	20333	20214	27304	30156	40078	27899	27899	27086	23242	31554	26130	26130	26098	23380	26187	15953	15953	27173	31468	35579	16342	17651	19421	17254	12253	11545	11545	8528	9927	9363	10391	10391	13096	13430	13288	13445	13445	12405	10522	7658	7053	7053	7797	9422	9422	5959	0
Tài sản ngắn hạn khác###Other Current Assets	52983	60152	56139	56539	66987	56404	56428	44222	44697	44266	44663	45882	31763	33279	36851	20147	9224	3273	4084	1997	4094	6296	4881	7618	9821	6782	7442	3612	9047	10434	2369	3842	5108	5078	1107	2068	2063	1124	2333	1654	681	505	780	513	1586	3024	3565	7831	8480	2774	7935	13251	11403	5943	4024	1967	2768	144	155	6773	1225	571	700	700	695	961	961	509	0
Tài sản dài hạn###Non-current Assets	1055725	1070848	1081844	1080153	1069286	1054833	1020601	898359	1014035	924284	922917	888345	764590	765134	679932	602833	446164	426180	385372	370707	370965	377447	382726	385282	381596	386859	392052	397328	392802	391521	396564	405563	407890	407913	412313	416726	424531	429514	423914	424449	428489	432841	436306	440456	423815	410757	393904	387021	386683	344418	319855	313254	275986	275986	182005	161822	115579	75355	75375	32613	33405	32052	32689	32689	31617	23847	23847	24482	0
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	0	110627	18302	7473	18302	18302	18310	44746	29259	0	40224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	1035725	1049492	824626	825038	838057	847555	860297	873223	869655	880960	893789	324044	333411	333411	339302	344143	351410	344797	344715	349950	350554	352229	357508	357508	355591	360854	366047	371323	372797	371516	376559	385558	387862	387853	392254	396695	399514	402472	403909	404444	408484	412836	416301	420451	406810	396752	379899	4986	372678	330413	305763	303122	265854	265854	171872	157690	115397	75173	75193	31430	30063	28710	29346	29346	28228	20458	20458	21053	0
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-251929	-236107	-222241	-221829	-208809	-196230	-183268	-170342	-170267	-157704	-144874	-131991	-121579	-121579	-115689	-109795	-103971	-98092	-98092	-92468	-86983	-105020	-99741	-99020	-101002	-95740	-90495	-85219	-83744	-78484	-73343	-69645	-65245	-65266	-62679	-58492	-56058	-51663	-51663	-58145	-53784	-49836	-45456	-43580	-43487	-43309	-47811	-47151	-46780	-46358	-45564	-45400	-44526	0	0	-42604	0	-40130	-40141	0	0	-37362	-36490	-36490	0	-34965	0	-33274	0
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
