CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	 2015	 2014	 2013
Tài sản ngắn hạn###Current Assets	650256	537738	414237	414646	436845	286388	291630	267614	213881	266860	285024	181373	236245	236247	138700	89632	231243	162853	162853	114300	73364	72808	40987	34957
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	157298	74604	66099	66099	46465	41847	85463	47321	47321	41446	147182	31195	47314	47314	83078	35751	169972	91576	91576	47887	17146	22167	16582	10004
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	236000	295000	180000	180000	260000	110000	30000	30000	30000	30000	68000	78000	124000	124000	0	0	0	10000	10000	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	231133	132747	126536	126536	78014	72628	172638	132691	133180	192785	67000	69631	63309	63309	53058	51142	57779	59822	59822	62943	54549	49509	20605	21487
Hàng tồn kho###Inventory	7	10	3	3	4	6	6	2	2	5	3	4	4	6	-2	2	1	4	4	4	2	0	2386	2973
Tài sản ngắn hạn khác###Other Current Assets	25818	35377	41599	42008	52362	61907	3523	57599	3378	2625	2839	2544	1619	1619	2566	2737	3492	1451	1451	3467	1667	1132	1414	493
Tài sản dài hạn###Non-current Assets	637559	648433	659036	659036	671213	681726	693464	703187	702698	715841	729073	742234	753386	753386	766019	780974	795346	804286	804286	811112	823797	849477	904614	958257
Các khoản phải thu dài hạn###Long term Account Receivable	21	21	21	21	21	21	21	21	21	21	221	221	221	221	251	3494	3292	3292	3292	3292	3292	3287	0	0
Tài sản cố định ###Fixed assets	473696	484331	495795	495795	506384	516245	526996	535515	535515	546852	557412	569215	578421	578421	589888	601941	614207	620796	620796	629253	639852	660289	829171	878767
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-383366	-372113	-360856	-360856	-349440	-338108	-326808	-315544	-315544	-304143	-293286	-281941	-270567	-270567	-227341	-217116	-206896	-196675	-196675	-186463	-176355	-156318	-139360	-92811
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-31607	-30229	-28851	-27472	-27472	-26094	-24716	-21959	-16446	-10933
