CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	 2005
Tài sản ngắn hạn###Current Assets	1435061	1363155	1336191	1336191	1400967	1457161	1405329	1134869	1134869	1101630	994623	1000548	1039225	1039092	1183058	1115949	1158373	1205890	1205545	1208234	1287756	1414362	1381092	1381092	1523245	1404081	1551836	1219390	1219390	1154090	1272046	1385977	1335834	1295334	1389311	1140658	1238714	918272	920210	1014362	1040148	923309	769575	768939	726024	753774	659116	573141	520076	731700	752977	806651	587331	587331	496241	544415	549139	457228	457228	480763	484192	399504	356355	356355	247156	292949	275095	251185	251185	205963
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	45794	68458	49021	49021	79295	87363	156080	90475	90475	133505	102990	74182	43563	43563	43164	12985	10977	11039	11039	14739	9442	18962	19219	19219	22235	60291	49934	11980	11980	49499	211137	62451	28688	28688	141291	40448	58508	34591	34591	29826	39367	25057	94692	94692	40779	23859	22955	22496	9260	37814	57060	60298	2852	2852	42434	24384	4974	13814	13814	8289	8387	5283	51167	51167	1271	1606	36619	16581	16581	5741
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46594	46594	79998	79998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	1014847	942981	957441	957441	945110	990427	926350	757744	757744	628641	584017	611345	647285	647285	777806	682519	618585	635951	636456	593209	628626	836818	771651	771651	1005116	833657	656690	487507	487507	505943	480857	456018	545803	545803	504374	462781	655745	437187	438887	447837	433249	379473	345585	345585	404832	384616	334412	260288	252435	327089	316067	266551	285906	285906	215006	172284	154325	97535	97535	109572	92672	132362	80396	80396	59103	81777	64980	86529	86529	64162
Hàng tồn kho###Inventory	353179	325611	302736	302736	343103	347985	309542	269500	269500	303433	256170	295485	332057	332057	347550	401001	504258	540151	540151	571724	625468	524959	524523	524523	450151	484630	820939	699984	699984	578201	565973	846501	734575	694075	716612	592973	491840	379232	379470	413182	434640	461849	278266	277629	244475	303924	259292	251611	240221	346957	360335	452362	280301	280301	226958	330703	375847	336884	336884	352982	372213	252891	215607	215607	180518	200889	165234	141593	141593	133126
Tài sản ngắn hạn khác###Other Current Assets	21242	26105	26992	26992	33460	31386	13357	17150	17150	36051	51446	19535	16319	16186	14537	19444	24554	18749	17898	28562	24220	33622	65699	65699	45743	25503	24273	19918	19918	20447	14079	21006	26769	26769	27034	44457	32622	20667	20667	43519	52895	56932	51033	51033	35937	41376	42457	38745	18160	19839	19515	27440	18271	18271	11844	17044	13994	8994	8994	9921	10920	8967	9185	9185	6263	8678	8263	6482	6482	2935
Tài sản dài hạn###Non-current Assets	184630	184593	174004	174004	217239	290418	296736	299886	299886	347057	364339	363000	381923	381923	387197	392249	432166	766500	766500	765189	760544	762964	750550	750550	719637	704417	726352	752415	752415	764851	739126	747767	772640	801932	778226	761228	697958	624673	624446	567559	524183	496618	449927	448638	327880	250477	214957	192640	196449	184262	207813	230971	232594	232594	261921	283439	315901	289732	289732	362208	402356	402212	363722	363722	256694	166963	59547	50406	50406	64823
Các khoản phải thu dài hạn###Long term Account Receivable	36905	18148	7301	7301	49558	108843	92476	90939	90939	118521	111943	100600	92153	92153	81407	71686	85857	66031	66031	92773	71326	60436	78150	78150	74943	83702	79875	74834	74834	85143	74848	61669	51519	51519	32808	24324	55	55	55	55	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	90762	100251	108014	108014	118743	129471	143220	155668	155668	175016	194300	202868	222685	221552	218676	219617	202039	524771	524771	525601	538699	531155	508846	508846	515249	513302	517572	566607	559862	554641	570538	580511	614925	620694	645178	649503	615001	148590	547863	493547	449793	424250	157313	375411	259312	181614	158196	81455	80964	147717	171703	190125	205135	205135	235766	257540	290002	263834	263834	336310	368859	372174	345080	345080	246533	159928	51138	50328	50328	64663
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-1096630	-1081768	-1071919	-1071919	-1068960	-1054564	-1033660	-1018232	-1018232	-1002624	-986347	-980284	-961810	-961810	-944269	-930540	-923288	-990662	-990662	-976808	-964255	-962013	-946044	-946044	-947737	-934591	-892345	-836575	-836575	-796938	-791578	-779911	-749107	-743338	-681808	-639323	-582520	-589403	-589403	-578753	-576966	-566068	-556979	-556815	-547160	-539767	-535084	-524257	0	-487269	-449179	-411037	-372872	0	-338339	0	0	-229433	-229433	0	0	0	-101138	-101138	0	-90899	0	-80179	0	0
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	-20751	-23438	-19539	-19539	-16066	-12984	-15081	-11664	-11664	-8056	-5125	-3197	-1990	0	-773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-2920	-2843	-2766	-2766	-2690	-2613	-2536	-2459	-2459	-2383	-2306	-2169	-2032	-1990	-1896	-1759	-1623	-1502	-1502	-1539	-1460	-1390	-1224	-1224	-1165	-1105	-1105	-1105	-1105	-1105	-1105	-1105	-1105	-1105	-1105	-1105	-1105	-1105	-1105	-1105	-1105	-1105	-1105	-1105	-1105	-1105	-1105	-1105	0	-1105	-1105	-1105	-1105	0	-1105	0	0	-1105	-1105	0	0	0	-838	-838	0	-657	0	-2479	0	0
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	1133	2689	2689	2689	2689	2689	2689	2523	2523	2523	2523	2523	2523	2523	2523	2523	2569	2707	2707	2707	2707	2829	2982	3212	3441	3441	3670	3900	4129	4359	4359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	0	0	0	0	0	0	0	0	0	0	0	0	1100	1100	15300	45300	45300	46400	46400	8158	8158	9542	9542	9542	9794	19794	20691	20691	20691	21520	21520	23620	23620	46908	56400	57252	51892	49447	49451	47708	47412	47466	62932	62932	64287	64325	53484	53484	115484	36289	35889	40847	27459	27459	25899	25899	25899	25899	25899	25899	28899	25440	13800	13800	8830	5660	8330	0	0	0
Tài sản dài hạn khác###Other long term assets	54288	65208	49865	49865	44098	48707	52597	49769	49769	49639	54476	56273	63469	63469	61204	51183	59430	70978	70978	79485	81182	85682	77258	77258	85554	82329	85670	87760	87760	75223	66007	65050	79869	80103	41011	27167	27799	23636	23636	22578	23022	20773	2975	5936	4281	4538	3277	1897	0	256	221	0	0	0	256	0	0	0	0	0	4598	4598	4842	4842	1330	1375	79	79	79	160
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	1619691	1547748	1510195	1510195	1618207	1747579	1702065	1434755	1434755	1448687	1358961	1363548	1421148	1421015	1570254	1508198	1590538	1972390	1972044	1973423	2048300	2177326	2131642	2131642	2242881	2108498	2278188	1971805	1971805	1918940	2011172	2133744	2108474	2097266	2167537	1901887	1936673	1542944	1544655	1581921	1564331	1419927	1219502	1217577	1053905	1004251	874073	765781	716524	915962	960790	1037623	819924	819924	758162	827853	865040	746960	746960	842972	886548	801716	720077	720077	503850	459912	334642	301592	301592	270785
Nợ phải trả ###Liabilities	1152211	1066590	1033439	1033439	1146999	1281315	1217838	954645	954645	972689	887557	861159	922354	922153	1071466	1011969	1052220	1450357	1450012	1468944	1550170	1651682	1617202	1617202	1754609	1621969	1744143	1449527	1449527	1437828	1534390	1728027	1710618	1705633	1788701	1480426	1529837	1142013	1141466	1188141	1182285	1022409	827576	827576	677887	629410	493401	395734	352278	552465	613111	679700	644105	641984	603404	682415	725735	621708	621708	729346	791255	708479	622345	620673	467063	415897	299724	258956	258239	236143
Nợ ngắn hạn###Short term Liabilities	1082615	998001	956492	956492	1070051	1200154	1132994	868878	868878	884157	811940	789144	833320	829474	998732	958308	1000664	1209661	1209315	1220725	1278458	1363991	1356579	1339579	1489224	1391633	1485123	1196022	1196022	1152147	1170033	1368337	1365010	1356055	1397130	1136170	1161133	854565	829221	904542	904824	768124	593611	593611	508658	497075	375810	317046	313321	497533	531484	567518	498131	496010	417163	507496	546445	415431	415431	504835	532301	469375	395554	393882	246156	263339	231357	218252	217534	183142
