CAN DOI KE TOAN	 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	 2005
Tài sản ngắn hạn###Current Assets	182684	190718	197683	250955	283987	295325	308511	308488	381903	404934	408127	407420	407373	600356	620399	727633	820831	820672	891937	972726	981104	950499	953298	936299	919356	910516	984855	984855	1027422	960170	1060977	958801	958801	1189046	1220315	1295029	1129560	1129861	1146890	1127566	956719	1169902	1169902	1145366	895862	796507	731733	731733	569006	569888	534547	454230	459357	548137	614123	521041	634544	634544	379103	337718	272664	235177	235177	258501
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	2973	130	130	1866	1626	14869	974	974	1107	221	782	1351	1351	7415	17359	28343	7955	7955	31585	32972	45920	35551	35553	6918	19983	31392	21345	21345	33399	14798	35896	15302	15302	26150	23482	25452	44391	44391	17520	44834	33430	189740	189740	122777	122107	133217	88066	88066	97946	72848	31321	35351	35351	35311	19410	13055	243146	243146	6348	8208	6832	3009	3009	6746
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	16000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21683	22083	22083	22083	22083	33957	33957	34052	34072	34072	44451	43100	8492	7580	7580	11985	18506	49719	34951	34951	38001	57269	103800	3800	3800	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	163503	160260	161674	196408	231400	225000	255966	255944	301722	249457	255466	258024	257977	413794	380940	406013	482714	481060	437475	443400	429437	452998	428150	430630	457004	442609	483208	483208	422697	383224	449727	409250	409250	489976	461957	512013	418257	418557	433050	370578	343723	447556	447556	433727	360994	292083	226340	226340	137753	184467	195652	129814	133689	196862	209065	243400	82614	82614	98063	87815	49011	61558	61558	68706
Hàng tồn kho###Inventory	4	29229	34780	51179	49861	51020	47601	47601	77816	152326	149501	143608	143608	170307	213624	287062	325475	326970	417934	485174	491475	449940	449940	456727	401304	384955	430726	430726	509088	497060	503681	463743	463743	576208	616486	645762	564827	555522	555114	580777	464961	422966	422966	484427	322529	321463	372918	372918	288793	254427	231712	235799	235816	256807	303259	150467	295117	295117	261083	231865	207003	165132	165132	178207
Tài sản ngắn hạn khác###Other Current Assets	204	1099	1099	1502	1100	4435	3970	3970	1258	2929	2377	4437	4437	8839	8476	6215	4688	4688	4943	11179	14273	12010	39655	42024	41066	51560	49576	49576	62238	65089	71673	70506	70506	75029	96307	89718	80003	89308	107248	97419	80553	75568	75568	59984	47132	41252	36828	36828	32530	39639	26143	18315	19549	21157	25121	10318	9867	9867	13609	9830	9817	5478	5478	4841
Tài sản dài hạn###Non-current Assets	47019	65173	53332	70322	70404	87747	87686	106356	105036	111631	85375	98844	102597	762101	903414	937811	934628	937371	958714	990718	1010124	1026783	1031462	1044574	1018926	1010126	965384	964918	945761	993558	1233717	1211050	1211050	1243051	1241421	1167542	1097721	1095400	1027868	968641	966361	1357444	1357444	768716	573546	532175	483714	483714	396958	362388	288439	282766	282653	231729	213153	133827	139285	139285	88826	90787	94953	99920	99920	133022
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	12	12	12	12	0	12	0	0	12	12	12	26	335	275	260	305	305	173	0	55	0	0	0	29	0	0	0	0	25	0	29	47	29	29	0	0	0	0	18	0	0	615	522	248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	225	241	241	244	244	250	250	250	143	494	878	1651	1651	571282	605546	609510	619102	619102	609347	634012	648014	661571	661596	92299	99460	109245	701879	701879	676363	723612	1026387	144360	1003787	1017545	1000113	938104	214480	882491	826943	766875	702200	212402	1151044	547435	401460	327161	289569	289569	245473	223334	161232	157957	157957	140340	124226	31322	114513	114513	74746	80108	85037	92594	92594	126683
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-11899	-11882	-11882	-14174	-14174	-14167	-14167	-14167	-26026	-27244	-27532	-26759	-27173	-91587	-274235	-294832	-288482	-288482	-296710	-322614	-308409	-293689	-293719	-272566	-263435	-256300	-246509	-246509	-245780	-242361	-249473	-241090	-241090	-298237	-320205	-309767	-304407	-304196	-296371	-285040	-278280	-281512	-281512	-303165	-207978	-195173	-175191	0	0	0	0	-122911	0	0	0	0	-98640	-98640	0	0	0	-76566	-76566	0
