CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	 2005
Tài sản ngắn hạn###Current Assets	91773	93521	79790	80028	233962	234060	120167	120922	116654	89461	80773	74296	74355	31542	31279	17595	15924	15880	27956	77805	49225	155530	294513	294500	218795	76141	146150	73667	148568	152338	151006	153130	159395	161717	177976	188276	140462	147470	147210	142636	156045	145779	163574	163684	151564	156457	163476	145009	145009	187777	192462	201259	200217	207300	294004	338682	334026	307931	345073	344680	311372	279425	270303	270303	230589	172308	142999	138636	137652	94721
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	470	2432	785	785	3099	2674	2887	3374	3374	8476	3197	1379	1739	1638	1594	1632	2493	1624	1645	3622	4056	70739	122118	122855	11082	8688	3464	8484	8525	7634	8143	7717	6041	6041	13065	8292	9054	12045	11940	8238	12611	1900	17326	17326	4395	5457	9774	17361	17361	9759	21518	15570	16000	18000	37863	22256	4699	47186	28123	24808	14095	24487	42110	42110	49665	20589	7788	7375	7375	5391
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	5600	5600	5600	5600	6886	6886	9600	9600	9600	4000	4350	4350	4350	350	2900	2900	2690	2690	2690	3140	3140	15627	17301	17301	20041	0	8485	0	8485	8038	7938	7938	10536	10536	10941	10941	12714	12967	12967	12801	12602	11848	11303	11303	19712	19615	8869	9944	9944	51682	49166	144204	151870	149870	180037	204944	237498	209305	19357	44880	43042	30405	23468	23468	22400	14171	12039	12600	12600	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	79146	78972	66881	67119	216711	217308	100404	100710	96442	60188	56699	55714	55506	24511	20693	8025	8091	8623	22695	60174	30410	58729	148893	148221	181043	61273	44544	51951	29227	33036	19542	19769	18716	20977	23070	23378	23629	24040	24167	26143	23671	21874	21474	21597	22745	29012	27027	20816	20816	19043	15603	12135	6363	15720	28084	19741	19268	9125	229007	220127	212129	198203	199311	199311	153636	133566	117650	114833	113657	84970
Hàng tồn kho###Inventory	6285	6285	6285	6285	6275	6270	6239	6239	6239	15879	15879	12292	12298	4581	5489	4546	2150	2150	142	10035	10838	9726	5831	5831	6094	5617	88878	12807	90466	91681	101575	105263	110955	111017	117471	132745	81682	86046	86308	83735	95535	96198	103391	103369	91109	91582	98881	80177	80177	81871	83184	17700	17039	17039	42913	85177	67438	33568	59717	46170	35514	20395	3993	3993	1972	2226	2215	1552	1613	2310
Tài sản ngắn hạn khác###Other Current Assets	272	232	240	240	990	922	1037	1000	1000	918	648	560	462	462	603	492	501	793	784	833	780	710	369	292	536	563	778	424	11864	11949	13808	12443	13145	13145	13429	12920	13383	12372	11827	11718	11626	13958	10080	10090	13603	10790	18925	16712	16712	25422	22990	11649	8943	6670	5107	6565	5122	8747	8868	8696	6592	5935	1422	1422	2915	1755	3307	2276	2407	2050
Tài sản dài hạn###Non-current Assets	268510	269232	276634	276422	325742	326082	309136	309721	321352	358162	358787	361246	361885	379657	385503	390849	394320	392017	389451	431204	448426	277221	261759	256801	257304	293293	225026	292301	218001	212250	204742	197562	175494	173993	186313	185437	237196	253445	231616	230485	192803	180618	154027	154027	143155	135821	121266	130779	130779	146763	137560	133049	118718	116768	117827	91256	87480	111718	85493	60871	53672	60910	47622	47622	45404	57397	51687	39173	39780	25311
Các khoản phải thu dài hạn###Long term Account Receivable	1264	1264	1764	1764	1764	1765	1765	1765	7552	7495	7495	7430	7430	7439	7641	7914	7919	7919	7919	7913	7913	7957	8245	8105	8105	8050	7997	7944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	86281	89280	89759	89759	90245	90733	91222	91712	95843	97339	97847	100769	101297	108308	107879	108377	108872	109372	115932	41773	42597	42035	42515	42385	42884	43383	43882	44381	44381	44891	45412	50580	84624	84624	93590	85384	139803	50544	136368	128180	90272	83585	47775	55776	55152	48286	33760	14805	46934	84943	75637	68803	61163	61138	74589	54912	48868	78022	52025	30221	26128	33133	32915	32915	40340	53982	48636	36177	36887	22987
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-41794	-42230	-41751	-41751	-41266	-40777	-40288	-39799	-40989	-37306	-36797	-33032	-32504	-26237	-25770	-25272	-18645	-18145	-18145	-17645	-17598	-18240	-18492	-18561	-19179	-18680	-18181	-17682	-17682	-17171	-16651	-16464	-15665	-15665	-15342	-14941	-15750	-15013	-15013	-14245	-13626	-13418	-12668	-12499	-10654	-10390	-10070	-9608	-9608	-9546	-9068	-8754	-10164	0	0	0	0	-8745	0	0	0	0	-6448	-6448	0	0	0	-4802	-4802	0
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
