CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006
Tài sản ngắn hạn###Current Assets	82118	77312	80485	77560	83971	88319	83267	76313	77435	81849	87577	93429	101285	101860	111263	100028	104153	109981	109966	108137	107331	101266	104164	105385	109415	97952	81223	93673	128295	122545	123715	143070	146933	147890	158910	171004	170449	167859	167852	174636	168751	160611	163441	163441	159450	160061	140464	141239	141239	140458	140849	142753	135148	135091	135371	136816	116942	124054	124421	123199	102527	99589	84962	84926	95523	84363	70674	66951	67181
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	981	2944	2799	2799	3462	3917	5566	6228	6228	10513	7503	1457	5838	5838	5396	5089	2252	4245	4245	2815	5098	4254	8002	18002	23864	7814	5788	6520	6520	2352	4443	6549	5556	5556	5246	4079	1784	4776	4776	4017	5401	4758	10149	10149	3227	7407	4371	10713	10713	17592	22915	7723	13091	13022	16325	16980	25611	17901	17901	12809	8772	18808	15299	15300	15850	4800	3158	7059	7059
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	4000	3000	3000	3000	3000	2000	0	0	0	0	0	4000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7034	7034	7034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	52034	49615	50830	47934	51695	52228	50833	51160	52264	51082	58900	59586	64848	65423	65455	56688	63572	69712	69714	70289	65218	62019	62767	53988	56276	57513	44371	52312	75250	72420	71321	90158	98573	99529	106229	123277	125739	119493	120384	124735	120578	111440	113665	113665	106147	102533	88893	93370	93370	82687	75557	96467	83947	83959	75126	71696	49885	66746	66812	70171	50971	42792	36230	36194	39959	45291	30977	30627	30583
Hàng tồn kho###Inventory	24575	21107	23173	23173	24238	28461	25314	18020	18020	18828	20383	27530	29652	29652	39516	37614	37690	35412	35395	34350	36237	34095	32361	32361	28240	31340	30130	34095	34133	34648	35831	37462	35396	35396	39376	37077	35317	37525	36628	35927	35450	36833	34903	34903	41749	39710	37114	30770	30770	31813	32981	29758	32903	32903	38241	42093	35268	32710	33011	34456	38322	32219	29510	29510	35864	32723	33799	29045	29069
Tài sản ngắn hạn khác###Other Current Assets	528	647	683	654	1575	1714	1554	905	922	1427	792	855	946	946	896	638	640	612	612	683	778	898	1034	1034	1035	1285	934	745	5357	6091	5085	8901	7409	7409	8058	6571	7609	6064	6064	9957	7322	7580	4724	4724	8326	10412	10086	6386	6386	8366	9395	8806	5207	5207	5680	6047	6178	6697	6697	5763	4463	5770	3922	3922	3850	1549	2740	221	471
Tài sản dài hạn###Non-current Assets	21048	27362	27698	27759	27185	28042	27190	26044	26027	25672	27411	27070	29033	29033	25427	26016	25724	25078	25112	24561	23933	25034	24315	23095	28043	54431	61783	69961	41744	43583	42745	40746	40598	40825	38453	34367	33977	34263	34263	34798	34936	34635	34429	34429	39412	39755	38136	37157	37157	36833	36284	31051	27697	27716	24373	21299	21150	18108	18127	18647	15467	12332	11157	11344	8289	7672	8759	8704	7672
Các khoản phải thu dài hạn###Long term Account Receivable	12160	17217	17269	17269	16905	17351	16621	16225	16225	16328	17831	17323	18412	18412	16675	16725	16699	16307	16307	15844	14969	15912	14974	13754	18714	15453	22682	29237	382	402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	5826	6099	6405	6387	6460	6760	6892	6441	6441	5850	5876	6060	7774	7774	4875	4896	4705	4895	4915	5104	5303	5588	5800	5800	5866	6001	5602	5528	5528	5800	5856	5968	6580	6580	6372	2091	2466	2719	2719	3025	3231	2867	3054	3071	7956	8086	7295	3372	6380	5947	5421	4189	4409	4406	4144	4212	4143	3847	3865	4382	4622	6216	7543	7731	7844	6957	7212	7132	7132
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-17164	-18043	-17737	-17755	-17432	-17900	-18686	-18718	-18718	-19928	-21013	-20748	-20500	-20500	-21073	-21992	-21787	-21597	-21578	-22667	-22468	-22628	-22369	-22369	-23537	-23280	-23022	-23293	-23293	-23057	-22782	-22514	-22235	-22235	-22350	-21987	-24907	-24622	-24622	-24875	-24559	-24318	-24012	-24012	-24429	-24089	-23292	-22978	-22978	-22612	-22243	-22800	-22488	0	0	0	0	-20908	0	0	-19958	-21008	-20374	0	0	0	0	0	0
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	0	0	0	0	-50	0	-50	-50	-50	-50	-50	-50	-50	-50	-50	-50	-50	-50	-50	-50	-50	-50	-50	-50	-50	-50	-446	-50	-446	-446	-446	-446	-446	-446	-446	-446	-473	-473	-473	-473	-473	-473	-473	-473	-473	-473	-473	-473	-473	-650	-623	-592	-562	0	0	0	0	-423	0	0	-354	-326	-298	0	0	0	0	0	0
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	167	167	167	167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	1104	1781	1781	1860	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1974	1878	1878	1878	1878	1878	1878	1878	1878	1878	31365	31477	33464	33856	35372	34782	33075	32559	32786	30976	31858	31400	31400	31400	31400	31400	31400	30900	30900	30900	30900	30360	30360	30360	30360	30360	26310	22560	22560	19911	16799	16799	13926	13926	13926	10372	5600	3060	3060	0	0	0	0	0
Tài sản dài hạn khác###Other long term assets	1521	1828	1786	1786	2017	2174	2133	1124	1107	1240	1450	1545	412	412	368	228	249	327	342	360	409	284	357	357	327	354	395	280	526	592	699	1214	1458	1458	1106	418	111	144	144	373	305	201	291	291	389	769	481	417	417	526	503	551	728	749	318	288	208	336	336	340	472	515	553	553	444	715	1547	1572	540
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	103166	104674	108183	105319	111156	116361	110457	102357	103461	107521	114988	120500	130318	130892	136690	126044	129877	135059	135078	132699	131264	126300	128479	128479	137459	152383	143005	163634	170038	166128	166460	183816	187531	188714	197363	205371	204426	202122	202115	209434	203687	195246	197870	197870	198862	199816	178600	178396	178396	177291	177132	173804	162846	162807	159743	158115	138092	142163	142548	141846	117993	111921	96118	96271	103811	92035	79433	75655	74853
Nợ phải trả ###Liabilities	51398	50757	54657	51784	58198	63466	54620	47047	48156	54182	62150	65408	75880	76456	83138	73711	75134	80886	80880	79174	79020	71503	74304	73602	83523	95459	84845	105041	111090	109436	111083	128927	134008	135227	146125	154450	150890	149928	150024	155946	150844	142447	145668	145668	148688	146840	127854	128596	128596	130410	132450	126048	120749	120804	119970	120462	103656	108536	109660	110355	88970	82602	67810	67265	80276	68820	60192	56770	56129
Nợ ngắn hạn###Short term Liabilities	45918	45134	49034	46161	51502	56682	47670	39888	40997	46400	54402	56616	66507	67083	73609	63576	64137	70294	70289	68768	68281	60556	64709	64701	74609	85995	72625	90920	109583	107580	109222	127954	132662	134200	145655	153980	150316	149250	146775	152545	146427	138275	141419	141419	144364	142441	123334	124367	124367	126108	128994	124402	119195	119284	118164	118746	101571	106503	108777	108971	87587	80719	65926	65381	77683	65910	57283	53813	50565
Nợ dài hạn###Long term Liabilities	5480	5624	5624	5624	6697	6784	6950	7159	7159	7783	7748	8792	9373	9373	9528	10135	10997	10592	10592	10406	10739	10947	9595	8902	8913	9464	12220	14121	1506	1856	1861	973	1346	1026	470	470	574	678	3249	3401	4417	4172	4249	4249	4324	4399	4520	4229	4229	4302	3456	1646	1554	1521	1805	1716	2085	2033	883	1383	1383	1883	1883	1883	2593	2909	2909	2958	5565
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3790075	8	0	0	0	0	0	0	0	0	0	0	9	0
Vốn chủ sở hữu ###Owners equity	51768	53917	53526	53535	52958	52895	55837	55310	55305	53339	52838	55092	54438	54436	53553	52334	54744	54173	54198	53524	52244	54797	54175	54877	53936	56923	58160	58593	58949	56692	55377	54889	50685	50650	48409	48562	51120	52194	49628	51012	50289	50215	52202	49555	47220	52975	50746	49801	49801	46881	44682	47756	42097	42003	39774	37653	34436	33626	32888	31491	29023	29319	28308	29006	23535	23216	19241	18885	18724
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	18	18	18	18	343	343	343	615	763	163	163	349	657	657	18	215	239	497	90	90	90
Vốn chủ sở hữu ###Owners equity	51768	53917	53526	53535	52958	52895	55837	55310	55305	53339	52838	55092	54438	54436	53553	52334	54744	54173	54198	53524	52244	54797	54175	54877	53936	56923	58160	58593	58949	56692	55377	54889	50685	50650	48409	48562	51120	52194	49628	51012	50289	50215	52202	49555	47220	52975	50746	49783	49783	46863	44664	47738	41754	41659	39430	37038	33672	33463	32725	31142	28366	28662	28290	28791	23296	22719	19151	18795	18634
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	290	0	2149	2600	2658	2847	2838	2838	2829	2359	2416	2463	2463	2477	2554	2584	2642	2647	2954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166460	183816	187531	188714	197363	205371	204426	202122	202115	209434	203687	195246	197870	197870	198862	192307	178600	178396	178396	177291	177132	173804	162846	162807	159743	158115	138092	142163	142548	141846	117993	111921	96118	96271	103811	92035	79433	75655	74853



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	8818	11969	71560	18078	21190	19986	12428	103196	20301	21623	36242	24981	86330	32906	20875	18573	13977	73544	19393	23846	15746	14557	86085	15665	26689	28578	15166	109199	43414	22356	24764	18704	86475	33751	17224	16053	19187	105673	28148	35605	24411	17509	113513	41187	22155	31403	18992	150283	41894	34225	35791	38373	138386	39961	33651	41868	22907	131347	35398	49160	25394	21395	118387	39961	32614	35726	11507	121920	32487
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0	0	0	0	0	0	0	0	0	13	0	13	-115	115	2	0	0	-401	401	105	0	0	0	0	968	941	0	0	73	568	0	0	568	0	224	0	0	224	0	0	0	0	0	155	9357	4088	3271	360	1637	6060	1409	4651	0	0	3913	196	766	1787	1163	640	390	0	0	281	17349	13
Doanh thu thuần###Net Sales	8818	11969	71560	18078	21190	19986	12428	103196	20301	21623	36242	24981	86317	32906	20862	18688	13862	73542	19393	23846	16147	14155	85980	15665	26689	28578	15166	108231	42473	22356	24764	18631	85907	33751	17224	15485	19187	105449	28148	35605	24187	17509	113513	41187	22155	31403	18837	140926	37806	30954	35431	36737	132326	38552	29000	41868	22907	127434	35202	48394	23606	20232	117747	39571	32614	35726	11227	104571	32474
Giá vốn hàng bán###Cost of goods sold	6692	9152	58170	14384	18468	16046	9413	87511	15215	19606	31840	20779	69538	27715	16465	14692	10691	56628	15091	18949	11875	10699	61811	9636	20691	20126	11357	81065	31240	17166	17106	15488	63850	24848	13410	10863	14525	90147	24740	32545	19415	14344	93679	35161	18211	25447	14860	115010	31180	25512	28089	30392	109995	32137	24047	34759	19055	105648	29607	41602	17794	16543	95565	34291	25731	25023	9317	91103	28351
Lợi nhuận gộp###Gross profit	2126	2816	13390	3694	2722	3941	3016	15684	5086	2017	4402	4202	16779	5191	4397	3996	3170	16914	4302	4898	4272	3457	24169	6029	5998	8451	3809	27166	11233	5190	7658	3143	22057	8903	3814	4622	4662	15302	3407	3060	4772	3165	19833	6026	3944	5956	3977	25917	6626	5441	7342	6344	22331	6415	4953	7109	3852	21786	5595	6792	5812	3690	22182	5279	6883	10703	1910	13468	4123
Doanh thu hoạt động tài chính###Financial activities Revenues	374	1	788	326	3	264	172	2660	2313	122	62	163	363	56	58	245	4	972	192	137	344	299	681	34	2036	144	407	4981	4624	14	10	232	2707	1399	1511	10	11	152	63	14	46	29	551	301	161	51	55	1493	317	657	92	427	1251	507	134	425	117	867	295	312	143	113	591	119	295	25	16	940	0
Chi phí tài chính###Financial Expenses	909	250	929	246	244	216	149	633	135	138	217	171	272	115	22	1	61	173	41	44	-14	102	4928	126	250	821	182	3491	2531	259	409	276	1227	310	230	490	198	2040	453	257	1123	207	1827	433	406	589	400	1190	350	358	314	168	102	14	12	33	42	947	215	255	389	87	1682	159	802	268	452	1242	18
Chi phí bán hàng###Selling Expenses	16	18	62	15	17	15	15	70	16	16	17	20	74	19	19	22	13	55	16	15	21	11	179	60	46	45	27	200	41	49	76	35	166	102	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chi phí quản lý doanh nghiệp###Managing Expenses	1819	2063	10783	2796	2583	2977	2456	13433	5872	1955	2653	2953	10440	3212	2172	2469	2013	12648	3334	3217	3294	2792	17098	3394	5531	4433	2807	23051	11588	3461	5798	2222	22385	10707	3403	5297	2658	10092	3892	1749	1467	1993	11182	3475	2227	3209	2351	14046	3633	2809	3841	3600	12306	4367	2341	3644	1974	13605	3771	3597	3835	2101	12753	2354	3811	5567	879	6815	2083
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	-244	486	2404	964	-119	996	568	4208	1377	29	1576	1221	6356	1901	2242	1750	1087	5011	1103	1759	1314	851	3169	2482	2207	3194	1824	8753	2555	2025	2548	1358	986	-817	1629	-1154	1818	3321	-875	1068	2227	994	7376	2419	1471	2210	1281	12174	2960	2931	3279	3004	11175	2541	2733	3856	1954	8100	1904	3253	1732	1615	8339	2885	2565	4893	594	6352	2022
Thu nhập khác###Other incomes	11	8	378	27	197	34	120	507	451	257	4	1096	933	241	79	12	13	108	50	0	55	2	704	45	301	351	19	897	89	13	5	790	5564	2663	32	2316	4	5468	5428	3	25	12	4774	4754	12	5	4	69	55	4	6	4	71	40	2	3	20	3162	50	8	1918	33	150	109	11	0	0	412	1
Chi phí khác###Other Expenses	1	4	168	2	15	128	23	221	0	0	35	1487	1912	766	631	474	317	735	230	156	233	116	889	253	168	309	160	1275	340	376	91	468	2242	967	580	668	0	2619	2009	128	398	84	4742	4625	17	100	0	500	263	135	74	29	141	64	0	66	12	1067	41	0	904	0	1	1	0	0	0	0	0
