CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	 2007	 2006
Tài sản ngắn hạn###Current Assets	333669	361036	371693	374650	416151	431723	447520	454978	454978	481308	503686	517494	534467	534467	589940	623371	656928	702117	715114	636993	622278	479942	535725	535725	698022	690769	544332	555586	555586	513240	559293	588415	655605	655605	613297	558525	521156	474988	474988	505753	490232	542213	620562	640289	534446	561628	554921	462049	462049	498030	762694	787624	613753	613753	593200	488226	496152	425011	144350	53532
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	776	1569	4260	4260	1423	7431	34725	33643	33643	35484	35287	35583	40714	40714	40916	47598	46918	53067	55756	62054	78258	11327	42510	42510	60038	74657	30639	40376	42376	26377	36657	5696	71581	71581	9200	30828	34280	28935	28935	8586	42277	45514	90897	90897	17589	17603	58995	34541	34541	68364	59250	42197	19928	19928	22272	30802	11540	8115	14427	11551
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	964	1356	1462	1335	10915	27423	12331	12629	12629	10786	6185	6209	2851	2851	3016	3016	5814	5814	3124	4297	4154	4533	4118	4118	4541	24541	4587	4587	2587	3758	3758	4183	4616	4616	3559	3559	2835	2835	2835	3731	3617	3570	2590	2590	3823	62628	5479	5079	5079	5960	6303	5543	6003	6003	28752	18267	1504	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	254631	259603	268615	271737	296506	285901	301603	288986	288986	312034	308586	309617	338133	338133	387565	411762	430161	478188	491185	414107	392799	370175	411414	411414	507239	481481	416657	419473	405069	360298	398209	466707	455723	455723	452800	386664	358468	328338	328338	359537	349811	385163	424529	424404	377218	336496	361870	303565	303565	249004	252983	419891	252345	252345	246644	146728	166438	125911	74909	22093
Hàng tồn kho###Inventory	74094	95367	94589	94589	103394	107391	92791	111397	111397	110121	138637	148098	135499	135499	144076	142850	150287	144684	144684	128200	118687	77829	60454	60454	115750	101502	78379	81983	81983	101469	104923	100078	111487	111487	131275	108067	104693	94807	94807	105383	72019	86758	85118	104501	113376	121370	108873	106492	106492	155822	420823	305747	320974	320974	280300	276436	272646	259808	49214	17646
Tài sản ngắn hạn khác###Other Current Assets	3203	3142	2766	2729	3913	3578	6071	8323	8323	12882	14991	17988	17271	17271	14367	18144	23747	20364	20364	28334	28379	16078	17228	17228	10455	8588	14069	9167	23571	21337	15747	11752	12198	12198	16463	29407	20880	20072	20072	28516	22507	21208	17428	17897	22439	23531	19705	12372	12372	18881	23334	14245	14503	14503	15232	15993	44024	31177	5799	2242
Tài sản dài hạn###Non-current Assets	55704	67710	68105	68105	91705	92112	113156	113566	113566	142997	145972	142999	144908	144908	147258	180061	156876	163955	163955	166124	166599	183683	198177	198177	173572	178926	181049	171818	171818	160388	161171	166476	172457	172457	185438	187593	189380	195112	192352	190267	191646	193751	206307	187780	189463	151074	144967	145100	145100	155611	154265	153556	158317	159191	113345	134885	148763	141992	106547	16386
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	200	200	200	200	0	0	0	0	0	0	0	0	0	0	11	11	11	11	11	26	380	380	380	2034	1940	11	11	0	0
Tài sản cố định ###Fixed assets	24335	25160	25556	25556	25959	26365	26775	27184	27184	27138	28673	29142	29612	29612	30088	30675	29977	32696	32696	33489	34289	21371	22213	22213	26698	28123	34855	36849	36849	38962	40431	66249	100195	100195	102927	105307	107754	83966	110665	108418	110026	112813	96282	117243	117742	82316	77457	61987	76085	76166	73977	47725	67151	67151	46934	37977	33155	33206	18479	14521
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-11948	-11906	-12129	-12129	-11733	-11334	-10932	-10529	-10529	-10484	-10186	-9724	-9262	-9262	-8793	-8416	-9854	-17561	-17561	-16768	-15969	-31667	-31914	-31914	-35419	-33995	-38525	-36534	-36534	-35012	-32955	-40286	-41603	-41603	-39305	-36424	-33529	-30872	-30872	-28096	-25133	-23836	-20801	-20801	-17813	-18613	-21065	-22109	-22109	-19868	-17561	0	-14527	-14528	0	0	0	0	-7914	-7228
