CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	 2005
Tài sản ngắn hạn###Current Assets	2265509	2221533	2236831	2236831	2283531	2373600	2374298	2290411	2287549	2462606	2453376	2502516	2434941	2424622	2661914	2547217	2465603	2184967	2185762	2054785	2041146	2077425	2298671	2298240	1996104	2048545	2099443	2065559	2065559	2101722	1776057	1699373	1673757	1676084	1738178	1574649	1514731	1516509	1547941	1602052	1588090	1460692	1424631	1423489	1345063	1258228	1097815	1082751	1085614	1025220	747641	678823	795489	791601	720941	648187	584321	534317	537945	532846	512154	453258	473593	474658	421609	380956	393189	387206	391716	318556
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	8346	17127	41669	41669	16707	76445	110368	21987	21987	17317	24283	41822	19467	19467	37629	32340	57596	70994	70994	28840	63100	60721	135435	135435	74295	96123	104084	184660	184660	529602	161565	170436	211118	211118	264351	73083	68049	139765	139765	99628	69558	42617	137543	136650	33106	73295	25636	98232	98232	35521	27991	52219	50111	50111	45803	23271	52272	78457	78456	23319	28603	44806	80616	80616	12874	23287	21563	55683	55683	27565
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28300	28300	23500	23500	23500	21400	21400	23500	23500	23500	22200	22200	125100	125100	125100	17900	17900	18500	18500	18500	14587	14587	14505	22305	22305	29916	36576	6176	6176	6176	8725	8725	16575	16575	16575	20919	20663	21246	21246	0	8000	0	0	0	0	0	-10000	0	0	0	0	0	8000	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	1634687	1611870	1623960	1623960	1657080	1698109	1694693	1692951	1690037	1720677	1629777	1603643	1572616	1572616	1718885	1677647	1532494	1347943	1348743	1219393	1213292	1188975	1436591	1436584	1269405	1265692	1210310	1120976	1120976	920854	964061	904296	916039	918473	912545	941901	867077	856929	888603	865272	830026	689285	622003	621987	624381	530333	392869	442157	443317	429927	240016	202655	336750	351685	318209	296740	223109	173458	180009	212941	194494	140103	168015	170375	124986	123164	85426	113345	116042	118805
Hàng tồn kho###Inventory	590333	566308	542707	542707	574747	580188	550362	563491	563680	707353	778110	835933	816471	809403	861872	795223	836697	733972	733972	768860	730490	777172	690863	690863	621843	652575	647560	598181	598181	591234	583676	567976	495736	495736	520906	529627	553444	489117	489878	596326	642320	709532	647221	647221	666443	633360	637333	509378	511159	518980	441779	388347	376610	379326	338382	317799	299486	277901	274978	291851	291913	263439	222742	221447	280334	230948	274963	216335	218149	168256
Tài sản ngắn hạn khác###Other Current Assets	32144	26228	28495	28495	34996	18857	18875	11982	11845	17259	21206	21118	26387	23135	15228	13707	15315	8558	8554	16291	12865	27058	12282	11859	8361	11954	12388	36642	36642	42132	48856	38165	32363	32256	25789	15451	11656	8393	7391	10910	9611	13081	11689	11455	12408	12514	25403	16410	16332	19873	17192	14355	10772	10479	10548	10377	9455	4502	4503	4735	7144	4911	2220	2220	3416	3558	3237	1842	1842	3931
Tài sản dài hạn###Non-current Assets	765210	771069	779459	776646	775598	780466	755998	777441	784463	782017	798000	786452	736079	744273	735844	764806	743168	905584	904946	901469	883953	886372	871417	870930	887819	890469	905105	959033	959033	868904	802018	736335	692577	691465	672685	671430	324181	341102	307045	329916	347502	379311	394220	395854	418079	428519	440950	450208	456282	443155	362056	266925	333719	356754	309261	250427	244331	232118	231346	236456	233180	229924	161521	158396	116115	120476	121787	117314	115766	45916
Các khoản phải thu dài hạn###Long term Account Receivable	65	89	91	91	107	107	107	107	107	760	760	760	2924	2924	2934	2924	2969	166667	166667	166767	166767	166385	166125	166125	166025	165975	163884	0	0	0	0	0	0	0	4500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	611520	609514	618727	618727	620266	624728	628058	641031	647832	643543	658700	648192	623752	623945	624973	635003	606999	616359	616359	629801	610675	622183	607050	606918	619474	633849	650450	669487	666032	73864	85718	92237	499566	515284	495691	513221	165310	159800	181987	200301	220264	278039	234538	243139	269323	281691	290573	284166	308681	306651	205261	152078	227207	230555	224987	177925	184367	172154	171764	165378	157269	160932	105654	102529	98509	103700	111737	110733	110529	42314
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-873803	-881356	-871551	-871551	-869814	-889837	-878597	-865530	-865530	-851430	-896417	-881731	-867862	-867400	-851420	-836074	-838747	-824557	-824557	-810195	-796306	-814787	-800892	-800869	-787749	-776529	-759708	-742051	-742051	-723583	-710620	-697299	-682606	-682606	-684751	-675872	-713033	-694768	-635519	-617325	-656277	-636695	-616340	-616202	-595522	-575444	-559474	-538217	-538812	-518557	-429733	-429354	-478360	0	-465039	-453230	-441353	-430374	-430764	-420304	-410131	-403442	-396406	-396406	-392471	-384605	-374710	-364975	-367628	0
