CAN DOI KE TOAN	 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	 2005
Tài sản ngắn hạn###Current Assets	54238	55538	56000	47590	46464	45666	45961	45961	47814	44885	47305	71471	73605	77945	81325	82731	84857	104493	136029	132137	126133	125129	123334	113194	108406	102234	94974	95144	86575	94320	91624	100360	100805	131400	134839	137154	121439	124860	123849	125347	127279	133911	133663	141066	153345	174967	137031	169756	172557	170345	169485	152005	151436	188647	211429	185211	164855	165353	171833	147370	128914	139228	139327	109069
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	2995	1939	1939	775	705	1023	973	973	1574	125	2466	3692	3693	2574	2869	4203	5351	5351	1860	3928	9025	24857	24857	2243	1613	4710	4883	4882	9093	1727	1783	1662	1788	3223	5605	7819	17467	17475	4236	13487	10989	26992	27006	14551	11513	9715	15855	15907	8559	8476	3864	19681	19681	2742	3153	6212	18006	18006	10231	6810	7071	21399	21399	19159
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	233	322	322	338	338	351	351	351	515	515	748	748	800	770	770	830	830	830	760	760	-1050	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	41473	40203	40203	34896	33109	32854	33044	33044	33582	33555	33843	56729	58752	60402	61881	58735	62311	73759	106047	104056	96120	74169	71448	84569	85171	71095	66199	66370	57952	71045	73767	77921	77921	104957	92923	99434	67467	70796	79628	62396	68062	57844	57896	74816	91974	109341	71449	103901	104148	108014	110781	87754	87405	140308	161355	148449	118703	118703	84562	81189	71072	68481	69182	57279
Hàng tồn kho###Inventory	9312	12872	13334	11447	12090	11251	11407	11407	11674	10592	10207	10201	10258	13139	15385	17896	15344	23532	25311	21070	18729	16244	16211	17570	15570	19592	18651	18651	16027	18067	14348	18258	18702	20239	33144	27405	33323	33323	35809	44931	43722	45861	45498	49012	47390	52674	48575	48797	58515	50153	51305	41559	41093	41933	43504	28254	26295	26295	75233	56970	49281	48075	48075	31750
Tài sản ngắn hạn khác###Other Current Assets	225	201	201	133	221	187	187	187	468	98	40	102	102	1059	421	1066	1021	1021	2052	2322	3309	9859	10818	8811	6053	6837	5241	5241	3503	3481	1727	2520	2394	2981	3167	2496	3181	3266	4177	4533	4507	3215	3263	2687	2469	3238	1152	1152	1335	3701	3535	3011	3257	3663	3417	2296	1851	2350	1808	2400	1490	1273	670	881
Tài sản dài hạn###Non-current Assets	11127	5980	5980	6770	7261	7897	8291	8291	12730	12644	13697	14223	15618	16632	15979	15794	14543	14725	13814	14079	18121	16865	17124	16054	16589	16608	17396	17396	18680	19692	20655	21372	21372	22071	22594	24730	25703	26683	29524	30205	28772	29458	29887	23673	24217	24528	25405	25589	27466	33793	33752	32556	32416	32648	31551	30633	29417	28929	29609	28822	30947	29980	29659	22079
Các khoản phải thu dài hạn###Long term Account Receivable	195	195	195	195	195	184	184	184	184	173	173	173	1273	1273	1273	1273	1262	162	162	162	0	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	83	83	83	68	68	68	68	68	957	957	57	57	57	0	0	0
Tài sản cố định ###Fixed assets	3931	4356	4356	4676	4897	5151	5406	5406	9133	9450	9767	10090	10090	10688	10543	9403	8468	8468	8317	8440	8641	9374	9374	9793	10213	10632	11390	12863	12789	13415	14250	14765	15033	15827	16684	17481	17487	20044	20481	20810	19278	14031	20359	18819	19423	19998	20832	20140	19628	21015	22541	22460	22549	22787	21216	22152	21606	21558	21846	22585	23625	24150	23828	17453
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-72015	-72888	-72888	-74847	-74593	-74339	-74084	-74084	-77129	-76898	-76603	-80975	-80975	-81043	-80474	-82112	-81603	-81603	-81119	-80911	-80732	-85500	-85500	-85103	-84705	-99307	-98909	-99000	-105090	-104450	-104237	-103464	-103464	-103121	-102346	-103938	-103149	-103730	-102939	-102147	-101419	-100747	-100747	-100226	-99486	-98735	-97991	0	-97198	0	-95633	-94744	-94744	-93839	-92926	0	-91043	-91033	0	-88814	-87631	-86553	-86879	0
