CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	 2012	 2011	 2010
Tài sản ngắn hạn###Current Assets	958164	882901	831058	830605	1081002	1135515	943725	1003977	1002091	1088996	1363669	1178441	1016420	1017741	1269892	1029753	1047181	971416	977805	948019	1151311	1000461	1152614	1130736	1068753	1184580	929613	1024568	1025550	969710	1196548	1174548	1450124	1450124	1273795	1519895	1219576	1018687
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	37939	16504	73875	73878	19638	76924	40232	70633	70633	41918	86502	49267	79121	149122	154500	117203	158336	108334	108334	115024	165062	33351	44262	44261	26676	130534	69294	88252	88252	50424	226266	107079	354654	354654	101243	224981	178614	177786
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	70000	70000	70000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	556314	424346	295376	294974	554420	614805	353592	489224	487770	635454	702467	544917	332487	332526	717957	549755	448957	459461	459461	429501	566129	281049	297744	283296	438262	525341	264975	271847	272829	346548	432679	323138	313106	313106	480409	296683	259652	348631
Hàng tồn kho###Inventory	353663	430449	452306	448716	487448	433822	528954	433895	433407	389053	488075	497647	518043	518254	379976	349079	426206	391041	391041	390052	383914	635192	762766	763194	559239	498086	565694	633796	633796	553534	531704	728223	770825	770825	680484	962964	767710	480117
Tài sản ngắn hạn khác###Other Current Assets	10248	11602	9501	13037	19497	9964	20947	10225	10282	22571	16625	16610	16768	17839	17459	13716	13681	12581	18969	13442	36206	50870	47842	39985	44576	30618	29649	30674	30674	19204	5900	16108	11538	11538	11659	35266	13600	12153
Tài sản dài hạn###Non-current Assets	252916	253534	255768	255768	238323	243215	255995	241028	239911	238902	236247	215391	221512	220048	207675	197426	190265	195151	186605	193810	200894	188025	198933	542567	542964	540477	549067	553951	553987	568536	573214	578116	578396	578396	591843	604023	628803	604405
Các khoản phải thu dài hạn###Long term Account Receivable	16	16	16	16	16	6	0	0	0	0	0	10	10	10	1172	1963	75	75	75	75	270	75	75	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	168441	167161	173127	173127	174024	175912	182801	173650	173519	178806	178654	158761	162124	162124	155034	142611	147430	150386	150386	155515	151571	154007	159206	492858	500181	505228	512397	519572	518887	522766	532347	522077	537410	537410	551383	559424	586527	557008
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-416317	-414647	-409337	-409337	-405515	-400061	-394300	-388627	-388758	-367181	-384661	-380350	-375897	-375897	-376096	-370661	-365707	-361941	-362072	-357569	-352180	-347460	-342488	-342277	-335576	-329017	-322433	-316000	-316018	-308103	-299086	-290170	-282511	-282511	-274828	-247565	-216997	-184654
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-23124	-22467	-21811	-21811	-21154	-20497	-19370	-19184	-19184	-18527	-17870	-17213	-16610	-16610	-16008	-15405	-14802	-14199	-14068	-13466	-13173	-12391	-11788	-11788	-11400	-11211	-10563	-9916	-9916	-9268	-8621	-7512	-7326	-7326	-6677	-4735	-2147	-1404
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	28583	28583	28583	28583	28583	28583	35973	28583	28583	28583	28583	28583	28583	28583	28583	28583	28583	28583	28583	28583	28583	28583	28583	28583	28583	28583	28583	28583	28583	28583	28583	28583	28583	28583	28583	28583	24595	24595
Tài sản dài hạn khác###Other long term assets	33328	38513	34653	34653	23685	25379	29337	27892	26906	19153	22677	26250	18888	17424	12684	14296	13388	15388	0	0	5387	0	2848	19972	8162	2100	7105	5797	5632	6755	8371	10357	12403	12403	11877	12222	12238	17587
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	1211080	1136435	1086826	1086374	1319325	1378730	1199720	1245005	1242002	1327898	1599916	1393832	1237932	1237789	1477567	1227179	1237446	1166567	1164410	1141829	1352205	1188485	1351547	1673303	1611717	1725057	1478680	1578518	1579537	1538246	1769763	1752663	2028519	2028519	1865638	2123918	1848379	1623092
Nợ phải trả ###Liabilities	651894	585977	530096	530096	761908	816925	617056	664982	661503	709808	988029	781531	649016	648914	869948	637610	649604	600347	598242	569314	793972	591306	772297	1094415	1044447	1173327	857453	987220	987314	968703	1217865	1139567	1443201	1443201	1294553	1583408	1370762	1217466
Nợ ngắn hạn###Short term Liabilities	651556	585638	529757	529757	761563	816580	616711	664637	661158	709456	987677	781159	648577	648475	869562	636956	648903	599830	597726	568777	793415	590664	771273	1093441	1044203	1172909	856860	986452	986546	965950	1214941	1136494	1439919	1439919	1291258	1579425	1365486	1198591
Nợ dài hạn###Long term Liabilities	339	339	339	339	345	345	345	345	345	352	352	372	439	439	386	654	700	517	517	537	557	642	1024	974	243	418	593	768	768	2753	2924	3073	3283	3283	3295	3983	5276	18875
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	559185	550458	556730	556278	557417	561804	582665	580023	580498	618090	611887	612302	588916	588875	607620	589569	587842	566220	566168	572515	558233	597179	579250	578888	567270	551729	621227	591299	592223	569543	551898	613096	585318	585318	571085	540509	477617	405627
