CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	Q3 2006	Q2 2006	Q1 2006	 2005
Tài sản ngắn hạn###Current Assets	93419	98295	109364	109364	89420	98566	101328	87749	87749	78063	79476	80829	91511	93623	100759	90672	81452	102499	102511	67483	64526	69414	82027	82043	60840	63536	60980	70787	72687	65216	54100	70241	70559	70500	61868	68832	71834	68973	69579	71617	68411	86815	81521	81366	76056	81902	87584	74272	74060	72149	71565	79655	77946	77058	65980	58666	58726	54345	54345	57434	56512	53719	54359	54359	55291	54272	48784	53849	53849	54692	50775	49602	47019
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	20839	13291	22973	22973	7801	17215	7443	5626	5626	11697	6324	20982	20277	20277	18104	13884	12714	23287	23287	8605	13004	11869	19568	19568	5215	9151	4068	12018	12067	5619	6807	19258	14215	14219	12436	12829	8661	10128	10128	14769	7336	24366	9413	9413	11162	16182	4767	9229	9229	7952	5072	9499	13962	13308	15822	9896	15706	13061	8061	10268	11304	9097	10473	10473	14955	18062	16558	26977	26977	23899	20953	23911	19985
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5000	4981	6981	0	7000	7000	11000	11000	9000	4000	4000	10000	10000	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	34099	49699	44359	44359	42867	42366	59380	41849	41849	36497	41957	34029	43585	45985	43564	39569	44287	49988	49988	32769	32001	36254	38881	38898	33955	35345	40282	40270	39627	38328	29937	31246	34339	34321	29824	36652	45986	42160	42767	41144	38708	37263	46271	46356	41888	40971	57562	43921	43709	43303	49467	55888	47869	47707	36767	33296	30193	25668	25668	25149	24330	29803	21874	21874	19223	15378	14244	14067	14067	11487	10679	15140	16061
Hàng tồn kho###Inventory	37338	34107	40196	40196	36036	35729	31568	36491	36491	26286	26762	22906	24308	24098	23460	22419	20954	26933	26933	23663	17721	19731	21673	21673	20276	17460	15482	16976	16976	19188	15240	17452	19844	19844	17148	16838	14992	14476	14476	14826	18103	20701	20647	20647	17995	17948	17231	14097	14097	14404	10940	10157	10327	10327	8583	8819	7619	10655	10655	12439	10237	10408	11577	11577	8034	7920	7221	7148	7148	7234	7322	7919	8834
Tài sản ngắn hạn khác###Other Current Assets	1144	1199	1836	1836	2715	3256	2937	3783	3783	3582	4434	2912	3341	3263	5631	4799	3498	2291	2304	2445	1800	1560	1903	1903	1393	1579	1148	1524	4018	2081	2117	2285	2163	2118	2460	2513	2194	2209	2209	878	4264	4485	5189	4950	5012	6801	8024	7026	7026	6491	6085	4112	5788	5716	4808	6654	5207	4962	4962	4598	3661	4410	3435	3435	2079	1912	1760	1657	1657	2071	1820	2632	2139
Tài sản dài hạn###Non-current Assets	63691	66159	68010	68160	70886	72742	72823	74716	74716	73231	73909	70299	69521	68883	64524	66648	67613	64759	64149	64743	62213	62559	61552	61197	59822	59731	55155	56538	54669	56237	58203	60252	59630	59594	61842	56708	58350	58753	58753	56016	57619	59445	60761	61130	60872	61114	56198	55309	55309	50989	47334	35199	34697	35170	32497	32483	31246	31849	31849	28293	28693	28870	29271	29271	23737	23734	24212	24511	24511	24687	24845	25291	25699
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	56714	59239	61203	61234	59124	61242	61109	63493	63493	63749	64353	60030	61499	61499	60990	58607	60928	60312	60312	60669	55923	57275	60653	60279	56928	57328	54025	54421	54421	55804	57709	59300	58220	58184	59918	54267	58179	57880	58525	55731	57277	58549	59808	60178	60872	61114	56198	36080	54309	49989	46154	34019	33517	28543	31317	31303	29946	30549	30549	26993	27393	27550	27951	27951	22417	22414	22892	23191	23191	23367	23525	23971	24379
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-78501	-75635	-72753	-72722	-69572	-66843	-64416	-61721	-61721	-58940	-56551	-53976	-51905	-51905	-49486	-47756	-46209	-44182	-44182	-42726	-40789	-38926	-37187	-37278	-35541	-36951	-35481	-34048	-34048	-32618	-31828	-30372	-28863	-28899	-28416	-26868	-26917	-25486	-25486	-24219	-23060	-21680	-20412	-20043	-18704	-17792	-16904	-16099	-16099	-15774	-15004	-14448	-13862	0	0	0	-12165	-11596	-11596	-11040	-10480	-9923	-9363	-9363	-8864	-8384	-7911	-7452	-7452	-7059	0	0	0
