CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	 2006	 2005
Tài sản ngắn hạn###Current Assets	1110064	1182416	907940	873299	1013658	959830	979940	907731	907866	796970	814645	789827	772270	605397	777363	814344	814449	957469	963879	1314073	1396584	1411269	1446782	1448216	1334757	1186482	1107869	1006436	1024294	657529	608814	473814	526875	526875	388224	524543	328810	485326	485504	439030	543810	549511	467425	467425	459404	482775	550345	750395	757941	430224	415626	758901	992651	858692	277951	179812	201407	216607	310684	473556	393946	370175	526478	526478	395309	323477	194090	124218
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	10189	76853	23344	23142	103255	70267	91262	57251	57251	21713	75700	59363	52964	52945	40487	44829	83853	61480	69024	79080	90601	16478	13645	13673	12408	9716	22688	39089	33660	11581	17922	23073	13612	13612	5377	21705	15142	12574	12574	9576	12472	44579	54437	54437	4190	9086	3472	6436	6431	5059	16270	201139	449394	13764	5811	6210	8424	14177	54183	12789	23936	52927	10853	10853	15015	60351	1753	11894
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	263	466	205111	14294	461	6478	6671	6478	6478	12978	7200	6850	6850	6850	6731	6850	7500	7500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	500	0	0	0	0	0	5418	8918	8918	10218	12918	35592	39592	46592	143230	154230	85000	0	414567	1000	2350	0	40000	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	731310	807862	479886	501494	602584	607388	624370	672932	673220	621864	601760	622740	621636	460639	597985	628964	603077	623988	633953	1061626	1098744	1141807	1158420	1158886	1047825	964614	989310	886264	885695	528490	517876	431231	492001	492001	361741	484182	286933	451661	451661	413143	516678	483965	385037	385031	416262	434088	471100	510251	510648	269920	233659	452549	252945	154083	228520	129305	150899	121199	204119	409811	323330	274758	311136	311136	355258	245926	154739	82516
Hàng tồn kho###Inventory	342309	268250	168413	318238	291627	259180	242541	159791	159791	130447	117896	84486	79273	72749	96569	97361	89480	232914	233651	157409	196186	234284	254448	254503	247951	193407	80807	77458	77458	92367	64662	10217	8275	8275	8487	10390	8771	697	697	697	697	837	1977	1977	14646	12624	20230	20230	20230	697	697	9950	253246	240482	21352	15596	26601	20899	40547	39524	36115	33186	185147	185147	20425	13360	37384	28154
Tài sản ngắn hạn khác###Other Current Assets	25992	28986	31186	16132	15730	16517	15096	11279	11126	9968	12088	16389	11546	12214	35592	36340	30539	31586	27250	15957	11053	18700	20269	21154	26573	18745	15065	3626	27481	25092	8354	9292	12988	12988	12619	7766	17964	20394	20571	15615	13963	14712	17056	17062	14088	14060	19951	173886	174041	11318	10770	10262	37065	35797	21269	26351	15483	20332	11835	11432	10564	9303	19342	19342	4611	3839	213	1654
Tài sản dài hạn###Non-current Assets	1171658	1101323	1181803	1245116	1069966	1052271	1016139	1037971	1039825	1022645	1003033	1011115	1016922	1154618	937987	971763	1009109	1003396	1011209	765646	715139	717309	724295	939665	733689	796850	846960	826482	832788	950960	1003482	1364067	1312776	1312776	1422534	1384144	1500117	1546494	1680641	1683603	2006863	2003806	1995607	1995625	2171031	2109828	1939044	1585475	1598551	1360331	1250310	1042025	1025392	1144544	1031448	1020660	1010748	1002210	982410	968684	961889	975469	857720	857720	461936	333593	33909	16886
Các khoản phải thu dài hạn###Long term Account Receivable	26038	26038	26038	26038	26038	27294	14106	13815	13815	3477	3578	3578	3578	3578	3578	3573	3573	3573	1774	1774	1769	2427	1990	11399	490	490	2221	429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	82959	85792	85280	85280	82160	81375	69446	69392	69392	68792	69194	69157	64906	64906	66508	67798	68410	68107	68302	68371	62102	64049	63816	63861	64053	64330	33242	31751	31751	30038	30589	30976	341198	341198	323925	309928	373004	48101	489112	421729	417872	402567	40105	388490	868059	832565	782319	40799	719263	346703	339028	331069	321696	321696	246927	243919	240245	235386	234459	222450	216009	203454	150598	150598	61243	45187	27693	11886
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-54393	-51578	-48799	-48799	-46104	-43599	-41274	-39271	-39271	-38408	-36535	-34721	-33044	-33055	-31801	-30179	-29471	-27853	-27658	-26165	-24233	-22929	-21479	-21434	-20045	-18728	-17438	-16696	-16696	-23214	-22664	-22116	-31691	-31691	-29686	-28493	-22096	-25982	-25936	-22731	-21161	-19670	-18724	-18726	-17999	-17007	-16010	-15014	-15014	-13916	-12994	-13389	-12322	-12268	-11188	-10188	-9138	-8465	-8641	-7526	-6470	-5432	-8128	-8128	-7249	-6443	-2771	0
