CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	 2017	 2016
Tài sản ngắn hạn###Current Assets	109889	107302	112863	113082	95534	86072	77322	85072	83657	71072	65492	80172	39758
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	596	1854	2597	2597	4213	6186	1502	1386	1386	1534	2266	1687	3028
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	12000	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	84168	83168	89644	89862	68004	58432	39811	58306	58444	44011	41793	58846	19073
Hàng tồn kho###Inventory	25027	22248	20562	20562	23268	21391	24010	25299	23819	25319	21219	19571	17454
Tài sản ngắn hạn khác###Other Current Assets	98	33	60	60	49	63	0	81	8	208	214	68	203
Tài sản dài hạn###Non-current Assets	7273	5703	5661	5661	5214	5191	5407	5454	5527	2988	2996	2575	553
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	3768	4138	4473	4473	4331	4424	4727	4766	4766	2332	2385	2069	356
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-5316	-4952	-4580	-4580	-4228	-3896	-4577	-4230	-4230	-4372	-4162	-3805	-3388
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-110	-105	-100	-100	-94	-89	-84	-79	-79	-71	-63	-49	-34
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản dài hạn khác###Other long term assets	2443	1565	1187	1187	883	767	680	687	760	656	611	506	197
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	117162	113005	118524	118743	100748	91263	82729	90526	89184	74060	68487	82747	40311
Nợ phải trả ###Liabilities	37868	31376	41837	42032	30279	27630	18071	24092	22633	14419	11854	52424	15081
Nợ ngắn hạn###Short term Liabilities	36874	31376	41837	42032	30279	27630	18071	24092	22633	14419	11854	52424	15081
Nợ dài hạn###Long term Liabilities	994	0	0	0	0	0	0	0	0	0	0	0	0
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	79294	81629	76688	76711	70469	63633	64658	66434	66551	59641	56633	30323	25230
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	53	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	79294	81629	76688	76711	70416	63633	64658	66434	66551	59641	56633	30323	25230
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	 2017	 2016
