CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	 2012	 2011	 2010	 2009
Tài sản ngắn hạn###Current Assets	188364	185629	215791	215791	288174	243057	220287	255407	255300	284144	195938	189389	240627	247686	254393	209605	155159	198632	198632	232600	206350	218531	303961	303961	509274	441823	358478	421548	421548	438672	347934	296306	252950	254845	327927	432882	326044	272509	455982
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	90809	118747	92625	92625	74662	120186	122980	139663	139663	108068	17301	130259	130626	130626	82514	52391	74337	48233	48233	19186	71503	124633	157842	157842	16225	83498	38083	107432	107432	83010	11522	17690	23466	23466	81559	182894	144882	114739	237467
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3821	3821	3821	3821	3821	3821	3821	3821	3821	3821	3821	3821	3821	3821	3821	3821	3821	3821	3821	0	0	3821	3821	28821	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	82186	51143	107468	107468	199513	110464	84865	104462	104355	165591	168608	49080	102097	109156	160451	146181	69591	127301	127301	197768	102728	68853	118998	118998	472370	339713	300554	296404	296404	337363	319268	262968	217500	219507	220577	197755	138688	108253	121194
Hàng tồn kho###Inventory	3134	3638	3905	3905	3333	2326	2505	1678	1678	1206	1058	1890	1212	1212	1233	1045	1671	13642	13642	7536	7100	991	3352	3352	1814	1824	1830	1632	1632	1452	1341	1187	1204	1204	952	563	519	200	0
Tài sản ngắn hạn khác###Other Current Assets	12235	12101	11793	11793	10666	10080	9937	9604	9604	9279	8971	8160	6692	6692	6373	6165	5738	5634	5634	4289	21198	20233	19946	19946	15043	12967	14191	12259	12259	13025	11981	10639	6959	6845	21017	47849	38132	20495	22776
Tài sản dài hạn###Non-current Assets	1779947	1823514	1869381	1869381	1915450	1962607	2010524	2056869	2058032	2105190	2150500	2191241	2232447	2225387	2272199	2318661	2413800	2447067	2447067	2486030	2530579	2566483	2609021	2609021	2653932	2696467	2739246	2784105	2784105	2828592	2691307	2701537	2673605	2673605	2537999	2099643	1619949	1163233	725548
Các khoản phải thu dài hạn###Long term Account Receivable	635	0	0	0	0	0	444	444	444	444	444	444	444	444	444	444	0	0	0	0	444	444	444	444	444	444	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	1775979	1820281	1865585	1865585	1911953	1957988	2004289	2049615	2049615	2095744	2123478	2169102	2214751	2214751	2260427	2305872	2399894	2445710	2445710	2473048	2517262	2561899	2606386	2606386	2640595	2684338	2727196	2781629	2771500	2815687	2585757	2700293	2672454	2672454	2536884	650577	699327	747851	725038
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-1333693	-1288802	-1243469	-1243469	-1196934	-1150410	-1103894	-1057413	-1057413	-1010965	-964655	-918676	-872707	-872707	-826739	-780771	-731350	-685561	-685561	-638960	-595058	-550424	-505743	-505743	-460754	-416269	-372308	-327883	-328039	-283754	-238442	-203303	-175305	-175498	-163246	-126739	-77674	-28706	-1609
