CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	 2011	 2010	 2009
Tài sản ngắn hạn###Current Assets	220548	260484	324945	254695	311661	341289	382399	458736	457784	521470	581074	486094	384750	422618	458142	674170	691697	871161	1012379	666450	679978	751216	892834	892834	983840	386257	487725	509441	509441	571707	533155	525763	530595	530595	373670	424961	163744	231332	231327	276138	172799	47900	1694
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	19747	11716	9305	9305	16387	46801	85262	147338	154201	215776	195770	208218	77084	172787	178356	289712	333447	399297	399297	56849	147375	237315	331763	331763	122039	28643	127546	140578	140578	193470	197466	195133	193523	193523	17368	19932	20555	28129	28132	22897	35575	10910	90
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	13000	13500	82980	15500	11522	12522	12020	23905	16516	12000	58061	96061	96061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	280490	122	64813	64813	75203	41921	18586	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	147722	193506	181115	181115	236647	237046	236392	241237	240675	247270	261133	96818	145914	184108	225056	172376	153512	281396	422510	410976	378697	349876	406616	406616	777717	307540	304165	319033	312328	325084	293789	289030	296749	296749	284909	76086	100947	98376	98868	131138	77614	17928	401
Hàng tồn kho###Inventory	16883	18544	26342	29384	33279	31468	35493	34315	34315	31799	40771	53264	34757	34875	28878	33066	37925	29845	30035	56989	21113	34850	29820	29820	58220	45300	39733	36108	36108	42829	36668	36308	36529	36529	35479	40822	38325	35417	35417	43041	14000	392	1203
Tài sản ngắn hạn khác###Other Current Assets	23197	23219	25204	19392	13825	13452	13233	11941	12077	14625	25338	31732	30934	30848	25853	179017	166813	160625	160537	141637	132794	129175	124634	124634	25865	4773	16281	13722	20428	10325	5232	5292	3793	3793	35914	7631	3796	4597	4097	3859	3689	84	0
Tài sản dài hạn###Non-current Assets	2343452	2358048	2524357	2589008	2585443	2596834	2605362	2616355	2614281	2641232	2662148	2780151	2862063	2878005	2844079	2768903	2756288	2566640	2424789	2170812	2101255	2087728	1995293	1998965	984145	735519	539012	516643	516643	383185	372791	370664	371081	371081	356535	338254	430526	635320	633132	641799	663628	729442	215
Các khoản phải thu dài hạn###Long term Account Receivable	4558	2158	241	241	1519	3386	940	940	940	940	940	142022	142022	142022	146458	146453	146453	145926	4630	108438	104400	104400	72150	72150	59336	46225	33320	33231	33231	373	373	373	373	373	373	160	508	508	508	553	553	164	0
Tài sản cố định ###Fixed assets	1981747	1996003	2155550	2155550	2156696	2166152	2174668	2196399	2199217	2238122	2083663	2103444	2125961	2125961	1745519	1763672	1784669	315629	315629	309525	314562	317902	319400	319400	150771	151639	151560	153715	153715	154933	156882	159115	161555	161555	163156	165760	2099	2229	2229	1479	1769	1034	158
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-596142	-572842	-561436	-564050	-538567	-513798	-490005	-467262	-467917	-444075	-419542	-397116	-374744	-374744	-350364	-331347	-314793	-63343	-63343	-58346	-53186	-48076	-43062	-43062	-36325	-34212	-31548	-28747	-28747	-25974	-23219	-20498	-17801	-17801	-15110	-12435	-1570	-1416	-1416	-1363	-1014	-57	-189
