CAN DOI KE TOAN	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	 2006
Tài sản ngắn hạn###Current Assets	1493647	1450494	1450494	1438390	1415395	1412706	1408488	1408488	1405422	1394757	1352251	1370202	1364000	1296803	1272281	1100274	1056109	1044786	887109	760406	664810	512612	182988	151929	131823	254556	227645	220291	195478	163036	163677	182006	164682	188612	190473	202257	210798	214328	218603	227159	275792	340793	384437	342537	330239	366763	379468	379468	321949	393766	305437	337793	349620	230181	167559	144665	129005	140836	177475	187632	143473	135175	152567	81080	57050
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	342	1286	1286	1927	696	667	702	702	617	4770	6749	20959	20959	31087	55715	37221	39624	39624	38163	54979	62730	24015	24015	1168	7517	1158	491	491	1016	315	2955	403	403	6844	4689	9276	15288	15288	26596	34161	13838	74605	79663	49192	62219	99196	114412	114412	99617	158973	92969	125213	7605	9922	10535	6344	4525	4525	1215	4422	5035	19052	19645	3408	7155
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	1500	1500	1500	1500	1500	1500	1500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1500	0	1500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113608	25000	0	8872	0	0	3456	34820	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	134318	113298	113298	117001	98556	98810	98718	98718	101576	110181	113706	122964	123627	142390	154583	136400	154105	141143	159257	127370	128591	135848	135848	120665	96959	89321	97645	103320	107696	112945	111599	130516	111810	117799	121934	133219	126147	129677	122949	78529	96721	115174	109090	111478	88573	96814	118119	118119	123720	142388	145782	126241	139103	110216	84726	71565	75129	76453	125091	82107	95528	81382	98285	39900	32868
Hàng tồn kho###Inventory	1328774	1303950	1303950	1276427	1273041	1270055	1265835	1265835	1259187	1235120	1183533	1175242	1169789	1077836	1018393	888934	823267	823868	659838	555201	448984	335607	5994	8574	8576	150078	118927	105257	77296	43274	41976	41934	41934	56823	54884	52039	62299	62299	63284	104544	154490	141450	186086	171230	169563	161003	140510	140510	94515	89230	63697	84819	83457	76936	67296	54335	43767	53689	42430	58106	36495	33233	33722	35842	15905
Tài sản ngắn hạn khác###Other Current Assets	30212	31960	31960	43035	43102	43174	43233	43233	44041	44685	46763	49537	48126	43990	42090	36219	37613	40152	29850	22856	24506	17141	17131	21523	18771	13999	10581	11222	9470	6502	7148	9153	9034	7146	7466	7724	7064	7064	5774	9925	10743	9564	9598	10637	9883	9750	6427	6427	4097	3175	2989	1519	5847	8108	5002	3549	5585	6168	5281	8177	6415	1508	916	1930	1122
Tài sản dài hạn###Non-current Assets	58538	58711	58711	58784	58958	59131	59304	59304	60671	70197	75809	57023	57033	48027	46749	58459	35391	34343	34438	34048	34256	34550	364163	278156	233725	34193	35788	34554	35162	35647	36613	37218	37218	35697	36439	37203	37927	37942	36206	37097	37970	40168	14212	31777	32369	32243	31048	31048	31506	28748	29088	30272	29337	21683	27146	23458	15325	15325	16027	17863	16232	4339	4339	5918	4255
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	0	0	12013	17760	1090	1090	1090	1090	23284	181	181	181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	6777	6817	6817	6858	6899	6940	6981	6981	7021	7100	7148	7150	7160	7204	7264	7340	7435	7435	7535	7643	7770	7932	7932	8117	8241	8429	8624	8624	9062	9409	10214	35266	35266	33585	34160	35105	15865	35702	33820	34346	34968	18165	10708	27929	27846	27643	8006	27121	27432	26926	26355	26630	26611	18118	18958	17773	13615	13615	14332	16172	14508	4189	4189	5771	4218
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-3145	-3104	-3104	-3063	-3023	-2982	-2941	-2941	-4833	-4800	-4752	-4704	-4694	-4650	-4590	-4515	-4419	-4419	-4319	-4212	-4084	-3925	-3925	-4178	-4016	-3831	-3639	-3639	-4730	-4385	-8081	-7573	-7573	-8087	-7484	-7367	-6776	-6772	-6156	-5538	-4919	-4303	-4253	-3688	-3190	-2682	-2199	-2199	-1743	-1312	-1323	-960	-960	-1218	0	0	-2088	-2088	-3778	0	0	-4437	0	0	0
