CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	 2005
Tài sản ngắn hạn###Current Assets	678232	677855	732161	737456	768294	754372	876279	851073	845780	736545	774219	717849	758480	791747	741544	678812	747634	777887	773688	692710	801936	848125	747515	759664	738628	694197	712610	755012	755067	788169	762210	769190	725336	725193	678143	732527	650290	668797	672859	702277	709516	684285	621300	621300	684340	684425	568220	549621	550695	637149	593647	439850	620096	627583	528066	490626	259981	231745	240913	229939	284269	269013	245665	249079	185829	151644	147458	165207	185727	144999
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	21347	27278	84668	89668	53206	59057	137158	206793	206764	74761	105156	117187	163081	163081	90592	114735	188495	240010	239790	57356	45247	109858	209014	209034	79241	50101	67413	110418	110418	77040	58091	19432	76063	76083	33895	37444	8492	52761	52761	41458	48223	22558	40108	40108	19446	26807	22888	35571	32572	33683	34352	7646	103770	45350	27029	11266	16270	35266	35267	24024	18383	18300	57282	57282	27877	10015	11569	29259	29259	19426
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	633	5740	5740	740	1930	1930	1085	1250	1250	1162	713	551	551	551	2203	2203	15887	15887	15955	15955	19955	15919	14318	14180	14486	14432	14711	17566	16811	23907	19107	18882	18882	18882	18837	18672	18672	18672	18672	19452	19452	17952	0	0	0	0	0	0	3000	423	7221	52050	39300	97664	73718	54005	13152	0	0	632	0	15000	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	423119	401309	443835	447328	423800	437395	438277	434358	428668	456599	470824	428037	454986	490387	425887	386518	374661	358350	354951	386658	537790	504953	385771	397888	400587	442534	461025	425186	426058	372800	392888	409494	397934	401530	382855	419735	381991	392817	396709	395032	384130	366606	338623	338623	373781	360183	300111	339617	340136	393589	349311	267483	258083	255317	250730	265553	135983	121082	131106	122234	146319	108783	102149	101323	73385	73353	52338	78527	99663	69790
Hàng tồn kho###Inventory	230348	236315	192048	193305	279504	243629	228941	164944	164410	184392	179455	160420	131684	129737	213486	168837	162704	159306	158782	223314	189124	210958	129202	129327	237175	180749	165169	173778	173778	279054	255430	272041	200463	200585	215959	223247	197861	175125	175516	203807	212620	227485	209225	209225	247682	256109	197655	148070	148266	172904	175463	94402	195442	205652	152320	138743	80795	66988	66088	70050	98112	104648	76412	80315	69164	60191	71577	50945	50330	49822
Tài sản ngắn hạn khác###Other Current Assets	2785	7212	5870	6414	9855	12362	70818	43728	44688	19632	18071	11654	8177	7991	9376	6519	5886	4335	4211	9427	9819	6437	9210	9235	7139	6382	4292	28064	28003	35368	36694	49341	31994	28113	26597	33429	43274	29421	29201	42529	45091	49683	33343	33343	43431	41326	47565	26364	26721	36551	27301	18269	23501	23600	24269	21058	13781	8408	8453	12999	21455	22281	9821	10158	15403	8085	11974	6475	6475	5960
Tài sản dài hạn###Non-current Assets	1517907	1523228	1536344	1529604	1496847	1510983	1005899	907794	912928	803255	768758	736536	707552	712722	702840	669183	660830	678241	679427	693072	660109	637757	616718	612729	562786	248255	194985	163174	162760	180836	180912	164843	166617	166176	182330	189791	186093	189585	188871	192987	189894	184891	214383	214383	212495	227266	230082	224314	218852	207025	199212	176354	175324	179150	141805	133582	136017	132235	133617	135953	123607	116147	111173	106803	102617	100820	107658	107670	108364	58015
Các khoản phải thu dài hạn###Long term Account Receivable	31500	31500	31500	31514	31706	31706	21834	23205	28541	23831	23842	24034	24045	29168	28833	30699	20487	26464	26480	32496	19244	19587	22012	22299	22688	33144	12069	9480	9480	25174	19459	10924	10362	10362	7306	14350	8006	8833	8833	11409	6775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	1432414	1447565	1461818	1409294	1415975	1434297	760548	770463	769971	612008	622106	632596	644165	643165	586222	596631	607237	618126	618205	420340	428996	437278	445611	445502	454976	116580	116891	149818	119135	117515	118799	121604	147405	147362	146893	146636	149036	131488	151596	152623	154351	154374	137475	163345	160906	176340	175601	125012	173382	162251	153955	127373	138438	139976	121877	116639	108921	106739	107713	106537	108602	109788	104599	99638	98063	96309	104688	107435	107357	57930
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-430419	-414878	-398385	-398385	-383504	-367218	-352172	-341207	-341405	-331529	-322130	-312470	-302335	-303476	-293118	-283716	-274056	-263167	-263088	-251871	-243088	-235170	-225737	-225846	-219275	-96168	-92156	-88609	-88799	-84392	-82199	-78610	-75224	-74747	-73122	-69871	-69474	-66372	-66768	-62541	-59154	-56243	-53453	-53453	-50664	-47168	-45943	-43430	-43045	-40083	0	-30976	-34931	0	0	0	-26179	-24095	0	0	-33664	-32113	-29970	0	0	0	0	-26702	-26781	0
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-117	-117	-117	-117	-117	-117	-117	-117	-117	-117	-117	-117	-117	0	0	0	0	0	0	0	0	-1107	-1044	-1044	-2711	-1729	-1729	-1701	-1701	-1657	-1614	-1571	-1528	-1528	-1484	-1441	-1398	-1355	-1355	-1312	-1268	-1225	-1182	-1182	-1139	-1095	-1052	-1009	-1009	-966	0	-879	-836	0	0	0	-706	-663	0	0	-576	-533	-490	0	0	0	0	-317	-317	0
Lợi thế thương mại	10617	11047	11478	7749	9111	10474	11837	13199	13199	14562	15925	17287	16521	16521	9689	10519	11350	16146	15779	17247	18348	19448	20549	20549	11715	0	0	0	0	0	185	370	0	188	740	925	925	1295	1110	1295	1480	1665	2035	1850	2035	2405	3236	2775	2775	2960	3145	0	3515	0	0	0	0	3515	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	0	0	0	0	0	0	0	0	0	0	0	0	0	23	8601	2150	0	0	3000	1000	0	0	0	0	0	30704	17649	0	0	0	5000	5000	5000	5000	24429	25287	25490	24928	24518	24869	24388	25904	43886	43886	42605	42421	44951	43972	38852	37800	37600	47600	29341	34100	15206	13500	27000	25400	25400	29300	14480	5980	5980	5900	3850	3850	2250	0	0	0
Tài sản dài hạn khác###Other long term assets	37953	39122	41319	37465	40972	42456	32711	34052	34340	24313	24627	23804	22439	23458	16739	14718	19839	23913	23639	23933	24620	6629	27284	4398	3991	2273	3490	3876	3845	4191	3077	3748	3295	3264	2962	2593	2451	2537	2628	2606	2714	2763	5117	5117	6765	5513	6294	5545	3843	4014	4513	1381	4030	5074	4722	3444	95	95	504	116	525	379	594	1265	704	661	720	235	1007	85
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	2196139	2201083	2268505	2267059	2265141	2265355	1882178	1758867	1758707	1539800	1542977	1454386	1466032	1504469	1444384	1347995	1408464	1456127	1453116	1385781	1462045	1485882	1364233	1372392	1301414	942452	907596	918186	917827	969004	943122	934033	891953	891369	860474	922318	836383	858381	861730	895264	899410	869176	835683	835683	896835	911690	798302	773936	769547	844173	792860	616204	795420	806733	669871	624208	395997	363979	374530	365893	407876	385160	356838	355881	288446	252465	255117	272877	294091	203014
Nợ phải trả ###Liabilities	1575667	1562273	1631387	1631744	1661830	1673609	1274210	1255820	1254899	1051931	1070032	963142	970446	1009426	1017359	933875	978967	1032266	1021310	981718	1055588	1058783	946559	933101	948874	628891	619158	628185	627514	711693	694991	678926	642590	642508	616841	668778	583011	609738	613642	651297	651697	629597	604519	604519	671865	688279	570143	548449	549077	659891	608638	474984	610869	617848	524142	486930	283939	251775	262309	258584	306048	279212	255161	254189	233312	215065	219905	235758	255454	172191
Nợ ngắn hạn###Short term Liabilities	626547	610207	681226	681281	850211	868887	652505	668510	642987	547713	618923	534042	547855	581979	572318	560485	557103	696158	670478	616597	727243	745941	653211	616855	629568	478765	498364	562991	563519	650153	633610	633329	593951	595208	562817	608390	531293	559821	554183	574867	579694	579826	559056	559056	605960	622374	504245	481301	461178	563161	521535	366025	545168	534847	446414	412055	203025	187124	184481	173146	219966	188352	183428	167970	146612	126920	126034	147282	180183	115367
Nợ dài hạn###Long term Liabilities	949120	952066	950162	950463	811620	804722	621705	587309	611912	504218	451109	429100	422592	427447	445041	373390	421864	336108	350833	365121	328346	312842	293348	316245	319306	150126	120794	65194	63996	61540	61381	45598	48639	47301	54024	60388	51718	49916	59459	76429	72002	49771	45462	45462	65904	65905	65898	67148	87899	96730	87103	108958	65701	83002	77728	74874	80914	64651	77829	85437	86083	90860	71733	86219	86701	88145	93871	88475	75271	56824
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	8	0	0	0	0	0	0	0	0	0	0	9	0	0
Vốn chủ sở hữu ###Owners equity	620471	638810	637118	635316	603310	591746	607968	503047	503809	487869	472945	491243	495586	495043	427025	414120	429497	423861	431805	404063	406457	427099	417674	439292	352540	313561	288438	278501	290312	257311	248131	255106	248163	247661	189834	191329	196029	248644	191699	185675	191582	185210	231164	179236	172527	170442	175544	225487	173917	137729	134968	130896	131802	135150	126207	119757	112058	112204	112221	107309	101827	105948	101676	101693	55134	37400	35212	37120	38637	30823
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1492	1687	2225	134	270	270	305	321	0	0	0	81	217	339	0	-260	724
Vốn chủ sở hữu ###Owners equity	620471	638810	637118	635316	603310	591746	607968	503047	503809	487869	472945	491243	495586	495043	427025	414120	429497	423861	431805	404063	406457	427099	417674	439292	352540	313561	288438	278501	290312	257311	248131	255106	248163	247661	189834	191329	196029	248644	191699	185675	191582	185210	231164	179236	172527	170442	175544	225487	173917	137729	134968	130896	131802	133658	124520	117532	111924	111934	111951	107004	101507	105948	101676	101693	55053	37183	34873	37120	38897	30098
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18000	11500	11500	5200	1200	1200	1200	1200	53799	62210	57343	56393	56388	58292	56131	54368	51929	51929	52444	52970	52616	56635	46553	46553	49253	10324	52750	53734	19522	17521	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	943122	934033	891953	891369	860474	922318	836383	858381	861730	895264	899410	869176	835683	835683	896835	0	798302	773936	769547	844173	786608	616204	795420	806733	669871	583723	395997	363979	374530	365893	407876	385160	356838	355881	288446	252465	255117	272877	272877	203014



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	 2005
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	197260	93038	677920	242048	185993	181223	68746	617844	246042	154579	157010	60245	702425	235462	210296	119653	138378	968875	291508	106377	319190	249838	1134630	454694	148766	273471	272082	1344830	507929	283404	395844	156945	870840	290874	175465	203175	160556	874498	231880	218526	256552	167540	731650	221000	236776	186313	87850	747298	195615	181719	250017	66671	541691	186043	126098	186713	85104	322199	104084	58462	187358	72910	237568	106001	48808	57457	29529	255644	124493	157031
