CAN DOI KE TOAN	 2019	 2018	 2017	 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	 2006
Tài sản ngắn hạn###Current Assets	35552	27553	29487	35585	37798	37798	43029	43185	43804	47739	47739	50656	52230	71061	75235	75676	106057	115752	118549	117874	117874	149638	133758	141812	145404	146779	167696	138642	139963	117859	105559	113765	102306	64393	57498	57498	57568	46897	39502	44351	50158	56563	49138	52146	50612	48760	42704
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	498	30	66	141	312	312	307	353	423	48	48	201	72	1370	621	621	2025	84	465	667	667	21573	1685	1805	6474	6474	16040	10911	8872	16562	1707	7398	4330	2622	4307	4307	9721	1139	287	2487	2487	14	1817	2392	1511	1511	1451
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	10600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9000	15142	20000	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	24025	27240	26822	31192	29307	29307	27749	27789	28271	38435	31761	33244	35074	44955	51095	51107	61632	72346	70640	70347	70347	59307	66675	63639	65324	65477	77282	58213	54092	54991	49527	29072	29569	28974	27628	27628	25079	19458	17875	21620	27636	26931	25238	27149	24645	25453	18578
Hàng tồn kho###Inventory	283	283	2461	4240	8178	8178	8240	8315	8315	9256	9256	10809	9818	13990	13883	14381	21629	25279	30106	31460	31460	54977	52752	56478	55117	56320	58646	57012	59762	40242	39508	57444	44277	29381	23482	23482	21497	25281	20631	19987	19780	29096	21824	21905	24285	21584	22557
Tài sản ngắn hạn khác###Other Current Assets	146	0	138	11	0	0	6733	6728	6796	0	6674	6402	7265	10746	9635	9567	20770	18043	17338	15401	15401	13781	12648	19890	18489	18509	15727	12505	17237	6063	5817	4709	4130	3417	2082	2082	1271	1019	708	256	256	524	260	700	170	212	118
Tài sản dài hạn###Non-current Assets	1304	11782	14335	15795	15106	15106	12134	18950	18957	19061	18568	19346	18799	83504	75151	74682	72157	64432	50062	41871	41871	35797	49574	44297	44501	44870	40544	41498	29195	28659	42533	25294	24303	22881	22980	22980	10067	8238	7708	2510	2510	3901	4370	4849	5484	5484	7010
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	540	701	887	1091	401	401	430	468	524	579	579	634	690	74219	66047	66015	58633	50836	36477	28223	28223	17330	31011	25344	18779	25877	22778	23905	21439	18621	19516	17876	16887	15432	15611	15611	2608	1130	808	610	610	2001	2470	2949	3584	3584	6895
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-510	-1315	-1129	-925	-727	-727	-1364	-1326	-1271	-1215	-1215	-1224	-1168	-7388	-7239	-7313	-7519	-7390	-7751	-11827	-11827	-22682	-22390	-22090	-21779	-21779	-21454	-21142	-20780	-21094	-11316	-21578	-21342	-21359	-21152	0	-20960	-20798	-21264	-21101	-21101	-24464	-23995	-23516	-22881	-22881	-19374
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	764	11080	13448	14705	14705	14705	11704	18434	18434	18434	17941	18711	18061	8538	8538	8538	13417	13417	13419	13416	13416	6900	6900	6900	6900	6900	6900	6900	6900	6900	22797	6900	6900	6900	6900	6900	6900	6900	6900	1900	1900	1900	1900	1900	1900	1900	0
Tài sản dài hạn khác###Other long term assets	0	0	0	0	0	0	0	48	0	48	48	0	48	747	566	129	107	180	166	232	232	11567	11663	12052	12094	12094	10865	10693	856	424	220	518	516	549	468	468	559	208	0	0	0	0	0	0	0	0	115
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	36855	39335	43821	51380	52903	52903	55163	62135	62762	66800	66308	70002	71029	154564	150386	150358	178214	180185	168611	159746	159746	185436	183333	186109	189905	191650	208240	180139	169159	146519	148092	139059	126609	87274	80477	80477	67634	55135	47210	46860	52668	60464	53508	56996	56096	54244	49714
Nợ phải trả ###Liabilities	30515	34706	35615	41409	41036	41036	41491	44215	44157	47391	46867	50449	51249	134181	128981	128974	128904	130942	119581	109809	109809	136126	130985	126812	130285	130560	139254	111816	101149	78556	76361	70045	57999	66185	59660	59400	47055	35692	28299	28329	34171	41161	34624	37951	37661	35880	44124
Nợ ngắn hạn###Short term Liabilities	30515	34706	35615	41409	41036	41036	41491	44215	43976	47211	46687	50268	51044	86911	85430	85297	90636	94844	94964	92166	92166	119383	116155	115054	118576	116126	125459	97301	87429	72734	71161	64845	52796	60006	53147	52887	46969	35606	28212	28243	34084	41112	34575	37902	37611	32416	40420
Nợ dài hạn###Long term Liabilities	0	0	0	0	0	0	0	0	181	181	181	181	205	47270	43551	43677	38268	36099	24617	17643	17643	16742	14830	11758	11709	14434	13796	14515	13720	5822	5200	5200	5203	6178	6514	6514	86	86	86	86	86	49	49	49	49	3464	3704
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	552	8	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	6340	4629	8206	9971	11867	11867	13673	17920	18605	19409	19440	19553	19780	20384	21405	21384	49311	49242	49030	49937	49937	48875	51913	58886	59620	60686	68594	67949	67639	67963	71731	69015	68610	21090	20817	21077	20579	19443	18911	18531	18497	19303	18884	19045	18435	18364	5590
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175	238	275	13	140	140	145	167	-178	0	-104	0
Vốn chủ sở hữu ###Owners equity	6340	4629	8206	9971	11867	11867	13673	17920	18605	19409	19440	19553	19780	20384	21405	21384	49311	49242	49030	49937	49937	48875	51913	58886	59620	60686	68594	67949	67639	67963	71731	69015	68610	21090	20817	20901	20341	19168	18899	18391	18357	19158	18718	19222	18435	18468	5590
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	435	434	411	407	403	391	374	372	372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	71029	76081	150386	150358	178214	180185	168611	159746	159746	185436	183333	186109	189905	191650	208240	0	169159	146519	147526	139059	126609	87274	80477	80477	67634	55135	47210	46860	52668	60464	53508	56996	56096	54244	49714



KET QUA KINH DOANH	 2019	 2018	 2017	 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	 2006
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	178	1686	6464	23799	2723	600	587	558	977	13003	7041	1444	4492	1319	34424	4828	11029	18566	5222	103837	65616	6667	19882	11672	107225	30897	25177	30866	8648	100901	52675	16481	18505	14797	61006	29607	17197	7674	6528	52086	19317	7386	14744	10872	44469	7089	59102
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0	0	0	0	0	0	0	0	0	0	1022	0	0	0	0	0	2882	2496	0	387	0	67	44	23	0	0	25	0	0	0	25	820	644	176	0	0	0	675	0	0	0	1232	462	1064
Doanh thu thuần###Net Sales	178	1686	6464	23799	2723	600	587	558	977	13003	7041	1444	4492	297	34424	4828	11029	18566	5222	100954	63120	6667	19495	11672	107157	30853	25154	30866	8648	100875	52675	16481	18505	14772	60186	28963	17021	7674	6528	52086	18642	7386	14744	10872	43237	6627	58038
Giá vốn hàng bán###Cost of goods sold	1383	2267	2615	22619	2737	852	558	374	953	12319	7166	1003	4146	250	34238	8616	10719	16489	4842	101129	65590	7304	17978	10258	97264	30117	22742	25767	7686	90893	51411	13657	15528	12144	53032	27142	14561	6048	5281	45776	17724	5897	12589	9124	37637	4602	53000
Lợi nhuận gộp###Gross profit	-1205	-580	3849	1180	-14	-252	29	184	24	684	-126	441	346	48	186	-3788	310	2077	381	-175	-2469	-637	1517	1414	9893	736	2412	5099	963	9983	1264	2824	2977	2627	7154	1821	2460	1626	1247	6310	918	1489	2155	1748	5600	2026	5038
Doanh thu hoạt động tài chính###Financial activities Revenues	256	0	2	1	1	0	0	0	1	145	143	0	1	1	13	12	1248	10	50	191	-9	70	28	103	906	308	183	199	216	1279	281	412	647	45	1430	1379	26	4	20	52	24	6	17	5	83	52	18
Chi phí tài chính###Financial Expenses	-4644	2419	1338	555	5453	1250	3742	224	237	540	170	329	329	354	1905	195	550	1150	572	7799	-663	2118	5504	840	9024	5212	279	2906	627	2887	821	698	577	743	682	290	213	116	100	1333	310	416	245	243	1387	0	1901
Chi phí bán hàng###Selling Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chi phí quản lý doanh nghiệp###Managing Expenses	2193	579	4277	1904	2365	592	535	645	592	2093	-42	539	935	708	26822	24227	940	1661	957	5350	895	1013	2565	878	9602	3608	1132	2033	556	8114	2561	1846	2047	1490	3948	1863	788	829	468	1883	577	423	466	416	1904	899	1965
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	1502	-3578	-1764	-1278	-7830	-2095	-4248	-685	-804	-1804	-111	-426	-917	-1014	-28529	-28198	68	-724	-1098	-13133	-2710	-3698	-6524	-201	-7827	-7777	1184	359	-4	261	-1838	692	1000	439	3954	1047	1485	685	699	3146	55	657	1461	1093	2393	1179	1191
Thu nhập khác###Other incomes	303	0	0	0	318	318	0	0	0	0	0	0	0	0	1524	69	0	1455	1455	33494	13192	19613	689	0	516	85	85	259	86	332	4281	0	373	4	118	10	18	90	0	2971	2296	0	0	0	205	0	69
Chi phí khác###Other Expenses	93	0	1	619	29	29	0	0	0	558	2	0	0	7	1509	0	0	1374	1267	31987	12672	18777	496	41	425	106	85	201	4	362	173	91	314	2	52	0	0	15	0	2150	1475	0	0	0	108	0	3
Lợi nhuận khác###Other profits	210	0	-1	-619	289	289	0	0	0	-558	-2	0	0	-7	16	69	0	81	188	1507	520	836	193	-41	91	-21	0	59	82	-29	4107	-91	60	2	66	10	18	76	0	821	821	0	0	0	97	0	66
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	1712	-3578	-1765	-1896	-7541	-1805	-4248	-685	-804	-2362	-113	-426	-917	-1021	-28511	-28148	68	-622	-907	-11319	-2190	-2862	-6331	-242	-7736	-6146	1652	418	78	232	2270	602	1059	441	4020	1057	1503	761	699	3967	876	657	1461	1093	2489	1179	1256
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	-49	0	0	0	0	0	177	0	0	0	224	0	0	0	81	606	98	241	357	30	161	-1489	197	289	124	712	78	263	190	175	907	245	184	408	306	529	329	174
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	181	0	0	181	0	181	0	0	0	205	-205	0	0	205	0	429	-67	203	260	32	484	97	199	26	30	194	-447	197	289	124	712	78	263	190	175	907	245	184	409	306	529	330	174
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	-181	0	0	-181	0	-230	0	0	0	-205	205	177	0	-154	0	-205	-277	-29	52	49	123	1	43	79	0	-33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	1712	-3578	-1765	-1896	-7541	-1805	-4248	-685	-804	-2312	-113	-426	-917	-1021	-28511	-28325	68	-674	-907	-11543	-1846	-3037	-6643	-323	-8343	-7896	943	313	47	71	2717	405	771	317	3307	979	1240	571	524	3061	631	473	1052	787	1960	849	1082
---Cac Chi So Tai Chinh---																																															
EBITDA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	1.40	1.10	0.90	1.20	1.70	1.70	1.60	1.80	1.80	1.60	1.60	1.90	2.00	2.70	2.70	2.70	1.20	1.70	1.90	2.20	2.20	2.50	2.90	3.60	2.20	2.20	4.60	5.10	10.20	13.30	13.30	18.60	29.30	24.60	22.17	22.17	18.02	10.37	10.31	5.89	5.89	9.28	7.11	11.77	0.00	0.00	0.00
