CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	Q3 2006	Q2 2006	Q1 2006	 2005
Tài sản ngắn hạn###Current Assets	4380760	4286330	4141588	4145404	4033022	3988921	4070055	3991841	4062655	4133648	4149657	3961696	3850808	4120243	4318585	4208221	3825613	3846534	3950498	4054846	4001015	3569816	3671511	3683579	3250964	3232684	4872028	4868895	4796613	5017603	4966178	4900450	4856366	4844017	4927388	4828094	4805943	4681378	4647792	4785017	4570731	715640	690683	689959	679266	665831	679409	693530	694038	387138	570271	882435	992172	992237	1020368	319035	239544	219144	328783	280941	444910	491926	440661	440661	876485	448031	368113	287471	330217	309661	307933	98216	383042
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	74954	36669	56015	56015	28811	32040	66959	40492	34668	102689	145406	63133	78548	78548	238573	169112	129385	222183	222183	343929	276031	104750	105380	105380	133348	162423	52158	143378	143378	54590	43924	47215	94261	94261	35507	47658	66362	73695	51295	130442	86550	60771	41992	41992	88183	60668	77163	163006	163006	84507	117763	660011	708019	708844	269534	62347	10974	9185	9117	20737	64365	62190	120767	120767	305646	23951	69783	21308	20591	47381	33839	4611	49638
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	15643	31103	18815	18815	16119	18863	20208	20108	28171	27058	30492	27088	24200	24200	30780	61374	28856	17885	17885	9304	8900	81962	98779	98779	98753	47427	0	0	0	0	0	0	0	0	17263	17263	0	0	0	0	0	0	0	0	2770	6891	7591	7675	7675	9196	200238	1464	84131	84261	468055	0	0	0	0	0	0	8061	34980	34980	0	0	0	0	0	0	17618	0	37618
Các khoản phải thu ngắn hạn###Short term Account Receivables	492218	508063	431625	432562	290067	299339	304197	345383	348383	310228	309689	370946	360808	332686	538637	567185	860942	923449	920691	826111	937206	544380	737156	682663	393162	253191	292341	277413	278101	294458	286829	291667	302717	302585	372250	345029	323397	335267	316122	331501	321877	342930	351903	351180	364800	391365	362798	362990	369085	122662	109480	114000	106032	104994	216382	215086	185786	175472	309342	248957	367949	405703	268407	268407	541914	406705	283399	251879	304526	248222	247839	52233	289146
Hàng tồn kho###Inventory	3730624	3639028	3568420	3569763	3607136	3549934	3590826	3504111	3570244	3610777	3582775	3403945	3305585	3603053	3404768	3332608	2766587	2659753	2765993	2844240	2751445	2816653	2709232	2722777	2540311	2681683	4437837	4364150	4291316	4581184	4546818	4472453	4377080	4366284	4410829	4322930	4319262	4182807	4188697	4192062	4069316	242030	220049	220049	163132	161810	181821	126671	121080	121783	107042	80400	76959	76862	40589	29131	26082	24463	258	2306	1272	9093	8424	8424	13146	13288	11856	12261	4512	6882	4641	41371	3610
Tài sản ngắn hạn khác###Other Current Assets	67320	71468	66712	68249	90889	88744	87865	81748	81188	82897	81296	96585	81667	81755	105828	77943	39842	23264	23748	31262	27434	22071	20964	73981	85390	87958	89692	83954	83819	87370	88606	89115	82308	80886	91540	95215	96922	89609	91677	131011	92988	69909	76738	76738	60380	45097	50036	33188	33191	48990	35749	26562	17031	17275	25807	12471	16701	10024	10066	8941	11324	6879	8082	8082	15780	4087	3074	2023	588	7176	3996	2	3030
Tài sản dài hạn###Non-current Assets	2518359	2507555	2511315	2507446	2507726	2507688	2476844	2460151	2387214	2268310	2229265	2351455	2433834	2451507	2137687	2146627	2135319	2122577	2022813	2130587	2161986	2081713	2062849	2058949	2211018	2210139	545840	550932	623190	706791	712315	751370	750870	762540	777830	804089	820927	831854	862425	852841	841162	4378166	4343048	4350122	4165229	4050622	3903073	3773864	3808519	3604998	2774207	2284952	2006330	2010155	1699943	1372024	1367795	1372006	1352331	1214966	1135098	1126445	1106574	1106574	717447	637092	689562	648753	671969	748105	635651	43716	419810
Các khoản phải thu dài hạn###Long term Account Receivable	117053	117053	117053	117053	117053	117053	96079	96079	97379	97379	97379	103279	101979	96079	96079	96079	101979	101979	101979	101979	102042	34909	34972	34908	34971	34971	0	0	0	0	0	0	0	0	0	0	0	0	3000	0	187	0	187	187	0	187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	225193	227424	229723	229723	232022	234124	236448	235984	45552	47263	48742	50199	51725	51725	53256	51890	53310	54734	54734	53246	62249	79355	62920	62926	65228	67570	67649	118055	70034	75705	78096	80523	244174	250967	243422	242096	244516	94134	238046	232349	232094	3737589	112864	3727504	3482442	3371966	3243109	29850	3139519	2913516	2118778	1763834	1708988	1712818	1393874	1073184	1065226	1031797	1025169	867182	814598	795566	798138	798138	605791	567147	628522	592696	616172	689633	593462	40954	381182
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-77479	-75253	-72959	-72959	-70665	-68377	-66058	-63709	-62431	-65017	-63543	-62170	-60764	-60764	-59237	-58253	-56838	-55419	-55419	-56334	-54118	-55290	-48667	-48661	-46406	-44077	-41790	-39453	-38995	-36668	-34344	-33135	-30765	-30765	-29714	-27485	-27436	-24833	-25019	-22422	-19785	-19458	-16790	-16790	-15739	-14738	-14415	-13090	-13425	-12397	-11939	-10484	-9581	-9245	-9511	-9182	-8480	-8049	-7638	-7220	-6828	-6565	-6188	-6188	-6521	-6176	-5862	-5408	-5342	-4953	-4566	0	0
