CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	 2012	 2011	 2010
Tài sản ngắn hạn###Current Assets	301158	286907	291450	325913	330228	352239	292296	320025	311245	319898	365539	390315	341226	341226	376587	429915	414502	381709	381709	409348	347908	304451	316076	316076	254499	232690	175780	168286	168286	155734	122189	119480	93231	92997	76713	59461	21191	18478
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	22508	8728	6905	6905	8493	38139	17981	11069	11069	15318	32052	20864	12872	12872	6777	14300	8150	8654	8654	8264	18274	171181	34212	88212	141053	97537	57825	74023	74023	103459	83728	57861	44312	48302	60283	37454	8210	9295
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	144697	143611	158657	193657	186576	192576	155500	161300	161300	157800	212200	201200	210200	210200	293700	336700	351100	328100	328100	337100	280900	106000	210000	156000	54000	92000	75700	39000	39000	13000	2000	4000	4000	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	93121	92855	89057	88585	95646	91019	84614	111715	111715	119695	94990	132099	94990	94990	57627	63775	41658	27349	27349	51484	36624	10939	61974	61974	49844	36627	34632	48267	48267	31734	27457	51425	38705	38480	8970	13900	7783	3241
Hàng tồn kho###Inventory	27526	27920	24519	24519	24855	23726	28005	22965	22965	21755	21239	31044	19215	19215	15697	12021	11063	10368	10368	10570	9310	8510	8273	8273	7983	4856	5744	5194	5194	5660	5486	5763	5823	5823	7054	4954	4755	4738
Tài sản ngắn hạn khác###Other Current Assets	13306	13793	12311	12247	14658	6779	6195	12975	4195	5329	5058	5107	3949	3949	2785	3118	2531	7238	7238	1930	2799	7821	1617	1617	1620	1670	1879	1802	1802	1880	3517	430	392	392	406	3153	442	1204
Tài sản dài hạn###Non-current Assets	628514	641170	638277	603277	591292	602535	614600	571408	571408	555700	565651	476920	484469	484469	436005	394883	343845	333087	333087	270338	276547	277054	211264	211264	216368	212286	213570	186949	186949	191127	196687	170387	174386	174386	178492	153959	129807	92551
Các khoản phải thu dài hạn###Long term Account Receivable	5809	6290	6772	6772	7253	5809	8216	8698	8698	9254	9736	10217	10503	10503	10690	7378	7565	2903	2903	3090	1715	1715	1715	1715	1976	151	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	554125	566458	579217	579217	573701	585828	553760	499049	499049	510084	520337	434668	444311	444311	401737	366357	329780	328963	328963	266632	274313	275330	209539	209539	214321	212036	213444	186794	186794	190943	196474	169451	173094	173140	176790	152934	128692	90989
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-250088	-237204	-224322	-224322	-211567	-198825	-186120	-173944	-173944	-162750	-151568	-141596	-131802	-131802	-122594	-114170	-106637	-99369	-99369	-93218	-87114	-81138	-75564	-75564	-70788	-66043	-61353	-56863	-56863	-52719	-48575	-44766	-41129	-41351	-37707	-27866	-17774	-9484
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-1636	-1534	-1445	-1445	-1306	-1170	-1034	-898	-898	-763	-645	-541	-473	-473	-404	-348	-292	-236	-236	-236	-230	-224	-219	-219	-213	-207	-201	-196	-196	-190	-184	-179	-173	-179	-173	-149	-79	-22
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	40000	40000	35000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản dài hạn khác###Other long term assets	15726	16973	16410	16410	9160	10075	10168	7994	7994	8556	9123	5833	6601	6601	6804	6774	5408	629	629	616	519	9	10	10	71	99	127	155	155	184	213	935	1292	1246	1702	1024	1116	1562
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	929671	928077	929727	929191	921520	954773	906895	891433	882653	875597	931189	867234	825695	825695	812592	824798	758347	714796	714796	679686	624455	581505	527341	527341	470867	444976	389350	355235	355235	346861	318876	289866	267617	267383	255205	213419	150998	111028
Nợ phải trả ###Liabilities	11707	10751	17894	17123	11464	75184	15348	19516	20630	16502	96013	22103	20969	19891	12754	49422	10273	10953	10953	11261	14622	12071	11931	11931	9435	31694	10423	11074	11074	26425	26994	5729	6108	6097	4301	7587	3737	2776
Nợ ngắn hạn###Short term Liabilities	11707	10751	17894	17123	11464	75184	15348	19516	20630	16502	96013	22103	20969	19891	12754	49422	10273	10953	10953	11261	14622	12071	11931	11931	9435	31694	10423	11074	11074	26425	26994	5729	6108	6097	4301	7587	3737	2776
Nợ dài hạn###Long term Liabilities	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	917964	917326	911834	912068	910056	879589	891548	871917	862023	859096	835176	845132	804726	805804	799838	775376	748074	703843	703843	668425	609833	569434	515410	515410	461432	413282	378927	344161	344161	320436	291882	284137	261510	261286	250904	205833	147261	108252
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	917964	917326	911834	912068	910056	879589	891548	871917	862023	859096	835176	845132	804726	805804	799838	775376	748074	703843	703843	668425	609833	569434	515410	515410	461432	413282	378927	344161	344161	320436	291882	284137	261510	261286	250904	205833	147261	108252
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	318876	289866	267617	267383	255205	213419	0	0



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	 2012	 2011	 2010
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	60840	88304	452143	83918	107750	148395	112081	442468	82788	99213	158166	102301	401529	89060	118649	116655	93227	358428	69965	98781	102840	86842	305365	68596	81519	91572	63679	223935	52379	59335	61764	50456	164377	36769	45807	146594	105470	68057
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7573	4957	3532	2714	1437	725	475	78	391	65	218	52	56	176	42	47	41	46	83	13	28	3040	507	257
Doanh thu thuần###Net Sales	60840	88304	452143	83918	107750	148395	112081	442468	82788	99213	158166	102301	401529	89060	111076	111697	89695	355714	68528	98056	102365	86764	304974	68530	81301	91520	63623	223758	52338	59287	61723	50410	164294	36756	45778	143554	104964	67800
Giá vốn hàng bán###Cost of goods sold	50464	68965	300350	66864	75387	88178	69654	259876	66401	64332	78408	50735	169492	53831	42046	38816	34799	113654	27680	29724	30062	26189	101504	25221	25456	28316	22512	97589	25898	28515	28966	24763	95508	24420	25498	71054	58369	29955
Lợi nhuận gộp###Gross profit	10376	19339	151793	17054	32363	60217	42427	182592	16386	34881	79758	51566	232036	35228	69030	72882	54896	242059	40848	68332	72303	60576	203470	43310	55844	63204	41111	126169	26440	30773	32758	25647	68786	12336	20281	72500	46595	37845
Doanh thu hoạt động tài chính###Financial activities Revenues	1720	1861	11580	2953	6453	1472	702	16498	5374	4797	1997	4330	20033	5263	8406	4952	1413	12832	4128	1066	4240	3398	7077	3107	1371	1280	1321	4625	1704	1675	691	555	3683	2374	632	1210	854	547
Chi phí tài chính###Financial Expenses	18	1	90	17	2	30	40	173	0	21	152	1	125	33	1	91	0	66	29	28	9	0	80	72	9	0	0	194	0	0	194	0	297	241	12	408	239	407
Chi phí bán hàng###Selling Expenses	7830	10795	42375	10973	10157	11302	9939	44839	12152	10313	12893	9481	37059	8865	9492	10335	8367	27402	5951	7121	7790	6539	23060	5224	6084	6986	4766	15543	1563	1267	1095	1066	4330	1379	978	7894	3222	8026
Chi phí quản lý doanh nghiệp###Managing Expenses	3476	4091	15601	4183	3772	3679	3930	16588	5635	3545	3888	3520	10624	3588	2319	2665	2052	7764	2156	2121	1709	1778	6132	1854	1408	1380	1490	6849	1735	1430	2510	1356	8416	1653	2620	4527	4901	5000
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	771	6313	105307	4833	24884	46678	29220	137490	3973	25799	64823	42895	204261	28005	65624	64743	45890	219659	36841	60128	67034	55656	181275	39267	49715	56118	36176	108208	24846	29751	29649	23780	59428	11437	17303	60883	39087	24960
Thu nhập khác###Other incomes	141	157	7619	6292	293	365	197	1033	145	243	490	154	744	-9517	9800	130	330	622	244	288	50	39	67	9	26	17	17	1622	7	1559	33	24	10	1	4	214	47	15
Chi phí khác###Other Expenses	50	6	6303	6039	262	0	2	78	77	0	0	0	21122	10552	9385	42	65	7	0	7	0	0	35	7	4	19	5	1382	0	1382	0	0	0	0	0	205	2	2
Lợi nhuận khác###Other profits	91	151	1316	253	31	365	195	955	68	243	490	154	-20378	-20069	415	88	266	614	244	281	50	39	32	1	22	-2	11	240	7	177	33	24	10	1	3	9	44	14
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	862	6464	106623	5086	24915	47043	29416	138445	4041	26042	65313	43049	183883	7936	66039	64830	46156	220273	37085	60409	67084	55695	181307	39268	49737	56116	36187	108448	24853	29928	29681	23803	59437	11438	17307	60892	39132	24974
Chi phí thuế TNDN###Corporate Income Tax Expenses	224	972	5522	966	-7052	1426	801	4992	1113	2122	3300	2643	11010	1970	3858	3257	1925	7360	1667	1817	2206	1671	6327	1560	1586	1761	1420	5212	1126	1374	1354	1175	3760	1056	999	2320	123	38
Chi phí thuế TNDN###Corporate Income Tax Expenses	224	972	5522	966	-7052	1426	801	4992	1113	2122	3300	2643	11010	1970	3858	3257	1925	7360	1667	1817	2206	1671	6327	1560	1586	1761	1420	5212	1126	1374	1354	1175	3760	1056	999	2320	123	38
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	638	5492	101100	4120	31967	45616	28615	133452	2927	23919	62013	40406	172872	5966	62180	61574	44230	212913	35418	58592	64878	54024	174980	37708	48150	54354	34767	103236	23727	28555	28327	22628	55677	10382	16308	58572	39009	24935
---Cac Chi So Tai Chinh---																																						
EBITDA	0.88	0.82	0.52	0.52	0.83	1.06	0.87	0.69	0.69	0.58	0.67	0.73	1.14	1.14	1.84	0.33	0.43	0.42	0.42	0.34	0.12	0.45	0.47	0.47	0.47	0.93	0.54	0.43	0.43	0.68	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	8.97	6.43	11.60	11.60	10.01	11.28	11.40	13.43	13.43	19.00	15.20	16.04	19.12	19.12	19.15	31.30	31.44	31.57	31.57	37.02	42.12	31.96	26.54	26.54	24.43	14.41	11.22	10.88	10.88	10.38	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
