CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	 2011	 2010	 2009
Tài sản ngắn hạn###Current Assets	459178	559501	455155	455155	498393	634319	626769	422465	422465	561761	775305	693036	583777	583777	610320	539714	480986	249918	249770	258095	240695	271137	162644	168778	193822	207968	285079	158951	158025	151947	178144	230895	159302	159670	159889	194713	259367	181942	185879	165001	176296	119205	36068
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	4674	54078	10136	10136	6692	3687	2377	17555	17555	7349	697	1969	5780	5780	9921	22645	10027	13436	2436	450	24913	26740	7860	7860	80227	19856	77752	10695	10695	2729	335	19074	37701	37701	71566	88035	33147	29661	29661	1388	6764	2227	1813
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11000	39850	0	0	0	0	0	0	15000	5980	6400	6400	6400	6400	6400	6400	-3000	-3000	12000	12000	15000	64000	3000	11000	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	255961	205018	280142	280142	169431	196262	220328	267748	267748	266444	326255	305286	448912	448912	450068	299135	281529	163874	163726	183261	158208	157598	112845	118978	87780	67706	78944	76430	76341	79968	78107	54976	62013	62262	77530	66209	41634	69135	66135	72760	74962	44874	15963
Hàng tồn kho###Inventory	198523	300385	153599	153599	304442	434294	400750	128744	128744	282906	436570	373309	109748	109748	138949	212324	184355	54527	54527	30357	56881	85881	37253	37253	25558	120371	108947	62823	62484	62556	92517	144098	46481	46600	9259	39608	166890	61669	65606	25225	75796	45100	13366
Tài sản ngắn hạn khác###Other Current Assets	20	20	11278	11278	17828	76	3314	8417	8417	5063	11783	12472	19338	19338	11381	5609	5074	18080	18080	4178	692	918	4687	4687	258	35	4436	3024	2104	294	786	6347	6707	6707	4533	3861	5697	9477	9477	1628	15774	16003	4926
Tài sản dài hạn###Non-current Assets	668531	649282	674564	674564	661597	667364	655227	664543	664543	632289	630232	610335	462700	462700	381758	374956	302524	292157	292157	184143	166854	141262	100076	93876	77070	76227	84316	84224	84207	80676	77795	78024	94328	93960	72127	67618	72026	72290	65956	64265	71504	48744	65758
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	651029	597984	620915	620915	618881	574236	562986	576935	576935	565430	564637	539967	406907	406907	360540	359536	282964	240618	240618	139805	138627	118880	87968	87968	69925	69487	73361	80316	78388	74212	71678	71366	91296	90560	69095	64586	68994	67209	62388	60964	64661	45405	62758
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-262660	-266274	-243019	-243019	-230399	-218395	-233742	-207876	-207876	-204662	-204213	-208799	-175770	-175770	-173962	-173483	-175613	-146966	-146966	-145219	-144899	-150583	-133490	-133490	-133166	-132927	-125394	-113464	-113477	-111975	-111621	-109648	-95891	-95891	-96627	-96212	-91762	-79372	-85706	-83047	-56491	-43474	-24119
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-749	-774	-751	-751	-727	-704	-681	-658	-658	-634	-611	-588	-565	-565	-565	-565	-565	-565	-565	-565	-543	-500	-457	-457	-415	-372	-334	-298	-360	-302	-267	-242	-217	-217	-192	-168	-143	-118	-118	-109	-109	-109	-90
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	9600	9600	9600	9600	9600	9600	9600	9600	9600	0	0	0	0	0	0	0	0	3000	3000	3000	3000	3000	3000	-3200	3000	3000	8980	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000
Tài sản dài hạn khác###Other long term assets	3919	2219	4570	4570	2833	2833	3199	3398	3398	2261	2261	3490	3097	3097	3097	3097	3236	3538	3538	621	621	621	112	112	112	112	0	908	908	865	838	697	32	400	32	32	32	568	568	300	248	54	0
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	1127709	1208783	1129719	1129719	1159990	1301683	1281996	1087008	1087008	1194051	1405537	1303371	1046477	1046477	992078	914669	783510	542075	541927	442238	407549	412400	262720	262653	270893	284195	369394	243175	242232	232623	255939	308919	253630	253630	232015	262331	331393	254232	251835	229265	247800	167949	101826
Nợ phải trả ###Liabilities	556501	695528	642402	642402	645576	797631	799613	609868	609868	694597	927347	840502	626513	626513	599396	494270	401488	253209	253061	151969	138125	166572	64587	64520	51493	82741	191848	77353	76646	49208	75885	119573	73684	73684	41573	62705	160349	95002	94448	60398	148187	88970	44159
Nợ ngắn hạn###Short term Liabilities	378301	498046	444921	466802	439894	591950	564032	374286	374286	433115	665865	526571	363026	363026	339888	324244	238577	116278	116130	69397	88990	128519	60166	60100	51493	82741	191848	77353	76646	49208	75885	119573	73684	73684	41573	62705	160349	95002	94448	59907	130610	88752	44159
Nợ dài hạn###Long term Liabilities	178200	197482	197482	175600	205682	205682	235582	235582	235582	261482	261482	313932	263487	263487	259508	170026	162911	136930	136930	82572	49135	38052	4421	4421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	491	17578	218	0
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	571209	513255	487317	487317	514414	504051	482383	477140	477140	499454	478190	462869	419964	419964	392682	420400	382022	288866	288866	290268	269424	245828	198133	198133	219400	201454	177546	165822	165586	183415	180054	189347	179946	179946	190442	199626	171045	159230	157386	168867	99613	78979	57667
