CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	 2012	 2011	 2010	 2009
Tài sản ngắn hạn###Current Assets	361730	252641	272038	272038	277301	274624	279918	303199	303199	294636	267014	286189	205721	205721	248410	218272	205332	189045	180454	166353	146899	149955	179888	182845	164504	156514	166053	169411	169411	200682	163420	192374	179779	179779	173099	170376	155538	184154	184085
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	87623	18389	3174	3174	66251	52143	20664	28664	28664	11270	17800	31171	6079	6079	12721	9771	13972	2655	2655	26390	12158	12958	14424	14424	14642	6121	10080	7155	7155	30592	19729	13819	14699	14699	29806	8579	13202	50650	67684
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	70000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	41345	48856	68089	68089	31927	54568	71104	91916	91916	87672	79745	80083	52701	52701	89804	75569	55499	67908	59252	18207	26259	24573	50660	53710	41652	46054	52123	52157	52157	69665	40959	67550	70234	70234	35023	75810	62108	37467	25103
Hàng tồn kho###Inventory	158422	179483	193708	193708	173399	162837	184747	179166	179166	192077	166432	171698	142990	142990	141519	128833	126114	111977	111977	119371	107036	111217	114025	113932	106951	103243	102595	108259	108259	97496	100086	108692	93170	93170	103239	84771	77598	94983	84425
Tài sản ngắn hạn khác###Other Current Assets	4340	5912	7067	7067	5724	5076	3404	3452	3452	3617	3037	3238	3951	3951	4367	4099	9747	6505	6570	2385	1446	1207	779	779	1258	1096	1255	1840	1840	2929	2647	2313	1676	1676	2031	1216	2630	1054	6873
Tài sản dài hạn###Non-current Assets	502085	507016	525437	525437	528152	530812	513168	535616	535616	535689	537857	532246	552796	552645	517826	528305	444344	457603	464900	475533	495293	504162	525713	525713	533763	549097	569972	583407	583407	600972	624086	641297	667798	667798	691484	764527	859089	934466	978890
Các khoản phải thu dài hạn###Long term Account Receivable	0	5875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	415938	418849	439414	439414	441555	422567	420567	443413	443413	443746	460584	457759	478343	478192	449165	457547	374505	393035	393035	417308	436050	449293	471348	471348	475788	490223	508782	530591	530338	542727	563049	576472	601314	601314	619909	686800	771159	845085	905857
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-1047000	-1026651	-1006040	-1006040	-984057	-962827	-940951	-917059	-917059	-901039	-877728	-854186	-829861	-833229	-809342	-785294	-763007	-740346	-740346	-717722	-695719	-673571	-651211	-651211	-628615	-606781	-584794	-562808	-562808	-540887	-519156	-498106	-475762	-475762	-452598	-395055	-302772	-211823	-127571
