CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	 2007
Tài sản ngắn hạn###Current Assets	135584	151105	180377	180377	164252	161712	153343	182910	182910	198085	208278	221503	165222	165222	159201	170631	153538	153782	153782	170176	172063	122907	122857	122857	105526	100916	110702	96999	96999	98278	80507	66896	78274	78274	65372	53815	44440	41973	41973	34983	34405	26977	29938	29938	31366	26988	23140	25238	25238	28865	25111	18857	21217	21217	22129	21727	15026	14320	22558
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	2650	3113	5144	5144	2702	2110	6830	7347	7347	4889	4239	4229	25769	25769	25877	15258	15653	12721	12721	12212	7594	8036	15183	15183	9076	12099	11135	5402	5402	3836	4725	1675	12213	12213	1562	1094	1802	4284	4284	1754	1285	1900	3510	3510	1867	1302	1546	5521	5521	1384	2570	1150	4939	4939	2097	1708	514	430	5237
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	3000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17459	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	60652	64569	87013	87013	50728	43430	35792	71661	71661	101993	69578	124889	78662	78662	66308	94700	74817	78570	78570	91909	85230	73349	72588	72588	57734	50915	61977	46790	46790	60207	46630	38953	34699	34699	39858	37050	24521	24141	24141	19485	19880	12056	14574	14574	14696	10932	7719	11114	11114	120	12111	8991	8029	8029	10473	11837	6483	7454	9543
Hàng tồn kho###Inventory	71812	82643	87574	87574	108055	114054	109667	102857	102857	85918	126770	87259	59895	59895	64843	58802	59464	61667	61667	64442	75793	40844	34149	34149	37492	36652	36322	41501	41501	31789	26472	23590	29860	29860	21953	13261	15925	11827	11827	12080	10933	10280	10288	10288	13111	13197	11831	8148	8148	9428	10224	8281	8166	8166	9126	7742	7373	5935	6530
Tài sản ngắn hạn khác###Other Current Assets	471	779	645	645	2767	2118	1053	1045	1045	2284	7690	5125	895	895	2173	1872	3604	823	823	1614	3446	679	937	937	1225	1250	1268	3306	3306	2445	2680	2679	1502	1502	1999	2409	2193	1721	1721	1664	2306	2741	1566	1566	1693	1557	2045	455	455	473	206	435	84	84	434	441	655	500	1248
Tài sản dài hạn###Non-current Assets	32640	31522	33202	33202	32687	31536	29868	31330	31330	33023	33729	33463	34903	34903	34988	32505	30915	32197	32197	27843	23193	22652	23175	23175	23164	20641	20213	18255	18255	16552	16551	13713	13697	13697	12868	13057	13040	13592	13592	14118	13791	14481	15210	15210	16938	18079	18661	18762	18762	17890	18205	18643	19247	19247	18657	19191	19561	20150	13191
Các khoản phải thu dài hạn###Long term Account Receivable	999	870	760	760	737	674	638	504	504	445	400	350	303	303	259	277	150	141	141	115	107	104	118	118	112	101	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	25575	27164	27243	27243	28838	26084	27427	29541	29541	31304	31540	30392	32831	32831	31272	31450	23301	24803	24803	24915	21911	21094	21341	21341	21851	19424	18559	16336	16285	14703	14700	12389	12159	12159	11820	12000	12254	12544	12601	13294	13065	13760	14490	14490	15224	15951	16447	16402	16513	15743	16242	16668	17234	17234	16588	17092	17520	18059	12075
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-51521	-50415	-48829	-48829	-47390	-45889	-44526	-42146	-42146	-39942	-37608	-36233	-33822	-33822	-31485	-29429	-27383	-26155	-26155	-24216	-22598	-21251	-19999	-19999	-18786	-17831	-16973	-16242	-16242	-15782	-15190	-14641	-14152	-14152	-13688	-13646	-13199	-12475	-12475	-11751	-11089	-10846	-10158	-10158	-9466	-8780	-8104	-7457	-7457	-6851	0	0	-5046	-5046	0	0	0	-2646	-648
