CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	 2015	 2014	 2013
Tài sản ngắn hạn###Current Assets	6971572	6623555	6339125	6425320	6300638	6092141	5405165	5656111	5455924	5296117	5134930	5037616	5380071	5330957	5553870	5499662	5070062	5178356	5178356	5090949	4278032	3536719
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	1053871	1133931	1541432	1541432	1138234	1212953	1143289	1027290	1067286	1360872	952364	733742	1021900	958367	1468267	1904827	1663459	1438387	1438387	2144540	1189117	859794
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	3677225	3406747	2886895	2886895	2927745	2745836	2243726	2059441	1923441	1399661	1515442	1572814	1875665	1824215	1744290	1241500	1088344	1256220	1256220	347947	582134	250850
Các khoản phải thu ngắn hạn###Short term Account Receivables	1652983	1512652	1393346	1478338	1447565	1450414	1374164	1502105	1563039	1455875	1557148	1568231	1498253	1567318	1310802	1397617	1374595	1400054	1400054	1472799	1282503	1041489
Hàng tồn kho###Inventory	532036	517897	460457	461105	727393	620475	581624	995200	830081	992794	1022156	1058682	831322	831426	960124	889340	887658	1000282	1000282	1040223	1142484	1334934
Tài sản ngắn hạn khác###Other Current Assets	55457	52327	56995	57550	59701	62463	62362	72074	72077	86916	87820	104147	152931	149631	70387	66378	56006	83413	83413	85440	81794	49651
Tài sản dài hạn###Non-current Assets	11832072	11710910	11958510	11923879	11984289	11860677	11832796	11327663	11623916	11272881	11059546	10803222	10454556	10505620	10006058	9784757	9494232	9257824	9257824	8328842	7984355	5926168
Các khoản phải thu dài hạn###Long term Account Receivable	100742	115182	110707	111926	111423	96987	98523	111894	111905	112368	98963	99359	100589	100600	101991	104625	105607	105566	105566	134826	12485	15983
Tài sản cố định ###Fixed assets	4708839	4775334	4863914	4862415	4560791	4565817	4643975	4822005	4219832	4179733	4101314	4138554	4170233	4162596	4049781	4098427	3956353	3958757	3958757	3760053	6370124	4219356
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-3596888	-3494820	-3394763	-3391131	-3279795	-3184261	-3087329	-2993307	-2991482	-2915752	-2839348	-2757742	-2682459	-2682135	-2611994	-2549291	-2470802	-2410196	-2410196	-2313174	-2239993	-1887330
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-121184	-119428	-116822	-116822	-114674	-112028	-109382	-106740	-106740	-103852	-103102	-100345	-97732	-99518	-82140	-74604	-73010	-72209	-72209	-69873	-109938	-93180
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54329	27988
Bất động sản đầu tư ###Real Estate Investment	2652031	2637734	2577580	2578880	2444880	2448184	2420937	2367908	2367908	2113022	2071210	2010682	1898102	1898102	1881274	1844774	1765385	1779722	1779722	1220482	522954	473443
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	460014	461975	735641	736157	1053941	1033834	1078466	703004	798987	797144	805944	910640	633514	673683	632123	639785	629570	549435	549435	600323	653010	851552
Tài sản dài hạn khác###Other long term assets	782681	798955	813336	777208	766991	771404	787220	801930	803580	666208	659406	658674	660457	663214	594518	501947	481373	489311	489311	218524	425781	365834
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	18803645	18334465	18297635	18349199	18284927	17952818	17237961	16983773	17079840	16568998	16194476	15840838	15834626	15836577	15559928	15284419	14564294	14436180	14436180	13419791	12262387	9462887
Nợ phải trả ###Liabilities	10738293	10429592	10575278	10640572	10679412	10644213	10287385	10083231	10159335	9713342	9264995	8954019	9118317	9087037	8932477	9045817	8324752	8170185	8170185	7411771	6552051	5384905
Nợ ngắn hạn###Short term Liabilities	3225550	3023959	3259974	3286785	3337955	3324936	3066200	3004580	2521922	2490315	2315088	2341426	2727068	2695968	2315158	2582348	2040589	2344065	2344065	2026467	2074577	1856438
Nợ dài hạn###Long term Liabilities	7512744	7405633	7315304	7353787	7341456	7319276	7221184	7078651	7637414	7223027	6949907	6612592	6391249	6391069	6617319	6463468	6284163	5826120	5826120	5385304	4477475	3528467
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	8065351	7904873	7722357	7708627	7605515	7308606	6950576	6900542	6920505	6855656	6929481	6886819	6716309	6749540	6627451	6238603	6239542	6265995	6265995	6008020	4033359	3288810
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	1834	1585	1802	1802	1452	558	325	92935	92935	95627	95341	95013	94930	94930	97032	96892	108813	109264	109264	108612	114783	115345
Vốn chủ sở hữu ###Owners equity	8063517	7903288	7720555	7706825	7604063	7308047	6950251	6807607	6827570	6760029	6834141	6791806	6621379	6654610	6530420	6141711	6130729	6156730	6156730	5899408	3918576	3173465
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	92124	92124	94400	94400	94400	94400	0	0	0	0	95982	0	96093	1676977	789171
